id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,1918,1308,47,157,140,89,100.00,100.00,75.00,100.00,40.809,12.217,13.700,21.551
values_19,1918,1308,47,157,140,89,100.00,100.00,75.00,100.00,40.809,12.217,13.700,21.551
values_12,1918,1308,47,157,140,89,100.00,100.00,75.00,100.00,40.809,12.217,13.700,21.551
values_38,4309,2901,82,348,314,173,100.00,100.00,75.00,100.00,52.549,12.382,13.723,24.908
values_81,4159,2802,80,336,303,168,100.00,100.00,75.00,100.00,51.987,12.378,13.726,24.756
values_5,2669,1804,57,217,195,114,100.00,100.00,75.00,100.00,46.825,12.300,13.687,23.412
values_40,3409,2307,70,276,248,143,100.00,100.00,75.00,100.00,48.700,12.351,13.746,23.839
values_70,1479,1006,38,122,109,70,100.00,100.00,75.00,100.00,38.921,12.123,13.569,21.129
values_23,4309,2901,82,348,314,173,100.00,100.00,75.00,100.00,52.549,12.382,13.723,24.908
values_72,1479,1006,38,122,109,70,100.00,100.00,75.00,100.00,38.921,12.123,13.569,21.129
values_79,1479,1006,38,122,109,70,100.00,100.00,75.00,100.00,38.921,12.123,13.569,21.129
values_78,1479,1006,38,122,109,70,100.00,100.00,75.00,100.00,38.921,12.123,13.569,21.129
values_87,4159,2802,80,336,303,168,100.00,100.00,75.00,100.00,51.987,12.378,13.726,24.756
values_6,2669,1804,57,217,195,114,100.00,100.00,75.00,100.00,46.825,12.300,13.687,23.412
values_68,5209,3495,94,420,380,203,100.00,100.00,75.00,100.00,55.415,12.402,13.708,25.660
values_69,5209,3495,94,420,380,203,100.00,100.00,75.00,100.00,55.415,12.402,13.708,25.660
values_1,2669,1804,57,217,195,114,100.00,100.00,75.00,100.00,46.825,12.300,13.687,23.412
values_45,3409,2307,70,276,248,143,100.00,100.00,75.00,100.00,48.700,12.351,13.746,23.839
values_33,4309,2901,82,348,314,173,100.00,100.00,75.00,100.00,52.549,12.382,13.723,24.908
values_15,1918,1308,47,157,140,89,100.00,100.00,75.00,100.00,40.809,12.217,13.700,21.551
values_93,4309,2901,82,348,314,173,100.00,100.00,75.00,100.00,52.549,12.382,13.723,24.908
values_24,4309,2901,82,348,314,173,100.00,100.00,75.00,100.00,52.549,12.382,13.723,24.908
values_25,4309,2901,82,348,314,173,100.00,100.00,75.00,100.00,52.549,12.382,13.723,24.908
values_26,4309,2901,82,348,314,173,100.00,100.00,75.00,100.00,52.549,12.382,13.723,24.908
values_48,3409,2307,70,276,248,143,100.00,100.00,75.00,100.00,48.700,12.351,13.746,23.839
values_71,1479,1006,38,122,109,70,100.00,100.00,75.00,100.00,38.921,12.123,13.569,21.129
values_76,1479,1006,38,122,109,70,100.00,100.00,75.00,100.00,38.921,12.123,13.569,21.129
values_7,2669,1804,57,217,195,114,100.00,100.00,75.00,100.00,46.825,12.300,13.687,23.412
values_50,3109,2109,66,252,226,133,100.00,100.00,75.00,100.00,47.106,12.337,13.757,23.376
values_22,4309,2901,82,348,314,173,100.00,100.00,75.00,100.00,52.549,12.382,13.723,24.908
values_4,2669,1804,57,217,195,114,100.00,100.00,75.00,100.00,46.825,12.300,13.687,23.412
values_32,4309,2901,82,348,314,173,100.00,100.00,75.00,100.00,52.549,12.382,13.723,24.908
values_77,1479,1006,38,122,109,70,100.00,100.00,75.00,100.00,38.921,12.123,13.569,21.129
values_91,4309,2901,82,348,314,173,100.00,100.00,75.00,100.00,52.549,12.382,13.723,24.908
values_42,3409,2307,70,276,248,143,100.00,100.00,75.00,100.00,48.700,12.351,13.746,23.839
values_13,1918,1308,47,157,140,89,100.00,100.00,75.00,100.00,40.809,12.217,13.700,21.551
values_41,3409,2307,70,276,248,143,100.00,100.00,75.00,100.00,48.700,12.351,13.746,23.839
values_55,3109,2109,66,252,226,133,100.00,100.00,75.00,100.00,47.106,12.337,13.757,23.376
values_31,4309,2901,82,348,314,173,100.00,100.00,75.00,100.00,52.549,12.382,13.723,24.908
values_66,5209,3495,94,420,380,203,100.00,100.00,75.00,100.00,55.415,12.402,13.708,25.660
values_65,5209,3495,94,420,380,203,100.00,100.00,75.00,100.00,55.415,12.402,13.708,25.660
values_62,5209,3495,94,420,380,203,100.00,100.00,75.00,100.00,55.415,12.402,13.708,25.660
values_21,4309,2901,82,348,314,173,100.00,100.00,75.00,100.00,52.549,12.382,13.723,24.908
values_95,4309,2901,82,348,314,173,100.00,100.00,75.00,100.00,52.549,12.382,13.723,24.908
values_84,4159,2802,80,336,303,168,100.00,100.00,75.00,100.00,51.987,12.378,13.726,24.756
values_58,3109,2109,66,252,226,133,100.00,100.00,75.00,100.00,47.106,12.337,13.757,23.376
values_64,5209,3495,94,420,380,203,100.00,100.00,75.00,100.00,55.415,12.402,13.708,25.660
values_83,4159,2802,80,336,303,168,100.00,100.00,75.00,100.00,51.987,12.378,13.726,24.756
values_94,4309,2901,82,348,314,173,100.00,100.00,75.00,100.00,52.549,12.382,13.723,24.908
values_0,2669,1804,57,217,195,114,100.00,100.00,75.00,100.00,46.825,12.300,13.687,23.412
values_99,4309,2901,82,348,314,173,100.00,100.00,75.00,100.00,52.549,12.382,13.723,24.908
values_96,4309,2901,82,348,314,173,100.00,100.00,75.00,100.00,52.549,12.382,13.723,24.908
values_67,5209,3495,94,420,380,203,100.00,100.00,75.00,100.00,55.415,12.402,13.708,25.660
values_61,5209,3495,94,420,380,203,100.00,100.00,75.00,100.00,55.415,12.402,13.708,25.660
values_43,3409,2307,70,276,248,143,100.00,100.00,75.00,100.00,48.700,12.351,13.746,23.839
values_2,2669,1804,57,217,195,114,100.00,100.00,75.00,100.00,46.825,12.300,13.687,23.412
values_54,3109,2109,66,252,226,133,100.00,100.00,75.00,100.00,47.106,12.337,13.757,23.376
values_30,4309,2901,82,348,314,173,100.00,100.00,75.00,100.00,52.549,12.382,13.723,24.908
values_59,3109,2109,66,252,226,133,100.00,100.00,75.00,100.00,47.106,12.337,13.757,23.376
values_85,4159,2802,80,336,303,168,100.00,100.00,75.00,100.00,51.987,12.378,13.726,24.756
values_74,1479,1006,38,122,109,70,100.00,100.00,75.00,100.00,38.921,12.123,13.569,21.129
values_90,4309,2901,82,348,314,173,100.00,100.00,75.00,100.00,52.549,12.382,13.723,24.908
values_18,1918,1308,47,157,140,89,100.00,100.00,75.00,100.00,40.809,12.217,13.700,21.551
values_52,3109,2109,66,252,226,133,100.00,100.00,75.00,100.00,47.106,12.337,13.757,23.376
values_44,3409,2307,70,276,248,143,100.00,100.00,75.00,100.00,48.700,12.351,13.746,23.839
values_17,1918,1308,47,157,140,89,100.00,100.00,75.00,100.00,40.809,12.217,13.700,21.551
values_36,4309,2901,82,348,314,173,100.00,100.00,75.00,100.00,52.549,12.382,13.723,24.908
values_49,3409,2307,70,276,248,143,100.00,100.00,75.00,100.00,48.700,12.351,13.746,23.839
values_86,4159,2802,80,336,303,168,100.00,100.00,75.00,100.00,51.987,12.378,13.726,24.756
values_37,4309,2901,82,348,314,173,100.00,100.00,75.00,100.00,52.549,12.382,13.723,24.908
values_56,3109,2109,66,252,226,133,100.00,100.00,75.00,100.00,47.106,12.337,13.757,23.376
values_63,5209,3495,94,420,380,203,100.00,100.00,75.00,100.00,55.415,12.402,13.708,25.660
values_35,4309,2901,82,348,314,173,100.00,100.00,75.00,100.00,52.549,12.382,13.723,24.908
values_97,4309,2901,82,348,314,173,100.00,100.00,75.00,100.00,52.549,12.382,13.723,24.908
values_75,1479,1006,38,122,109,70,100.00,100.00,75.00,100.00,38.921,12.123,13.569,21.129
values_57,3109,2109,66,252,226,133,100.00,100.00,75.00,100.00,47.106,12.337,13.757,23.376
values_88,4159,2802,80,336,303,168,100.00,100.00,75.00,100.00,51.987,12.378,13.726,24.756
values_10,1918,1308,47,157,140,89,100.00,100.00,75.00,100.00,40.809,12.217,13.700,21.551
values_53,3109,2109,66,252,226,133,100.00,100.00,75.00,100.00,47.106,12.337,13.757,23.376
values_8,2669,1804,57,217,195,114,100.00,100.00,75.00,100.00,46.825,12.300,13.687,23.412
values_39,4309,2901,82,348,314,173,100.00,100.00,75.00,100.00,52.549,12.382,13.723,24.908
values_47,3409,2307,70,276,248,143,100.00,100.00,75.00,100.00,48.700,12.351,13.746,23.839
values_60,5209,3495,94,420,380,203,100.00,100.00,75.00,100.00,55.415,12.402,13.708,25.660
values_89,4159,2802,80,336,303,168,100.00,100.00,75.00,100.00,51.987,12.378,13.726,24.756
values_51,3109,2109,66,252,226,133,100.00,100.00,75.00,100.00,47.106,12.337,13.757,23.376
values_14,1918,1308,47,157,140,89,100.00,100.00,75.00,100.00,40.809,12.217,13.700,21.551
values_28,4309,2901,82,348,314,173,100.00,100.00,75.00,100.00,52.549,12.382,13.723,24.908
values_16,1918,1308,47,157,140,89,100.00,100.00,75.00,100.00,40.809,12.217,13.700,21.551
values_34,4309,2901,82,348,314,173,100.00,100.00,75.00,100.00,52.549,12.382,13.723,24.908
values_82,4159,2802,80,336,303,168,100.00,100.00,75.00,100.00,51.987,12.378,13.726,24.756
values_46,3409,2307,70,276,248,143,100.00,100.00,75.00,100.00,48.700,12.351,13.746,23.839
values_27,4309,2901,82,348,314,173,100.00,100.00,75.00,100.00,52.549,12.382,13.723,24.908
values_20,4309,2901,82,348,314,173,100.00,100.00,75.00,100.00,52.549,12.382,13.723,24.908
values_9,2669,1804,57,217,195,114,100.00,100.00,75.00,100.00,46.825,12.300,13.687,23.412
values_92,4309,2901,82,348,314,173,100.00,100.00,75.00,100.00,52.549,12.382,13.723,24.908
