id,clockCycles,assemblyInstr,cacheHit,cacheHitInstr,cacheHitData,MOPS,MIPS,MFLOPS,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,4597,1577,85.9,88.0,47.3,17.15,16.78,0.37,84,360,325,300,100.00,100.00,75.00,100.00,54.726,12.769,14.145,15.323
values_19,4597,1577,85.9,88.0,47.3,17.15,16.78,0.37,84,360,325,300,100.00,100.00,75.00,100.00,54.726,12.769,14.145,15.323
values_12,4597,1577,85.9,88.0,47.3,17.15,16.78,0.37,84,360,325,300,100.00,100.00,75.00,100.00,54.726,12.769,14.145,15.323
values_38,4228,1432,85.2,86.8,53.3,16.93,16.72,0.21,51,181,162,151,100.00,100.00,75.00,100.00,82.902,23.359,26.099,28.000
values_81,4200,1423,85.2,86.7,55.4,16.94,16.74,0.20,49,169,151,141,100.00,100.00,75.00,100.00,85.714,24.852,27.815,29.787
values_5,4693,1613,85.9,88.3,45.3,17.19,16.78,0.40,92,408,369,340,100.00,100.00,75.00,100.00,51.011,11.502,12.718,13.803
values_40,4048,1359,84.8,86.1,56.7,16.79,16.66,0.12,34,98,87,82,100.00,100.00,75.00,100.00,119.059,41.306,46.529,49.366
values_70,4180,1414,85.1,86.6,54.8,16.91,16.72,0.19,47,157,140,131,100.00,100.00,75.00,100.00,88.936,26.624,29.857,31.908
values_23,4094,1377,84.9,86.3,55.1,16.82,16.67,0.15,38,122,109,102,100.00,100.00,75.00,100.00,107.737,33.557,37.560,40.137
values_72,4180,1414,85.1,86.6,54.8,16.91,16.72,0.19,47,157,140,131,100.00,100.00,75.00,100.00,88.936,26.624,29.857,31.908
values_79,4180,1414,85.1,86.6,54.8,16.91,16.72,0.19,47,157,140,131,100.00,100.00,75.00,100.00,88.936,26.624,29.857,31.908
values_78,4180,1414,85.1,86.6,54.8,16.91,16.72,0.19,47,157,140,131,100.00,100.00,75.00,100.00,88.936,26.624,29.857,31.908
