id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,49515,30019,1781,5490,5307,5354,100.00,100.00,87.50,100.00,27.802,9.019,9.330,9.248
values_19,95639,57999,3404,10558,10191,10277,100.00,100.00,87.50,100.00,28.096,9.058,9.385,9.306
values_12,55593,33693,1982,6123,5912,5965,100.00,100.00,87.50,100.00,28.049,9.079,9.403,9.320
values_38,31089,18655,990,3125,2964,2999,100.00,100.00,87.50,100.00,31.403,9.948,10.489,10.366
values_81,8156,4930,353,958,951,974,100.00,100.00,87.50,100.00,23.105,8.514,8.576,8.374
values_5,367,195,16,30,27,29,100.00,100.00,62.50,50.00,22.938,12.233,13.593,12.655
values_40,27862,16791,954,2916,2799,2837,100.00,100.00,87.50,100.00,29.205,9.555,9.954,9.821
values_70,43622,26426,1558,4764,4603,4653,100.00,100.00,87.50,100.00,27.999,9.157,9.477,9.375
values_23,43690,26317,1438,4526,4317,4361,100.00,100.00,87.50,100.00,30.382,9.653,10.120,10.018
values_72,24304,14656,837,2559,2458,2490,100.00,100.00,87.50,100.00,29.037,9.497,9.888,9.761
values_79,55580,33548,1906,5955,5714,5767,100.00,100.00,87.50,100.00,29.161,9.333,9.727,9.638
values_78,84713,51559,3173,9734,9465,9536,100.00,100.00,87.50,100.00,26.698,8.703,8.950,8.883
values_87,54512,32718,1690,5406,5109,5165,100.00,100.00,87.50,100.00,32.256,10.084,10.670,10.554
values_6,2187,1269,95,228,225,236,100.00,100.00,87.50,100.00,23.021,9.592,9.720,9.267
values_68,80673,48928,2881,8947,8640,8708,100.00,100.00,87.50,100.00,28.002,9.017,9.337,9.264
values_69,39675,24085,1483,4510,4383,4424,100.00,100.00,87.50,100.00,26.753,8.797,9.052,8.968
values_1,47251,28406,1512,4752,4515,4571,100.00,100.00,87.50,100.00,31.251,9.943,10.465,10.337
values_45,20661,12531,780,2321,2260,2289,100.00,100.00,87.50,100.00,26.488,8.902,9.142,9.026
values_33,32759,19753,1106,3428,3283,3321,100.00,100.00,87.50,100.00,29.619,9.556,9.978,9.864
values_15,78347,47318,2624,8297,7936,8001,100.00,100.00,87.50,100.00,29.858,9.443,9.872,9.792
values_93,44646,26872,1454,4530,4317,4373,100.00,100.00,87.50,100.00,30.706,9.856,10.342,10.209
values_24,27947,16935,1030,3075,2986,3027,100.00,100.00,87.50,100.00,27.133,9.088,9.359,9.233
values_25,3753,2212,127,352,335,346,100.00,100.00,87.50,100.00,29.551,10.662,11.203,10.847
values_26,16261,9826,600,1761,1710,1739,100.00,100.00,87.50,100.00,27.102,9.234,9.509,9.351
values_48,69375,42072,2513,7710,7463,7534,100.00,100.00,87.50,100.00,27.606,8.998,9.296,9.208
values_71,54372,32602,1640,5301,4988,5041,100.00,100.00,87.50,100.00,33.154,10.257,10.901,10.786
values_76,1263,712,54,118,115,123,100.00,100.00,87.50,100.00,23.389,10.703,10.983,10.268
values_7,7289,4347,247,731,698,712,100.00,100.00,87.50,100.00,29.510,9.971,10.443,10.237
values_50,64206,38840,2214,6896,6627,6689,100.00,100.00,87.50,100.00,29.000,9.311,9.689,9.599
values_22,1893,1097,71,177,170,178,100.00,100.00,87.50,100.00,26.662,10.695,11.135,10.635
values_4,27519,16641,999,3041,2942,2974,100.00,100.00,87.50,100.00,27.547,9.049,9.354,9.253
values_32,57316,34856,2158,6536,6363,6425,100.00,100.00,87.50,100.00,26.560,8.769,9.008,8.921
values_77,2507,1465,96,256,247,255,100.00,100.00,87.50,100.00,26.115,9.793,10.150,9.831
values_91,79962,48486,2863,8851,8552,8626,100.00,100.00,87.50,100.00,27.929,9.034,9.350,9.270
values_42,2274,1320,85,223,214,222,100.00,100.00,87.50,100.00,26.753,10.197,10.626,10.243
values_13,52440,31826,1908,5879,5692,5739,100.00,100.00,87.50,100.00,27.484,8.920,9.213,9.137
values_41,6743,4033,261,715,698,718,100.00,100.00,87.50,100.00,25.835,9.431,9.660,9.391
values_55,1841,1058,63,157,148,156,100.00,100.00,87.50,100.00,29.222,11.726,12.439,11.801
values_31,19748,11962,744,2209,2150,2179,100.00,100.00,87.50,100.00,26.543,8.940,9.185,9.063
values_66,32237,19507,1155,3523,3404,3442,100.00,100.00,87.50,100.00,27.911,9.150,9.470,9.366
values_65,11806,7128,455,1312,1281,1304,100.00,100.00,87.50,100.00,25.947,8.998,9.216,9.054
values_62,2636,1532,91,249,236,244,100.00,100.00,87.50,100.00,28.967,10.586,11.169,10.803
values_21,90076,54503,3075,9756,9355,9414,100.00,100.00,87.50,100.00,29.293,9.233,9.629,9.568
values_95,7915,4746,321,878,863,886,100.00,100.00,87.50,100.00,24.657,9.015,9.171,8.933
values_84,18000,10836,614,1851,1776,1805,100.00,100.00,87.50,100.00,29.316,9.724,10.135,9.972
values_58,8693,5211,302,887,852,869,100.00,100.00,87.50,100.00,28.785,9.800,10.203,10.003
values_64,13724,8311,533,1571,1534,1554,100.00,100.00,87.50,100.00,25.749,8.736,8.947,8.831
values_83,63245,38123,2066,6575,6264,6317,100.00,100.00,87.50,100.00,30.612,9.619,10.097,10.012
values_94,13110,7866,440,1353,1292,1309,100.00,100.00,87.50,100.00,29.795,9.690,10.147,10.015
values_0,58958,35843,2222,6740,6561,6623,100.00,100.00,87.50,100.00,26.534,8.747,8.986,8.902
values_99,9189,5484,319,946,907,924,100.00,100.00,87.50,100.00,28.806,9.714,10.131,9.945
values_96,51450,31266,1948,5926,5769,5819,100.00,100.00,87.50,100.00,26.412,8.682,8.918,8.842
values_67,88364,53569,3115,9741,9388,9456,100.00,100.00,87.50,100.00,28.367,9.071,9.412,9.345
values_61,81789,49445,2808,8756,8409,8489,100.00,100.00,87.50,100.00,29.127,9.341,9.726,9.635
values_43,11800,7073,416,1240,1193,1213,100.00,100.00,87.50,100.00,28.365,9.516,9.891,9.728
values_2,15165,9167,579,1661,1622,1654,100.00,100.00,87.50,100.00,26.192,9.130,9.350,9.169
values_54,94940,57463,3239,10249,9828,9896,100.00,100.00,87.50,100.00,29.312,9.263,9.660,9.594
values_30,19938,12056,752,2220,2161,2193,100.00,100.00,87.50,100.00,26.513,8.981,9.226,9.092
