inputName,text,data,bss
values_11,272,52,0
values_19,264,12,0
values_12,272,76,0
values_38,272,56,0
values_81,272,112,0
values_5,272,44,0
values_40,272,48,0
values_70,272,108,0
values_23,272,108,0
values_72,272,36,0
values_79,272,100,0
values_78,272,116,0
values_87,272,64,0
values_6,272,120,0
values_68,272,108,0
values_69,272,128,0
values_1,272,56,0
values_45,264,16,0
values_33,272,100,0
values_15,272,76,0
values_93,272,24,0
values_24,272,72,0
values_25,272,56,0
values_26,272,100,0
values_48,272,28,0
values_71,272,112,0
values_76,272,100,0
values_7,272,52,0
values_50,272,60,0
values_22,272,96,0
values_4,272,92,0
values_32,272,48,0
values_77,272,120,0
values_91,272,112,0
values_42,272,124,0
values_13,272,96,0
values_41,272,88,0
values_55,272,80,0
values_31,272,96,0
values_66,272,124,0
values_65,272,68,0
values_62,272,84,0
values_21,272,44,0
values_95,272,52,0
values_84,272,36,0
values_58,272,100,0
values_64,272,116,0
values_83,272,32,0
values_94,264,20,0
values_0,272,80,0
values_99,272,100,0
values_96,272,56,0
values_67,272,84,0
values_61,272,92,0
values_43,272,124,0
values_2,272,24,0
values_54,272,124,0
values_30,272,128,0
values_59,272,28,0
values_85,272,116,0
values_74,272,76,0
values_90,272,36,0
values_18,272,96,0
values_52,264,20,0
values_44,272,44,0
values_17,272,24,0
values_36,272,24,0
values_49,272,96,0
values_86,272,84,0
values_37,272,44,0
values_56,272,84,0
values_63,272,24,0
values_35,272,52,0
values_97,272,96,0
values_75,272,28,0
values_57,272,80,0
values_88,272,120,0
values_10,272,108,0
values_53,272,76,0
values_8,264,16,0
values_39,272,32,0
values_47,272,124,0
values_60,272,24,0
values_89,272,92,0
values_51,272,108,0
values_14,272,52,0
values_28,260,8,0
values_16,272,88,0
values_34,272,108,0
values_82,272,72,0
values_46,272,104,0
values_27,272,64,0
values_20,272,52,0
values_9,272,92,0
values_92,272,40,0
values_3,272,56,0
values_98,272,104,0
values_29,272,80,0
values_80,272,80,0
values_73,272,56,0
