id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,2371,1668,572,1722,1655,1681,100.00,100.00,87.50,100.00,4.145,1.377,1.433,1.410
values_19,528,366,35,74,71,80,100.00,100.00,87.50,100.00,15.086,7.135,7.437,6.600
values_12,3466,2442,1453,4406,4273,4320,100.00,100.00,87.50,100.00,2.385,0.787,0.811,0.802
values_38,2556,1799,627,1878,1809,1986,100.00,100.00,87.50,100.00,4.077,1.361,1.413,1.287
values_81,5148,3647,2278,7284,6891,7627,100.00,100.00,87.50,100.00,2.260,0.707,0.747,0.675
values_5,1999,1404,439,1281,1248,1268,100.00,100.00,87.50,100.00,4.554,1.560,1.602,1.576
values_40,2185,1536,540,1598,1545,1571,100.00,100.00,87.50,100.00,4.046,1.367,1.414,1.391
values_70,4962,3514,2441,7478,7265,7324,100.00,100.00,87.50,100.00,2.033,0.664,0.683,0.677
values_23,4962,3514,2533,7976,7639,7704,100.00,100.00,87.50,100.00,1.959,0.622,0.650,0.644
values_72,1627,1141,310,898,863,883,100.00,100.00,87.50,100.00,5.248,1.812,1.885,1.843
values_79,4588,3246,2456,7569,7320,7385,100.00,100.00,87.50,100.00,1.868,0.606,0.627,0.621
values_78,5335,3781,2877,8985,8640,9450,100.00,100.00,87.50,100.00,1.854,0.594,0.617,0.565
values_87,2929,2064,905,2689,2612,2650,100.00,100.00,87.50,100.00,3.236,1.089,1.121,1.105
values_6,5522,3915,2574,8200,7793,8593,100.00,100.00,87.50,100.00,2.145,0.673,0.709,0.643
values_68,4962,3514,1960,6216,5945,5989,100.00,100.00,87.50,100.00,2.532,0.798,0.835,0.829
values_69,5897,4184,3746,11653,11258,11341,100.00,100.00,87.50,100.00,1.574,0.506,0.524,0.520
values_1,2556,1799,773,2311,2238,2446,100.00,100.00,87.50,100.00,3.307,1.106,1.142,1.045
values_45,715,498,71,177,170,178,100.00,100.00,87.50,100.00,10.070,4.040,4.206,4.017
