inputName,text,data,bss
values_11,2340,100,33
values_19,412,1296,29
values_12,1052,196,29
values_38,412,2916,29
values_81,412,2116,29
values_5,412,2916,29
values_40,1052,196,29
values_70,412,3600,29
values_23,412,1444,29
values_72,416,2704,29
values_79,1992,1024,29
values_78,416,1936,29
values_87,1032,36,33
values_6,412,3364,29
values_68,3264,144,33
values_69,2212,1156,29
values_1,408,4096,29
values_45,1128,256,29
values_33,3264,144,33
values_15,2340,100,33
values_93,1632,576,29
values_24,416,1936,29
values_25,412,1764,29
values_26,412,1600,29
values_48,416,2704,29
values_71,412,1296,29
values_76,1864,784,29
values_7,412,1296,29
values_50,1032,36,33
values_22,412,3364,29
values_4,1400,400,29
values_32,416,2704,29
values_77,412,2116,29
values_91,588,16,33
values_42,408,3844,29
values_13,1052,196,29
values_41,1052,196,29
values_55,1800,676,29
values_31,412,2116,29
values_66,408,3844,29
values_65,1800,676,29
values_62,412,2916,29
values_21,1980,900,29
values_95,416,2704,29
values_84,1560,484,29
values_58,1400,400,29
values_64,412,1764,29
values_83,2340,100,33
values_94,412,2116,29
values_0,408,4096,29
values_99,412,1600,29
values_96,1992,1024,29
values_67,1400,400,29
values_61,1800,676,29
values_43,412,2916,29
values_2,412,3136,29
values_54,1052,196,29
values_30,412,2500,29
values_59,412,2304,29
values_85,3264,144,33
values_74,412,1764,29
values_90,408,4096,29
values_18,1128,256,29
values_52,2212,1156,29
values_44,1980,900,29
values_17,1800,676,29
values_36,416,2704,29
values_49,408,4096,29
values_86,1128,256,29
values_37,2212,1156,29
values_56,412,1764,29
values_63,1864,784,29
values_35,1032,36,33
values_97,412,3600,29
values_75,412,1296,29
values_57,1632,576,29
values_88,416,2704,29
values_10,1052,196,29
values_53,412,1296,29
values_8,1584,64,33
values_39,416,1936,29
values_47,1128,256,29
values_60,416,2704,29
values_89,1992,1024,29
values_51,1980,900,29
values_14,588,16,33
values_28,412,1296,29
values_16,1980,900,29
values_34,412,3364,29
values_82,412,1296,29
values_46,412,2916,29
values_27,1864,784,29
values_20,412,1296,29
values_9,412,1444,29
values_92,1992,1024,29
values_3,412,2304,29
values_98,1992,1024,29
values_29,412,1296,29
values_80,416,1936,29
values_73,416,2704,29
