inputName,text,data,bss
values_11,980,1600,22
values_19,980,400,22
values_12,980,1764,22
values_38,980,1296,22
values_81,980,1024,22
0,,,
0,,,
values_70,980,484,22
values_23,980,36,22
0,,,
values_79,980,676,22
0,,,
values_87,980,144,22
values_6,980,144,22
values_68,980,576,22
values_69,980,144,22
values_1,980,676,22
values_45,994,16,22
values_33,980,1600,22
values_15,980,400,22
values_93,980,256,22
values_24,980,1296,22
values_25,980,1936,22
values_26,980,36,22
0,,,
0,,,
values_76,980,1600,22
values_7,980,1444,22
0,,,
0,,,
values_4,980,484,22
values_32,980,400,22
values_77,980,676,22
values_91,980,100,22
0,,,
0,,,
values_41,980,36,22
0,,,
0,,,
values_66,980,36,22
values_65,980,196,22
values_62,980,784,22
values_21,980,324,22
0,,,
values_84,980,100,22
values_58,980,1156,22
0,,,
0,,,
0,,,
values_0,980,196,22
values_99,980,36,22
0,,,
values_67,980,1024,22
values_61,994,16,22
0,,,
values_2,980,1156,22
0,,,
values_30,980,400,22
values_59,980,784,22
0,,,
0,,,
values_90,980,676,22
values_18,980,484,22
values_52,980,484,22
values_44,980,400,22
values_17,980,1296,22
values_36,980,100,22
values_49,980,784,22
values_86,980,1296,22
0,,,
values_56,980,100,22
values_63,980,1936,22
0,,,
0,,,
values_75,980,1156,22
values_57,980,36,22
values_88,980,1296,22
values_10,980,676,22
0,,,
values_8,980,256,22
0,,,
0,,,
values_60,980,36,22
0,,,
values_51,980,1024,22
values_14,980,1156,22
values_28,980,36,22
values_16,980,900,22
0,,,
values_82,980,1156,22
values_46,980,1764,22
0,,,
values_20,980,256,22
values_9,980,1936,22
values_92,980,784,22
0,,,
0,,,
values_29,980,484,22
values_80,994,16,22
values_73,980,144,22
