id,clockCycles,assemblyInstr,cacheHit,cacheHitInstr,cacheHitData,MOPS,MIPS,MFLOPS,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_19,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_12,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_38,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_81,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_5,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_40,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_70,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_23,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_72,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_79,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_78,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_87,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_6,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_68,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_69,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_1,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_45,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_33,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_15,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_93,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_24,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_25,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_26,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_48,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_71,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_76,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_7,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_50,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_22,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_4,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_32,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_77,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_91,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_42,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_13,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_41,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_55,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_31,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_66,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_65,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_62,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_21,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_95,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_84,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_58,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_64,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_83,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_94,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_0,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
values_99,32480,13464,97.2,98.5,89.2,20.73,17.48,3.25,2599,29141,22161,10863,100.00,100.00,100.00,100.00,12.497,1.115,1.466,2.990
