id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,252666,192146,2599,29845,22865,110283,100.00,100.00,100.00,100.00,97.217,8.466,11.050,2.291
values_19,252666,192146,2599,29845,22865,110283,100.00,100.00,100.00,100.00,97.217,8.466,11.050,2.291
values_12,252666,192146,2599,29845,22865,110283,100.00,100.00,100.00,100.00,97.217,8.466,11.050,2.291
values_38,252666,192146,2599,29845,22865,110283,100.00,100.00,100.00,100.00,97.217,8.466,11.050,2.291
values_81,252666,192146,2599,29845,22865,110283,100.00,100.00,100.00,100.00,97.217,8.466,11.050,2.291
values_5,252666,192146,2599,29845,22865,110283,100.00,100.00,100.00,100.00,97.217,8.466,11.050,2.291
values_40,252666,192146,2599,29845,22865,110283,100.00,100.00,100.00,100.00,97.217,8.466,11.050,2.291
values_70,252666,192146,2599,29845,22865,110283,100.00,100.00,100.00,100.00,97.217,8.466,11.050,2.291
values_23,252666,192146,2599,29845,22865,110283,100.00,100.00,100.00,100.00,97.217,8.466,11.050,2.291
values_72,252666,192146,2599,29845,22865,110283,100.00,100.00,100.00,100.00,97.217,8.466,11.050,2.291
values_79,252666,192146,2599,29845,22865,110283,100.00,100.00,100.00,100.00,97.217,8.466,11.050,2.291
values_78,252666,192146,2599,29845,22865,110283,100.00,100.00,100.00,100.00,97.217,8.466,11.050,2.291
values_87,252666,192146,2599,29845,22865,110283,100.00,100.00,100.00,100.00,97.217,8.466,11.050,2.291
values_6,252666,192146,2599,29845,22865,110283,100.00,100.00,100.00,100.00,97.217,8.466,11.050,2.291
values_68,252666,192146,2599,29845,22865,110283,100.00,100.00,100.00,100.00,97.217,8.466,11.050,2.291
values_69,252666,192146,2599,29845,22865,110283,100.00,100.00,100.00,100.00,97.217,8.466,11.050,2.291
values_1,252666,192146,2599,29845,22865,110283,100.00,100.00,100.00,100.00,97.217,8.466,11.050,2.291
values_45,252666,192146,2599,29845,22865,110283,100.00,100.00,100.00,100.00,97.217,8.466,11.050,2.291
values_33,252666,192146,2599,29845,22865,110283,100.00,100.00,100.00,100.00,97.217,8.466,11.050,2.291
values_15,252666,192146,2599,29845,22865,110283,100.00,100.00,100.00,100.00,97.217,8.466,11.050,2.291
values_93,252666,192146,2599,29845,22865,110283,100.00,100.00,100.00,100.00,97.217,8.466,11.050,2.291
values_24,252666,192146,2599,29845,22865,110283,100.00,100.00,100.00,100.00,97.217,8.466,11.050,2.291
values_25,252666,192146,2599,29845,22865,110283,100.00,100.00,100.00,100.00,97.217,8.466,11.050,2.291
values_26,252666,192146,2599,29845,22865,110283,100.00,100.00,100.00,100.00,97.217,8.466,11.050,2.291
values_48,252666,192146,2599,29845,22865,110283,100.00,100.00,100.00,100.00,97.217,8.466,11.050,2.291
values_71,252666,192146,2599,29845,22865,110283,100.00,100.00,100.00,100.00,97.217,8.466,11.050,2.291
values_76,252666,192146,2599,29845,22865,110283,100.00,100.00,100.00,100.00,97.217,8.466,11.050,2.291
values_7,252666,192146,2599,29845,22865,110283,100.00,100.00,100.00,100.00,97.217,8.466,11.050,2.291
values_50,252666,192146,2599,29845,22865,110283,100.00,100.00,100.00,100.00,97.217,8.466,11.050,2.291
values_22,252666,192146,2599,29845,22865,110283,100.00,100.00,100.00,100.00,97.217,8.466,11.050,2.291
values_4,252666,192146,2599,29845,22865,110283,100.00,100.00,100.00,100.00,97.217,8.466,11.050,2.291
values_32,252666,192146,2599,29845,22865,110283,100.00,100.00,100.00,100.00,97.217,8.466,11.050,2.291
values_77,252666,192146,2599,29845,22865,110283,100.00,100.00,100.00,100.00,97.217,8.466,11.050,2.291
