id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,2020,1401,120,321,233,278,100.00,100.00,100.00,100.00,16.833,6.293,8.670,7.266
values_19,1930,1340,115,307,223,266,100.00,100.00,100.00,100.00,16.783,6.287,8.655,7.256
values_12,1930,1340,115,307,223,266,100.00,100.00,100.00,100.00,16.783,6.287,8.655,7.256
values_38,245,151,25,55,43,50,100.00,100.00,100.00,100.00,9.800,4.455,5.698,4.900
values_81,1835,1272,110,293,213,254,100.00,100.00,100.00,100.00,16.682,6.263,8.615,7.224
values_5,1740,1204,105,279,203,242,100.00,100.00,100.00,100.00,16.571,6.237,8.571,7.190
values_40,154,89,20,41,33,36,100.00,100.00,100.00,100.00,7.700,3.756,4.667,4.278
values_70,2210,1537,130,349,253,302,100.00,100.00,100.00,100.00,17.000,6.332,8.735,7.318
values_23,995,681,65,167,123,146,100.00,100.00,100.00,100.00,15.308,5.958,8.089,6.815
values_72,245,151,25,55,43,50,100.00,100.00,100.00,100.00,9.800,4.455,5.698,4.900
values_79,245,151,25,55,43,50,100.00,100.00,100.00,100.00,9.800,4.455,5.698,4.900
values_78,2020,1401,120,321,233,278,100.00,100.00,100.00,100.00,16.833,6.293,8.670,7.266
values_87,1365,939,85,223,163,194,100.00,100.00,100.00,100.00,16.059,6.121,8.374,7.036
values_6,2020,1401,120,321,233,278,100.00,100.00,100.00,100.00,16.833,6.293,8.670,7.266
values_68,1930,1340,115,307,223,266,100.00,100.00,100.00,100.00,16.783,6.287,8.655,7.256
values_69,525,348,40,97,73,86,100.00,100.00,100.00,100.00,13.125,5.412,7.192,6.105
values_1,2675,1863,155,419,303,362,100.00,100.00,100.00,100.00,17.258,6.384,8.828,7.390
values_45,40,16,15,27,23,17,100.00,100.00,100.00,100.00,2.667,1.481,1.739,2.353
values_33,435,287,35,83,63,74,100.00,100.00,100.00,100.00,12.429,5.241,6.905,5.878
values_15,620,416,45,111,83,98,100.00,100.00,100.00,100.00,13.778,5.586,7.470,6.327
values_93,995,681,65,167,123,146,100.00,100.00,100.00,100.00,15.308,5.958,8.089,6.815
values_24,1180,810,75,195,143,170,100.00,100.00,100.00,100.00,15.733,6.051,8.252,6.941
values_25,620,416,45,111,83,98,100.00,100.00,100.00,100.00,13.778,5.586,7.470,6.327
values_26,1835,1272,110,293,213,254,100.00,100.00,100.00,100.00,16.682,6.263,8.615,7.224
values_48,154,89,20,41,33,36,100.00,100.00,100.00,100.00,7.700,3.756,4.667,4.278
values_71,435,287,35,83,63,74,100.00,100.00,100.00,100.00,12.429,5.241,6.905,5.878
values_76,2300,1598,135,363,263,314,100.00,100.00,100.00,100.00,17.037,6.336,8.745,7.325
values_7,1275,878,80,209,153,182,100.00,100.00,100.00,100.00,15.938,6.100,8.333,7.005
values_50,2210,1537,130,349,253,302,100.00,100.00,100.00,100.00,17.000,6.332,8.735,7.318
values_22,2490,1734,145,391,283,338,100.00,100.00,100.00,100.00,17.172,6.368,8.799,7.367
values_4,1365,939,85,223,163,194,100.00,100.00,100.00,100.00,16.059,6.121,8.374,7.036
values_32,245,151,25,55,43,50,100.00,100.00,100.00,100.00,9.800,4.455,5.698,4.900
values_77,2300,1598,135,363,263,314,100.00,100.00,100.00,100.00,17.037,6.336,8.745,7.325
values_91,2580,1795,150,405,293,350,100.00,100.00,100.00,100.00,17.200,6.370,8.805,7.371
values_42,40,16,15,27,23,17,100.00,100.00,100.00,100.00,2.667,1.481,1.739,2.353
values_13,1365,939,85,223,163,194,100.00,100.00,100.00,100.00,16.059,6.121,8.374,7.036
values_41,1555,1075,95,251,183,218,100.00,100.00,100.00,100.00,16.368,6.195,8.497,7.133
values_55,435,287,35,83,63,74,100.00,100.00,100.00,100.00,12.429,5.241,6.905,5.878
values_31,1740,1204,105,279,203,242,100.00,100.00,100.00,100.00,16.571,6.237,8.571,7.190
values_66,715,484,50,125,93,110,100.00,100.00,100.00,100.00,14.300,5.720,7.688,6.500
values_65,2675,1863,155,419,303,362,100.00,100.00,100.00,100.00,17.258,6.384,8.828,7.390
values_62,2395,1666,140,377,273,326,100.00,100.00,100.00,100.00,17.107,6.353,8.773,7.347
values_21,2580,1795,150,405,293,350,100.00,100.00,100.00,100.00,17.200,6.370,8.805,7.371
values_95,900,613,60,153,113,134,100.00,100.00,100.00,100.00,15.000,5.882,7.965,6.716
values_84,435,287,35,83,63,74,100.00,100.00,100.00,100.00,12.429,5.241,6.905,5.878
values_58,995,681,65,167,123,146,100.00,100.00,100.00,100.00,15.308,5.958,8.089,6.815
values_64,2675,1863,155,419,303,362,100.00,100.00,100.00,100.00,17.258,6.384,8.828,7.390
values_83,900,613,60,153,113,134,100.00,100.00,100.00,100.00,15.000,5.882,7.965,6.716
values_94,2865,1999,165,447,323,386,100.00,100.00,100.00,100.00,17.364,6.409,8.870,7.422
values_0,2395,1666,140,377,273,326,100.00,100.00,100.00,100.00,17.107,6.353,8.773,7.347
values_99,2770,1931,160,433,313,374,100.00,100.00,100.00,100.00,17.312,6.397,8.850,7.406
values_96,2675,1863,155,419,303,362,100.00,100.00,100.00,100.00,17.258,6.384,8.828,7.390
values_67,1650,1143,100,265,193,230,100.00,100.00,100.00,100.00,16.500,6.226,8.549,7.174
values_61,340,219,30,69,53,62,100.00,100.00,100.00,100.00,11.333,4.928,6.415,5.484
values_43,340,219,30,69,53,62,100.00,100.00,100.00,100.00,11.333,4.928,6.415,5.484
values_2,1835,1272,110,293,213,254,100.00,100.00,100.00,100.00,16.682,6.263,8.615,7.224
values_54,2865,1999,165,447,323,386,100.00,100.00,100.00,100.00,17.364,6.409,8.870,7.422
values_30,1930,1340,115,307,223,266,100.00,100.00,100.00,100.00,16.783,6.287,8.655,7.256
values_59,2020,1401,120,321,233,278,100.00,100.00,100.00,100.00,16.833,6.293,8.670,7.266
values_85,2210,1537,130,349,253,302,100.00,100.00,100.00,100.00,17.000,6.332,8.735,7.318
values_74,900,613,60,153,113,134,100.00,100.00,100.00,100.00,15.000,5.882,7.965,6.716
values_90,2210,1537,130,349,253,302,100.00,100.00,100.00,100.00,17.000,6.332,8.735,7.318
values_18,805,545,55,139,103,122,100.00,100.00,100.00,100.00,14.636,5.791,7.816,6.598
values_52,620,416,45,111,83,98,100.00,100.00,100.00,100.00,13.778,5.586,7.470,6.327
values_44,805,545,55,139,103,122,100.00,100.00,100.00,100.00,14.636,5.791,7.816,6.598
values_17,40,16,15,27,23,17,100.00,100.00,100.00,100.00,2.667,1.481,1.739,2.353
values_36,1460,1007,90,237,173,206,100.00,100.00,100.00,100.00,16.222,6.160,8.439,7.087
values_49,715,484,50,125,93,110,100.00,100.00,100.00,100.00,14.300,5.720,7.688,6.500
values_86,2210,1537,130,349,253,302,100.00,100.00,100.00,100.00,17.000,6.332,8.735,7.318
values_37,2300,1598,135,363,263,314,100.00,100.00,100.00,100.00,17.037,6.336,8.745,7.325
values_56,1180,810,75,195,143,170,100.00,100.00,100.00,100.00,15.733,6.051,8.252,6.941
values_63,2395,1666,140,377,273,326,100.00,100.00,100.00,100.00,17.107,6.353,8.773,7.347
values_35,2115,1469,125,335,243,290,100.00,100.00,100.00,100.00,16.920,6.313,8.704,7.293
values_97,715,484,50,125,93,110,100.00,100.00,100.00,100.00,14.300,5.720,7.688,6.500
values_75,40,16,15,27,23,17,100.00,100.00,100.00,100.00,2.667,1.481,1.739,2.353
values_57,2300,1598,135,363,263,314,100.00,100.00,100.00,100.00,17.037,6.336,8.745,7.325
values_88,805,545,55,139,103,122,100.00,100.00,100.00,100.00,14.636,5.791,7.816,6.598
values_10,245,151,25,55,43,50,100.00,100.00,100.00,100.00,9.800,4.455,5.698,4.900
values_53,620,416,45,111,83,98,100.00,100.00,100.00,100.00,13.778,5.586,7.470,6.327
values_8,1740,1204,105,279,203,242,100.00,100.00,100.00,100.00,16.571,6.237,8.571,7.190
values_39,2115,1469,125,335,243,290,100.00,100.00,100.00,100.00,16.920,6.313,8.704,7.293
values_47,245,151,25,55,43,50,100.00,100.00,100.00,100.00,9.800,4.455,5.698,4.900
values_60,1835,1272,110,293,213,254,100.00,100.00,100.00,100.00,16.682,6.263,8.615,7.224
values_89,2865,1999,165,447,323,386,100.00,100.00,100.00,100.00,17.364,6.409,8.870,7.422
values_51,2490,1734,145,391,283,338,100.00,100.00,100.00,100.00,17.172,6.368,8.799,7.367
values_14,2115,1469,125,335,243,290,100.00,100.00,100.00,100.00,16.920,6.313,8.704,7.293
values_28,525,348,40,97,73,86,100.00,100.00,100.00,100.00,13.125,5.412,7.192,6.105
values_16,1460,1007,90,237,173,206,100.00,100.00,100.00,100.00,16.222,6.160,8.439,7.087
values_34,2490,1734,145,391,283,338,100.00,100.00,100.00,100.00,17.172,6.368,8.799,7.367
values_82,715,484,50,125,93,110,100.00,100.00,100.00,100.00,14.300,5.720,7.688,6.500
values_46,1930,1340,115,307,223,266,100.00,100.00,100.00,100.00,16.783,6.287,8.655,7.256
values_27,525,348,40,97,73,86,100.00,100.00,100.00,100.00,13.125,5.412,7.192,6.105
