inputName,text,data,bss
values_11,5654,2500,1512
values_19,5654,2500,1512
values_12,5654,2500,1512
values_38,5654,2500,1512
values_81,5654,2500,1512
values_5,5654,2500,1512
values_40,5654,2500,1512
values_70,5654,2500,1512
values_23,5654,2500,1512
values_72,5654,2500,1512
values_79,5654,2500,1512
values_78,5654,2500,1512
values_87,5654,2500,1512
values_6,5654,2500,1512
values_68,5654,2500,1512
values_69,5654,2500,1512
values_1,5654,2500,1512
values_45,5654,2500,1512
values_33,5654,2500,1512
values_15,5654,2500,1512
values_93,5654,2500,1512
values_24,5654,2500,1512
values_25,5654,2500,1512
values_26,5654,2500,1512
values_48,5654,2500,1512
values_71,5654,2500,1512
values_76,5654,2500,1512
values_7,5654,2500,1512
values_50,5654,2500,1512
values_22,5656,2500,1512
values_4,5654,2500,1512
values_32,5656,2500,1512
values_77,5656,2500,1512
values_91,5654,2500,1512
values_42,5654,2500,1512
values_13,5654,2500,1512
values_41,5654,2500,1512
values_55,5654,2500,1512
values_31,5654,2500,1512
values_66,5654,2500,1512
values_65,5654,2500,1512
values_62,5654,2500,1512
values_21,5654,2500,1512
values_95,5654,2500,1512
values_84,5654,2500,1512
values_58,5654,2500,1512
values_64,5656,2500,1512
values_83,5654,2500,1512
values_94,5654,2500,1512
values_0,5654,2500,1512
values_99,5654,2500,1512
values_96,5654,2500,1512
values_67,5654,2500,1512
values_61,5654,2500,1512
values_43,5654,2500,1512
values_2,5654,2500,1512
values_54,5654,2500,1512
values_30,5654,2500,1512
values_59,5654,2500,1512
values_85,5654,2500,1512
values_74,5654,2500,1512
values_90,5654,2500,1512
values_18,5656,2500,1512
values_52,5654,2500,1512
values_44,5654,2500,1512
values_17,5654,2500,1512
values_36,5654,2500,1512
values_49,5654,2500,1512
values_86,5654,2500,1512
values_37,5656,2500,1512
values_56,5656,2500,1512
values_63,5654,2500,1512
values_35,5654,2500,1512
values_97,5654,2500,1512
values_75,5654,2500,1512
values_57,5654,2500,1512
values_88,5654,2500,1512
values_10,5654,2500,1512
values_53,5654,2500,1512
values_8,5654,2500,1512
values_39,5654,2500,1512
values_47,5654,2500,1512
values_60,5654,2500,1512
values_89,5654,2500,1512
values_51,5654,2500,1512
values_14,5654,2500,1512
values_28,5654,2500,1512
values_16,5654,2500,1512
values_34,5654,2500,1512
values_82,5654,2500,1512
values_46,5654,2500,1512
values_27,5654,2500,1512
values_20,5656,2500,1512
values_9,5654,2500,1512
values_92,5654,2500,1512
values_3,5654,2500,1512
values_98,5656,2500,1512
values_29,5654,2500,1512
values_80,5654,2500,1512
values_73,5654,2500,1512
