id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,7442,4931,175,505,471,704,100.00,35.29,23.53,66.67,42.526,14.737,15.800,10.571
values_19,7442,4931,175,505,471,704,100.00,35.29,23.53,66.67,42.526,14.737,15.800,10.571
values_12,5186,3431,145,415,387,497,100.00,35.29,23.53,66.67,35.766,12.496,13.401,10.435
values_38,2850,1879,105,295,275,277,100.00,35.29,23.53,66.67,27.143,9.661,10.364,10.289
values_81,,,335,985,919,466,100.00,35.29,23.53,66.67,0,0,0,0
values_5,8290,5495,185,535,499,781,100.00,35.29,23.53,66.67,44.811,15.495,16.613,10.615
values_40,8290,5495,185,535,499,781,100.00,35.29,23.53,66.67,44.811,15.495,16.613,10.615
values_70,6642,4399,165,475,443,631,100.00,35.29,23.53,66.67,40.255,13.983,14.993,10.526
values_23,,,325,955,891,452,100.00,35.29,23.53,66.67,0,0,0,0
values_72,2118,1543,35,85,79,59,100.00,35.29,23.53,66.67,60.514,24.918,26.810,35.898
values_79,,,315,925,863,438,100.00,35.29,23.53,66.67,0,0,0,0
values_78,,,265,775,723,368,100.00,35.29,23.53,66.67,0,0,0,0
values_87,7442,4931,175,505,471,704,100.00,35.29,23.53,66.67,42.526,14.737,15.800,10.571
values_6,,,245,715,667,340,100.00,35.29,23.53,66.67,0,0,0,0
values_68,1322,860,65,175,163,228,100.00,35.29,23.53,66.67,20.338,7.554,8.110,5.798
values_69,,,305,895,835,424,100.00,35.29,23.53,66.67,0,0,0,0
values_1,8290,5495,185,535,499,781,100.00,35.29,23.53,66.67,44.811,15.495,16.613,10.615
values_45,1322,860,65,175,163,228,100.00,35.29,23.53,66.67,20.338,7.554,8.110,5.798
values_33,4530,2995,135,385,359,436,100.00,35.29,23.53,66.67,33.556,11.766,12.618,10.390
values_15,1968,1293,85,235,219,191,100.00,35.29,23.53,66.67,23.153,8.374,8.986,10.304
values_93,1672,1086,75,205,191,301,100.00,35.29,23.53,66.67,22.293,8.156,8.754,5.555
values_24,3922,2591,125,355,331,379,100.00,35.29,23.53,66.67,31.376,11.048,11.849,10.348
values_25,1050,680,55,145,135,153,100.00,35.29,23.53,66.67,19.091,7.241,7.778,6.863
values_26,,,275,805,751,382,100.00,35.29,23.53,66.67,0,0,0,0
values_48,6642,4399,165,475,443,631,100.00,35.29,23.53,66.67,40.255,13.983,14.993,10.526
values_71,12243,8129,215,625,583,298,100.00,35.29,23.53,66.67,56.944,19.589,21.000,41.084
values_76,12243,8129,215,625,583,298,100.00,35.29,23.53,66.67,56.944,19.589,21.000,41.084
values_7,3362,2219,115,325,303,326,100.00,35.29,23.53,66.67,29.235,10.345,11.096,10.313
values_50,826,532,45,115,107,145,100.00,35.29,23.53,66.67,18.356,7.183,7.720,5.697
values_22,1322,860,65,175,163,228,100.00,35.29,23.53,66.67,20.338,7.554,8.110,5.798
values_4,,,335,985,919,466,100.00,35.29,23.53,66.67,0,0,0,0
values_32,5890,3899,155,445,415,562,100.00,35.29,23.53,66.67,38.000,13.236,14.193,10.480
values_77,,,335,985,919,466,100.00,35.29,23.53,66.67,0,0,0,0
values_91,,,245,715,667,340,100.00,35.29,23.53,66.67,0,0,0,0
values_42,1968,1293,85,235,219,191,100.00,35.29,23.53,66.67,23.153,8.374,8.986,10.304
values_13,5890,3899,155,445,415,562,100.00,35.29,23.53,66.67,38.000,13.236,14.193,10.480
values_41,2118,1543,35,85,79,59,100.00,35.29,23.53,66.67,60.514,24.918,26.810,35.898
values_55,1322,860,65,175,163,228,100.00,35.29,23.53,66.67,20.338,7.554,8.110,5.798
values_31,4530,2995,135,385,359,436,100.00,35.29,23.53,66.67,33.556,11.766,12.618,10.390
values_66,12243,8129,215,625,583,298,100.00,35.29,23.53,66.67,56.944,19.589,21.000,41.084
values_65,3362,2219,115,325,303,326,100.00,35.29,23.53,66.67,29.235,10.345,11.096,10.313
values_62,2118,1543,35,85,79,59,100.00,35.29,23.53,66.67,60.514,24.918,26.810,35.898
values_21,,,325,955,891,452,100.00,35.29,23.53,66.67,0,0,0,0
values_95,5186,3431,145,415,387,497,100.00,35.29,23.53,66.67,35.766,12.496,13.401,10.435
values_84,,,295,865,807,410,100.00,35.29,23.53,66.67,0,0,0,0
values_58,,,285,835,779,396,100.00,35.29,23.53,66.67,0,0,0,0
values_64,4530,2995,135,385,359,436,100.00,35.29,23.53,66.67,33.556,11.766,12.618,10.390
values_83,3922,2591,125,355,331,379,100.00,35.29,23.53,66.67,31.376,11.048,11.849,10.348
values_94,4530,2995,135,385,359,436,100.00,35.29,23.53,66.67,33.556,11.766,12.618,10.390
values_0,2850,1879,105,295,275,277,100.00,35.29,23.53,66.67,27.143,9.661,10.364,10.289
values_99,826,532,45,115,107,145,100.00,35.29,23.53,66.67,18.356,7.183,7.720,5.697
values_96,,,305,895,835,424,100.00,35.29,23.53,66.67,0,0,0,0
values_67,7442,4931,175,505,471,704,100.00,35.29,23.53,66.67,42.526,14.737,15.800,10.571
values_61,1968,1293,85,235,219,191,100.00,35.29,23.53,66.67,23.153,8.374,8.986,10.304
values_43,1050,680,55,145,135,153,100.00,35.29,23.53,66.67,19.091,7.241,7.778,6.863
values_2,1672,1086,75,205,191,301,100.00,35.29,23.53,66.67,22.293,8.156,8.754,5.555
values_54,,,265,775,723,368,100.00,35.29,23.53,66.67,0,0,0,0
values_30,,,275,805,751,382,100.00,35.29,23.53,66.67,0,0,0,0
values_59,,,315,925,863,438,100.00,35.29,23.53,66.67,0,0,0,0
values_85,,,285,835,779,396,100.00,35.29,23.53,66.67,0,0,0,0
values_74,,,305,895,835,424,100.00,35.29,23.53,66.67,0,0,0,0
values_90,13339,8859,225,655,611,312,100.00,35.29,23.53,66.67,59.284,20.365,21.831,42.753
values_18,,,235,685,639,326,100.00,35.29,23.53,66.67,0,0,0,0
values_52,8290,5495,185,535,499,781,100.00,35.29,23.53,66.67,44.811,15.495,16.613,10.615
values_44,2850,1879,105,295,275,277,100.00,35.29,23.53,66.67,27.143,9.661,10.364,10.289
values_17,,,245,715,667,340,100.00,35.29,23.53,66.67,0,0,0,0
values_36,,,315,925,863,438,100.00,35.29,23.53,66.67,0,0,0,0
values_49,2850,1879,105,295,275,277,100.00,35.29,23.53,66.67,27.143,9.661,10.364,10.289
values_86,,,325,955,891,452,100.00,35.29,23.53,66.67,0,0,0,0
values_37,,,245,715,667,340,100.00,35.29,23.53,66.67,0,0,0,0
values_56,,,255,745,695,354,100.00,35.29,23.53,66.67,0,0,0,0
values_63,10195,6766,195,565,527,270,100.00,35.29,23.53,66.67,52.282,18.044,19.345,37.759
values_35,5890,3899,155,445,415,562,100.00,35.29,23.53,66.67,38.000,13.236,14.193,10.480
values_97,3362,2219,115,325,303,326,100.00,35.29,23.53,66.67,29.235,10.345,11.096,10.313
values_75,1968,1293,85,235,219,191,100.00,35.29,23.53,66.67,23.153,8.374,8.986,10.304
values_57,2118,1543,35,85,79,59,100.00,35.29,23.53,66.67,60.514,24.918,26.810,35.898
values_88,12243,8129,215,625,583,298,100.00,35.29,23.53,66.67,56.944,19.589,21.000,41.084
values_10,10195,6766,195,565,527,270,100.00,35.29,23.53,66.67,52.282,18.044,19.345,37.759
values_53,2850,1879,105,295,275,277,100.00,35.29,23.53,66.67,27.143,9.661,10.364,10.289
values_8,13339,8859,225,655,611,312,100.00,35.29,23.53,66.67,59.284,20.365,21.831,42.753
values_39,11195,7431,205,595,555,284,100.00,35.29,23.53,66.67,54.610,18.815,20.171,39.419
values_47,2850,1879,105,295,275,277,100.00,35.29,23.53,66.67,27.143,9.661,10.364,10.289
values_60,1050,680,55,145,135,153,100.00,35.29,23.53,66.67,19.091,7.241,7.778,6.863
values_89,,,265,775,723,368,100.00,35.29,23.53,66.67,0,0,0,0
values_51,1968,1293,85,235,219,191,100.00,35.29,23.53,66.67,23.153,8.374,8.986,10.304
values_14,,,335,985,919,466,100.00,35.29,23.53,66.67,0,0,0,0
values_28,10195,6766,195,565,527,270,100.00,35.29,23.53,66.67,52.282,18.044,19.345,37.759
values_16,1968,1293,85,235,219,191,100.00,35.29,23.53,66.67,23.153,8.374,8.986,10.304
values_34,,,285,835,779,396,100.00,35.29,23.53,66.67,0,0,0,0
values_82,3922,2591,125,355,331,379,100.00,35.29,23.53,66.67,31.376,11.048,11.849,10.348
values_46,,,275,805,751,382,100.00,35.29,23.53,66.67,0,0,0,0
values_27,7442,4931,175,505,471,704,100.00,35.29,23.53,66.67,42.526,14.737,15.800,10.571
values_20,3362,2219,115,325,303,326,100.00,35.29,23.53,66.67,29.235,10.345,11.096,10.313
values_9,,,275,805,751,382,100.00,35.29,23.53,66.67,0,0,0,0
values_92,,,245,715,667,340,100.00,35.29,23.53,66.67,0,0,0,0
values_3,,,275,805,751,382,100.00,35.29,23.53,66.67,0,0,0,0
values_98,,,335,985,919,466,100.00,35.29,23.53,66.67,0,0,0,0
values_29,,,305,895,835,424,100.00,35.29,23.53,66.67,0,0,0,0
values_80,,,245,715,667,340,100.00,35.29,23.53,66.67,0,0,0,0
values_73,,,315,925,863,438,100.00,35.29,23.53,66.67,0,0,0,0
