id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,7393,4898,175,505,471,1005,100.00,35.29,23.53,66.67,42.246,14.640,15.696,7.356
values_19,7393,4898,175,505,471,1005,100.00,35.29,23.53,66.67,42.246,14.640,15.696,7.356
values_12,5137,3398,145,415,387,702,100.00,35.29,23.53,66.67,35.428,12.378,13.274,7.318
values_38,2801,1846,105,295,275,364,100.00,35.29,23.53,66.67,26.676,9.495,10.185,7.695
values_81,,,335,985,919,816,100.00,35.29,23.53,66.67,0,0,0,0
values_5,8241,5462,185,535,499,1152,100.00,35.29,23.53,66.67,44.546,15.404,16.515,7.154
values_40,8241,5462,185,535,499,1152,100.00,35.29,23.53,66.67,44.546,15.404,16.515,7.154
values_70,6593,4366,165,475,443,913,100.00,35.29,23.53,66.67,39.958,13.880,14.883,7.221
values_23,,,325,955,891,822,100.00,35.29,23.53,66.67,0,0,0,0
values_72,2015,1475,35,85,79,39,100.00,35.29,23.53,66.67,57.571,23.706,25.506,51.667
values_79,,,315,925,863,736,100.00,35.29,23.53,66.67,0,0,0,0
values_78,,,265,775,723,591,100.00,35.29,23.53,66.67,0,0,0,0
values_87,7393,4898,175,505,471,1005,100.00,35.29,23.53,66.67,42.246,14.640,15.696,7.356
values_6,,,245,715,667,522,100.00,35.29,23.53,66.67,0,0,0,0
values_68,1275,828,65,175,163,138,100.00,35.29,23.53,66.67,19.615,7.286,7.822,9.239
values_69,,,305,895,835,741,100.00,35.29,23.53,66.67,0,0,0,0
values_1,8241,5462,185,535,499,1152,100.00,35.29,23.53,66.67,44.546,15.404,16.515,7.154
values_45,1275,828,65,175,163,138,100.00,35.29,23.53,66.67,19.615,7.286,7.822,9.239
values_33,4481,2962,135,385,359,589,100.00,35.29,23.53,66.67,33.193,11.639,12.482,7.608
values_15,1918,1259,85,235,219,237,100.00,35.29,23.53,66.67,22.565,8.162,8.758,8.093
values_93,1595,1041,75,205,191,175,100.00,35.29,23.53,66.67,21.267,7.780,8.351,9.114
values_24,3873,2558,125,355,331,519,100.00,35.29,23.53,66.67,30.984,10.910,11.701,7.462
values_25,1003,648,55,145,135,93,100.00,35.29,23.53,66.67,18.236,6.917,7.430,10.785
values_26,,,275,805,751,588,100.00,35.29,23.53,66.67,0,0,0,0
values_48,6593,4366,165,475,443,913,100.00,35.29,23.53,66.67,39.958,13.880,14.883,7.221
values_71,11496,7651,215,625,583,396,100.00,35.29,23.53,66.67,53.470,18.394,19.719,29.030
values_76,11496,7651,215,625,583,396,100.00,35.29,23.53,66.67,53.470,18.394,19.719,29.030
values_7,3313,2186,115,325,303,423,100.00,35.29,23.53,66.67,28.809,10.194,10.934,7.832
values_50,779,500,45,115,107,67,100.00,35.29,23.53,66.67,17.311,6.774,7.280,11.627
values_22,1275,828,65,175,163,138,100.00,35.29,23.53,66.67,19.615,7.286,7.822,9.239
values_4,,,335,985,919,816,100.00,35.29,23.53,66.67,0,0,0,0
values_32,5841,3866,155,445,415,783,100.00,35.29,23.53,66.67,37.684,13.126,14.075,7.460
values_77,,,335,985,919,816,100.00,35.29,23.53,66.67,0,0,0,0
values_91,,,245,715,667,522,100.00,35.29,23.53,66.67,0,0,0,0
values_42,1918,1259,85,235,219,237,100.00,35.29,23.53,66.67,22.565,8.162,8.758,8.093
values_13,5841,3866,155,445,415,783,100.00,35.29,23.53,66.67,37.684,13.126,14.075,7.460
values_41,2015,1475,35,85,79,39,100.00,35.29,23.53,66.67,57.571,23.706,25.506,51.667
values_55,1275,828,65,175,163,138,100.00,35.29,23.53,66.67,19.615,7.286,7.822,9.239
values_31,4481,2962,135,385,359,589,100.00,35.29,23.53,66.67,33.193,11.639,12.482,7.608
values_66,11496,7651,215,625,583,396,100.00,35.29,23.53,66.67,53.470,18.394,19.719,29.030
values_65,3313,2186,115,325,303,423,100.00,35.29,23.53,66.67,28.809,10.194,10.934,7.832
values_62,2015,1475,35,85,79,39,100.00,35.29,23.53,66.67,57.571,23.706,25.506,51.667
values_21,,,325,955,891,822,100.00,35.29,23.53,66.67,0,0,0,0
