inputName,text,data,bss
values_11,11760,144,4648
values_19,11760,144,6688
values_12,11744,144,1384
values_38,11744,144,1216
values_81,11744,144,2464
values_5,11744,144,3304
values_40,11760,144,6688
values_70,11744,144,1216
values_23,11744,144,1064
values_72,11744,144,7144
values_79,11744,144,2216
values_78,12432,144,488
values_87,11744,144,616
values_6,11744,144,928
values_68,11744,144,2728
values_69,11760,144,1568
values_1,11760,144,4288
values_45,11744,144,3304
values_33,11744,144,7144
values_15,11744,144,3304
values_93,11744,144,704
values_24,11760,144,1568
values_25,11744,144,2464
values_26,11744,144,808
values_48,11760,144,5024
values_71,11760,144,6248
values_76,11744,144,7144
values_7,11744,144,1064
values_50,11760,144,7616
values_22,11760,144,4648
values_4,11744,144,2464
values_32,11744,144,2464
values_77,11760,144,5824
values_91,11760,144,7616
values_42,12432,144,488
values_13,11744,144,8104
values_41,11744,144,544
values_55,11744,144,2464
values_31,11744,144,9128
values_66,11760,144,5024
values_65,11744,144,2728
values_62,11760,144,6688
values_21,11760,144,5824
values_95,11760,144,5024
values_84,11744,144,1216
values_58,11760,144,5024
values_64,11744,144,1064
values_83,11744,144,8104
values_94,11744,144,3008
values_0,11744,144,808
values_99,11744,144,616
values_96,11744,144,2728
values_67,11760,144,6688
values_61,11760,144,4288
values_43,11744,144,1216
values_2,11744,144,3304
values_54,11744,144,8608
values_30,11760,144,3616
values_59,11744,144,5416
values_85,11744,144,1768
values_74,11744,144,704
values_90,11760,144,4648
values_18,11744,144,1384
values_52,11744,144,808
values_44,11744,144,1216
values_17,11744,144,5416
values_36,11760,144,4288
values_49,11744,144,7144
values_86,11760,144,1984
values_37,11760,144,6688
values_56,11744,144,8104
values_63,11744,144,2464
values_35,11760,144,6248
values_97,11744,144,2216
values_75,11744,144,8104
values_57,11744,144,2728
values_88,11744,144,9128
values_10,11744,144,8608
values_53,11744,144,8104
values_8,11744,144,3304
values_39,11744,144,1064
values_47,11744,144,2216
values_60,11744,144,2728
values_89,11760,144,6688
values_51,11744,144,5416
values_14,11744,144,704
values_28,11760,144,4288
values_16,11744,144,3304
values_34,12432,144,488
values_82,11744,144,3008
values_46,11744,144,3304
values_27,11744,144,7144
values_20,11760,144,1984
values_9,11744,144,544
values_92,11760,144,3616
values_3,11744,144,8608
values_98,11744,144,2216
values_29,11744,144,808
values_80,11744,144,704
values_73,11760,144,5824
