id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,2303,1709,215,625,583,499,100.00,35.29,23.53,66.67,10.712,3.685,3.950,4.615
values_19,2514,1866,235,685,639,547,100.00,35.29,23.53,66.67,10.698,3.670,3.934,4.596
values_12,3267,2427,305,895,835,715,100.00,35.29,23.53,66.67,10.711,3.650,3.913,4.569
values_38,329,222,45,115,107,145,100.00,35.29,23.53,66.67,7.311,2.861,3.075,2.269
values_81,268,179,115,325,303,355,100.00,35.29,23.53,66.67,2.330,0.825,0.884,0.755
values_5,264,177,105,295,275,303,100.00,35.29,23.53,66.67,2.514,0.895,0.960,0.871
values_40,288,190,145,415,387,535,100.00,35.29,23.53,66.67,1.986,0.694,0.744,0.538
values_70,282,188,125,355,331,411,100.00,35.29,23.53,66.67,2.256,0.794,0.852,0.686
values_23,299,195,175,505,471,751,100.00,35.29,23.53,66.67,1.709,0.592,0.635,0.398
values_72,245,165,55,145,135,153,100.00,35.29,23.53,66.67,4.455,1.690,1.815,1.601
values_79,291,191,155,445,415,603,100.00,35.29,23.53,66.67,1.877,0.654,0.701,0.483
values_78,2514,1866,235,685,639,547,100.00,35.29,23.53,66.67,10.698,3.670,3.934,4.596
values_87,288,190,145,415,387,535,100.00,35.29,23.53,66.67,1.986,0.694,0.744,0.538
values_6,254,168,75,205,191,301,100.00,35.29,23.53,66.67,3.387,1.239,1.330,0.844
values_68,268,179,115,325,303,355,100.00,35.29,23.53,66.67,2.330,0.825,0.884,0.755
values_69,268,179,115,325,303,355,100.00,35.29,23.53,66.67,2.330,0.825,0.884,0.755
values_1,2945,2187,275,805,751,643,100.00,35.29,23.53,66.67,10.709,3.658,3.921,4.580
values_45,295,193,165,475,443,675,100.00,35.29,23.53,66.67,1.788,0.621,0.666,0.437
values_33,3370,2504,315,925,863,739,100.00,35.29,23.53,66.67,10.698,3.643,3.905,4.560
values_15,3053,2268,285,835,779,667,100.00,35.29,23.53,66.67,10.712,3.656,3.919,4.577
values_93,3370,2504,315,925,863,739,100.00,35.29,23.53,66.67,10.698,3.643,3.905,4.560
values_24,249,165,65,175,163,228,100.00,35.29,23.53,66.67,3.831,1.423,1.528,1.092
values_25,277,183,135,385,359,471,100.00,35.29,23.53,66.67,2.052,0.719,0.772,0.588
values_26,295,193,165,475,443,675,100.00,35.29,23.53,66.67,1.788,0.621,0.666,0.437
values_48,254,168,75,205,191,301,100.00,35.29,23.53,66.67,3.387,1.239,1.330,0.844
values_71,2200,1632,205,595,555,475,100.00,35.29,23.53,66.67,10.732,3.697,3.964,4.632
values_76,2303,1709,215,625,583,499,100.00,35.29,23.53,66.67,10.712,3.685,3.950,4.615
values_7,258,173,95,265,247,255,100.00,35.29,23.53,66.67,2.716,0.974,1.045,1.012
values_50,299,195,175,505,471,751,100.00,35.29,23.53,66.67,1.709,0.592,0.635,0.398
values_22,245,165,55,145,135,153,100.00,35.29,23.53,66.67,4.455,1.690,1.815,1.601
values_4,2945,2187,275,805,751,643,100.00,35.29,23.53,66.67,10.709,3.658,3.921,4.580
values_32,2200,1632,205,595,555,475,100.00,35.29,23.53,66.67,10.732,3.697,3.964,4.632
values_77,295,193,165,475,443,675,100.00,35.29,23.53,66.67,1.788,0.621,0.666,0.437
values_91,254,168,75,205,191,301,100.00,35.29,23.53,66.67,3.387,1.239,1.330,0.844
values_42,329,222,45,115,107,145,100.00,35.29,23.53,66.67,7.311,2.861,3.075,2.269
values_13,299,195,175,505,471,751,100.00,35.29,23.53,66.67,1.709,0.592,0.635,0.398
values_41,282,188,125,355,331,411,100.00,35.29,23.53,66.67,2.256,0.794,0.852,0.686
values_55,2410,1789,225,655,611,523,100.00,35.29,23.53,66.67,10.711,3.679,3.944,4.608
values_31,2945,2187,275,805,751,643,100.00,35.29,23.53,66.67,10.709,3.658,3.921,4.580
values_66,288,190,145,415,387,535,100.00,35.29,23.53,66.67,1.986,0.694,0.744,0.538
values_65,277,183,135,385,359,471,100.00,35.29,23.53,66.67,2.052,0.719,0.772,0.588
values_62,2303,1709,215,625,583,499,100.00,35.29,23.53,66.67,10.712,3.685,3.950,4.615
values_21,2622,1947,245,715,667,571,100.00,35.29,23.53,66.67,10.702,3.667,3.931,4.592
values_95,2728,2025,255,745,695,595,100.00,35.29,23.53,66.67,10.698,3.662,3.925,4.585
