inputName,size
11,11
19,31
12,8
38,24
81,21
5,21
40,12
70,31
23,29
72,16
79,15
78,13
87,28
6,31
68,11
69,16
1,29
45,27
33,19
15,17
93,3
24,15
25,7
26,28
48,16
71,29
76,11
7,17
50,20
22,22
4,14
32,3
77,18
91,26
42,12
13,30
41,23
55,11
31,18
66,5
65,29
62,13
21,31
95,4
84,11
58,24
64,26
83,10
94,2
0,6
99,2
96,29
67,7
61,3
43,11
2,20
54,13
30,25
59,3
85,26
74,32
90,7
18,32
52,22
44,31
17,29
36,27
49,30
86,27
37,18
56,13
63,12
35,2
97,16
75,22
57,16
88,18
10,23
53,9
8,10
39,5
47,27
60,16
89,3
51,10
14,14
28,29
16,29
34,28
82,24
46,6
27,15
20,18
9,10
92,24
3,23
98,12
29,13
80,6
73,22
