inputName,text,data,bss
values_11,1102,288,172
values_19,1178,32,44
values_12,1106,128,92
values_38,1178,32,44
values_81,1102,200,128
values_5,1102,200,128
values_40,1178,32,44
values_70,1106,128,92
values_23,1178,32,44
values_72,1178,32,44
values_79,1102,392,224
values_78,1102,288,172
values_87,1106,128,92
values_6,1098,512,284
values_68,1098,512,284
values_69,1098,512,284
values_1,1102,200,128
values_45,1106,72,64
values_33,1102,392,224
values_15,1106,72,64
values_93,1098,512,284
values_24,1106,72,64
values_25,1102,288,172
values_26,1102,200,128
values_48,1106,72,64
values_71,1178,32,44
values_76,1106,72,64
values_7,1106,72,64
values_50,1106,128,92
values_22,1102,288,172
values_4,1098,512,284
values_32,1106,128,92
values_77,1102,200,128
values_91,1102,392,224
values_42,1098,512,284
values_13,1106,128,92
values_41,1106,128,92
values_55,1102,392,224
values_31,1102,200,128
values_66,1106,72,64
values_65,1102,288,172
values_62,1178,32,44
values_21,1102,200,128
values_95,1102,200,128
values_84,1102,288,172
values_58,1102,392,224
values_64,1106,128,92
values_83,1178,32,44
values_94,1102,288,172
values_0,1106,128,92
values_99,1106,72,64
values_96,1098,512,284
values_67,1106,128,92
values_61,1098,512,284
values_43,1178,32,44
values_2,1102,200,128
values_54,1106,72,64
values_30,1178,32,44
values_59,1102,200,128
values_85,1102,200,128
values_74,1106,72,64
values_90,1178,32,44
values_18,1102,288,172
values_52,1106,128,92
values_44,1106,72,64
values_17,1106,72,64
values_36,1106,72,64
values_49,1106,72,64
values_86,1106,72,64
values_37,1102,392,224
values_56,1102,288,172
values_63,1098,512,284
values_35,1106,128,92
values_97,1098,512,284
values_75,1106,128,92
values_57,1106,72,64
values_88,1102,392,224
values_10,1102,200,128
values_53,1098,512,284
values_8,1102,392,224
values_39,1102,200,128
values_47,1098,512,284
values_60,1178,32,44
values_89,1106,72,64
values_51,1102,288,172
values_14,1102,200,128
values_28,1178,32,44
values_16,1102,200,128
values_34,1098,512,284
values_82,1178,32,44
values_46,1102,392,224
values_27,1102,392,224
values_20,1102,392,224
values_9,1106,72,64
values_92,1098,512,284
values_3,1098,512,284
values_98,1106,72,64
values_29,1178,32,44
values_80,1106,128,92
values_73,1102,392,224
