id,clockCycles,assemblyInstr,cacheHit,cacheHitInstr,cacheHitData,MOPS,MIPS,MFLOPS,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,38590,9561,95.3,97.9,85.0,12.39,6.69,5.69,4933,52077,40389,117372,100.00,100.00,100.00,100.00,7.823,0.741,0.955,0.329
values_19,31328,7914,94.8,97.5,83.8,12.63,7.12,5.52,3918,41220,31979,85472,100.00,100.00,100.00,100.00,7.996,0.760,0.980,0.367
values_12,134593,41608,98.2,99.5,95.0,15.46,9.51,5.94,17246,184692,143051,75328,100.00,100.00,100.00,100.00,7.804,0.729,0.941,1.787
values_38,19928,5100,93.2,96.1,80.6,12.80,7.78,5.02,2326,24252,18831,41568,100.00,100.00,100.00,100.00,8.567,0.822,1.058,0.479
values_81,6104,1730,84.8,88.2,35.0,14.17,12.12,2.05,341,3357,2621,16578,100.00,100.00,100.00,100.00,17.900,1.818,2.329,0.368
values_5,294800,88960,97.1,99.8,90.4,15.09,9.13,5.96,37238,401244,310607,163756,100.00,100.00,100.00,100.00,7.917,0.735,0.949,1.800
values_40,412456,120431,96.5,99.8,88.5,14.60,8.69,5.91,51365,554637,429269,226411,100.00,100.00,100.00,100.00,8.030,0.744,0.961,1.822
values_70,200702,61464,98.2,99.7,94.5,15.31,9.25,6.06,25973,279117,216119,113881,100.00,100.00,100.00,100.00,7.727,0.719,0.929,1.762
values_23,200702,61464,98.2,99.7,94.5,15.31,9.25,6.06,25973,279117,216119,113881,100.00,100.00,100.00,100.00,7.727,0.719,0.929,1.762
values_72,262518,79872,97.4,99.8,91.5,15.21,9.26,5.95,33181,357237,276561,145783,100.00,100.00,100.00,100.00,7.912,0.735,0.949,1.801
values_79,232848,70840,97.8,99.7,92.8,15.21,9.27,5.94,29430,316572,245099,129176,100.00,100.00,100.00,100.00,7.912,0.736,0.950,1.803
values_78,294800,88960,97.1,99.8,90.4,15.09,9.13,5.96,37238,401244,310607,163756,100.00,100.00,100.00,100.00,7.917,0.735,0.949,1.800
values_87,77857,18873,96.7,98.9,88.5,12.12,5.81,6.31,10733,114405,88649,340552,100.00,100.00,100.00,100.00,7.254,0.681,0.878,0.229
values_6,66069,16106,96.4,98.8,87.8,12.19,5.99,6.20,8998,95724,74187,267624,100.00,100.00,100.00,100.00,7.343,0.690,0.891,0.247
values_68,294800,88960,97.1,99.8,90.4,15.09,9.13,5.96,37238,401244,310607,163756,100.00,100.00,100.00,100.00,7.917,0.735,0.949,1.800
values_69,56524,13639,96.1,98.5,87.0,12.06,6.09,5.97,7461,79197,61391,207098,100.00,100.00,100.00,100.00,7.576,0.714,0.921,0.273
values_1,262518,79872,97.4,99.8,91.5,15.21,9.26,5.95,33181,357237,276561,145783,100.00,100.00,100.00,100.00,7.912,0.735,0.949,1.801
values_45,4488,1396,83.5,85.8,41.3,15.55,14.95,0.60,93,837,659,3216,100.00,100.00,100.00,100.00,48.258,5.362,6.810,1.396
values_33,6104,1730,84.8,88.2,35.0,14.17,12.12,2.05,341,3357,2621,16578,100.00,100.00,100.00,100.00,17.900,1.818,2.329,0.368
values_15,38590,9561,95.3,97.9,85.0,12.39,6.69,5.69,4933,52077,40389,117372,100.00,100.00,100.00,100.00,7.823,0.741,0.955,0.329
values_93,134593,41608,98.2,99.5,95.0,15.46,9.51,5.94,17246,184692,143051,75328,100.00,100.00,100.00,100.00,7.804,0.729,0.941,1.787
values_24,412456,120431,96.5,99.8,88.5,14.60,8.69,5.91,51365,554637,429269,226411,100.00,100.00,100.00,100.00,8.030,0.744,0.961,1.822
