inputName,text,data,bss
values_11,5726,5628,3048
values_19,5788,10956,5712
values_12,5764,8268,4368
values_38,5790,13308,6888
values_81,5790,11708,6088
values_5,5790,11708,6088
values_40,5726,4428,2448
values_70,5790,13308,6888
values_23,5726,3068,1768
values_72,5790,11708,6088
values_79,5724,2748,1608
values_78,5764,7676,4072
values_87,5726,4428,2448
values_6,5726,5628,3048
values_68,5790,11708,6088
values_69,5726,5628,3048
values_1,5764,8268,4368
values_45,5734,2556,1512
values_33,5730,6588,3528
values_15,5790,13308,6888
values_93,5788,10956,5712
values_24,5764,8268,4368
values_25,5756,7116,3792
values_26,5726,5628,3048
values_48,5726,4428,2448
values_71,5790,13308,6888
values_76,5726,5196,2832
values_7,5790,10236,5352
values_50,5730,6588,3528
values_22,5726,2892,1680
values_4,5726,2892,1680
values_32,5726,5196,2832
values_77,5726,4796,2632
values_91,5726,4092,2280
values_42,5756,7116,3792
values_13,5734,2556,1512
values_41,5726,3276,1872
values_55,5726,5628,3048
values_31,5710,2636,1552
values_66,5726,6092,3280
values_65,5790,10236,5352
values_62,5726,4428,2448
values_21,5724,2748,1608
values_95,5726,4092,2280
values_84,5764,8268,4368
values_58,5790,9548,5008
values_64,5710,2636,1552
values_83,5788,10956,5712
values_94,5764,8268,4368
values_0,5790,13308,6888
values_99,5790,11708,6088
values_96,5790,12492,6480
values_67,5726,3276,1872
values_61,5726,4796,2632
values_43,5726,6092,3280
values_2,5726,2892,1680
values_54,5726,3276,1872
values_30,5726,2892,1680
values_59,5756,7116,3792
values_85,5726,4428,2448
values_74,5724,2748,1608
values_90,5726,2892,1680
values_18,5756,7116,3792
values_52,5730,6588,3528
values_44,5764,8268,4368
values_17,5728,3516,1992
values_36,5790,12492,6480
values_49,5730,6588,3528
values_86,5764,8268,4368
values_37,5726,3068,1768
values_56,5764,8892,4680
values_63,5724,2748,1608
values_35,5764,8892,4680
values_97,5724,2748,1608
values_75,5726,2892,1680
values_57,5734,2556,1512
values_88,5730,6588,3528
values_10,5728,3516,1992
values_53,5728,3516,1992
values_8,5724,2748,1608
values_39,5726,5628,3048
values_47,5710,2636,1552
values_60,5710,2636,1552
values_89,5764,8268,4368
values_51,5726,4428,2448
values_14,5764,7676,4072
values_28,5726,3788,2128
values_16,5726,6092,3280
values_34,5726,3276,1872
values_82,5756,7116,3792
values_46,5764,7676,4072
values_27,5764,8892,4680
values_20,5726,3068,1768
values_9,5728,3516,1992
values_92,5726,6092,3280
values_3,5788,10956,5712
values_98,5710,2636,1552
values_29,5764,8892,4680
values_80,5726,3276,1872
values_73,5790,13308,6888
