inputName,text,data,bss
values_11,6010,2740,1496
values_19,6004,2532,1496
values_12,5654,2508,1496
values_38,6010,2716,1496
values_81,6004,2740,1496
values_5,6010,2652,1496
values_40,6010,2740,1496
values_70,6010,2740,1496
values_23,6014,2516,1496
values_72,5654,2508,1496
values_79,6004,2532,1496
values_78,6010,2716,1496
values_87,5998,2572,1496
values_6,6014,2516,1496
values_68,6010,2716,1496
values_69,6004,2532,1496
values_1,6010,2740,1496
values_45,6010,2652,1496
values_33,6014,2516,1496
values_15,6010,2652,1496
values_93,6014,2516,1496
values_24,6004,2524,1496
values_25,6010,2652,1496
values_26,6014,2516,1496
values_48,6010,2716,1496
values_71,6010,2740,1496
values_76,6014,2516,1496
values_7,6004,2572,1496
values_50,6010,2740,1496
values_22,5654,2508,1496
values_4,6004,2524,1496
values_32,5654,2508,1496
values_77,6004,2572,1496
values_91,6010,2740,1496
values_42,5654,2508,1496
values_13,6014,2516,1496
values_41,6010,2740,1496
values_55,6010,2652,1496
values_31,6010,2740,1496
values_66,6014,2516,1496
values_65,6010,2652,1496
values_62,5654,2508,1496
values_21,6010,2740,1496
values_95,6010,2652,1496
values_84,5998,2524,1496
values_58,6010,2716,1496
values_64,6004,2524,1496
values_83,6008,2516,1496
values_94,6004,2524,1496
values_0,6010,2740,1496
values_99,6004,2532,1496
values_96,6014,2516,1496
values_67,6004,2572,1496
values_61,6010,2740,1496
values_43,6014,2516,1496
values_2,5654,2508,1496
values_54,6004,2524,1496
values_30,6010,2740,1496
values_59,6004,2532,1496
values_85,6004,2652,1496
values_74,6004,2524,1496
values_90,6010,2740,1496
values_18,6010,2716,1496
values_52,5654,2508,1496
values_44,6004,2524,1496
values_17,6004,2572,1496
values_36,6014,2516,1496
values_49,6004,2532,1496
values_86,6008,2516,1496
values_37,6004,2572,1496
values_56,6014,2516,1496
values_63,6014,2516,1496
values_35,6010,2652,1496
values_97,6004,2572,1496
values_75,6010,2652,1496
values_57,6004,2572,1496
values_88,6004,2716,1496
values_10,6010,2740,1496
values_53,6014,2516,1496
values_8,6010,2716,1496
values_39,6004,2532,1496
values_47,6004,2572,1496
values_60,6010,2740,1496
values_89,5998,2532,1496
values_51,6010,2740,1496
values_14,6004,2524,1496
values_28,6010,2716,1496
values_16,6014,2516,1496
values_34,6004,2524,1496
values_82,5652,2508,1496
values_46,6014,2516,1496
values_27,6004,2572,1496
values_20,6010,2740,1496
values_9,6004,2532,1496
values_92,5654,2508,1496
values_3,6014,2516,1496
values_98,6010,2716,1496
values_29,6004,2532,1496
values_80,6004,2740,1496
values_73,6014,2516,1496
