id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,12026,6548,840,4367,2852,2468,100.00,100.00,100.00,100.00,14.317,2.754,4.217,4.873
values_19,9656,5261,708,3513,2350,1999,100.00,100.00,100.00,100.00,13.638,2.749,4.109,4.830
values_12,4603,2507,344,1759,1132,984,100.00,100.00,100.00,100.00,13.381,2.617,4.066,4.678
values_38,3874,2102,290,1432,946,807,100.00,100.00,100.00,100.00,13.359,2.705,4.095,4.800
values_81,3441,1868,256,1268,838,716,100.00,100.00,100.00,100.00,13.441,2.714,4.106,4.806
values_5,1287,694,108,498,330,278,100.00,100.00,100.00,100.00,11.917,2.584,3.900,4.629
values_40,2708,1476,216,1060,690,594,100.00,100.00,100.00,100.00,12.537,2.555,3.925,4.559
values_70,3380,1846,268,1326,862,744,100.00,100.00,100.00,100.00,12.612,2.549,3.921,4.543
values_23,1963,1069,164,786,512,439,100.00,100.00,100.00,100.00,11.970,2.497,3.834,4.472
values_72,6879,3748,508,2541,1680,1438,100.00,100.00,100.00,100.00,13.541,2.707,4.095,4.784
values_79,3518,1910,260,1298,854,732,100.00,100.00,100.00,100.00,13.531,2.710,4.119,4.806
values_78,8726,4737,604,3085,2046,1751,100.00,100.00,100.00,100.00,14.447,2.829,4.265,4.983
values_87,11082,6043,796,4085,2674,2309,100.00,100.00,100.00,100.00,13.922,2.713,4.144,4.799
values_6,6879,3748,508,2541,1680,1438,100.00,100.00,100.00,100.00,13.541,2.707,4.095,4.784
values_68,8394,4563,588,3021,1986,1709,100.00,100.00,100.00,100.00,14.276,2.779,4.227,4.912
values_69,1546,837,130,601,400,337,100.00,100.00,100.00,100.00,11.892,2.572,3.865,4.588
values_1,1882,1022,156,734,486,412,100.00,100.00,100.00,100.00,12.064,2.564,3.872,4.568
values_45,8588,4673,612,3113,2054,1763,100.00,100.00,100.00,100.00,14.033,2.759,4.181,4.871
values_33,11750,6420,856,4423,2868,2492,100.00,100.00,100.00,100.00,13.727,2.657,4.097,4.715
values_15,9977,5439,712,3687,2398,2079,100.00,100.00,100.00,100.00,14.013,2.706,4.161,4.799
values_93,3915,2135,292,1514,964,845,100.00,100.00,100.00,100.00,13.408,2.586,4.061,4.633
values_24,10272,5597,740,3753,2478,2127,100.00,100.00,100.00,100.00,13.881,2.737,4.145,4.829
values_25,11747,6410,828,4389,2812,2464,100.00,100.00,100.00,100.00,14.187,2.676,4.177,4.767
values_26,10698,5828,752,3923,2548,2212,100.00,100.00,100.00,100.00,14.226,2.727,4.199,4.836
values_48,11880,6474,840,4351,2840,2458,100.00,100.00,100.00,100.00,14.143,2.730,4.183,4.833
values_71,11762,6411,844,4301,2834,2437,100.00,100.00,100.00,100.00,13.936,2.735,4.150,4.826
values_76,4928,2677,356,1801,1182,1015,100.00,100.00,100.00,100.00,13.843,2.736,4.169,4.855
values_7,2627,1429,208,1008,664,567,100.00,100.00,100.00,100.00,12.630,2.606,3.956,4.633
values_50,13354,7292,952,4999,3220,2812,100.00,100.00,100.00,100.00,14.027,2.671,4.147,4.749
values_22,6499,3538,468,2401,1564,1352,100.00,100.00,100.00,100.00,13.887,2.707,4.155,4.807
values_4,3376,1841,264,1304,852,733,100.00,100.00,100.00,100.00,12.788,2.589,3.962,4.606
values_32,8373,4567,616,3111,2046,1759,100.00,100.00,100.00,100.00,13.593,2.691,4.092,4.760
values_77,6880,3743,484,2529,1634,1421,100.00,100.00,100.00,100.00,14.215,2.720,4.211,4.842
values_91,7158,3910,544,2707,1784,1530,100.00,100.00,100.00,100.00,13.158,2.644,4.012,4.678
values_42,1125,600,92,394,278,224,100.00,100.00,90.00,100.00,12.228,2.855,4.047,5.022
values_13,2129,1150,166,771,526,438,100.00,100.00,100.00,100.00,12.825,2.761,4.048,4.861
values_41,6227,3391,464,2291,1526,1299,100.00,100.00,100.00,100.00,13.420,2.718,4.081,4.794
values_55,8402,4573,596,3065,2006,1731,100.00,100.00,100.00,100.00,14.097,2.741,4.188,4.854
values_31,1797,970,144,660,450,374,100.00,100.00,100.00,100.00,12.479,2.723,3.993,4.805
values_66,1878,1017,152,712,476,401,100.00,100.00,100.00,100.00,12.355,2.638,3.945,4.683
values_65,4381,2373,320,1547,1050,881,100.00,100.00,100.00,100.00,13.691,2.832,4.172,4.973
values_62,8790,4793,644,3249,2142,1839,100.00,100.00,100.00,100.00,13.649,2.705,4.104,4.780
values_21,8584,4692,632,3279,2108,1840,100.00,100.00,100.00,100.00,13.582,2.618,4.072,4.665
values_95,1979,1071,162,733,504,417,100.00,100.00,100.00,100.00,12.216,2.700,3.927,4.746
values_84,8389,4563,608,3011,2022,1715,100.00,100.00,100.00,100.00,13.798,2.786,4.149,4.892
values_58,6146,3344,456,2239,1500,1272,100.00,100.00,100.00,100.00,13.478,2.745,4.097,4.832
values_64,3287,1784,248,1208,806,684,100.00,100.00,100.00,100.00,13.254,2.721,4.078,4.806
values_83,11188,6091,780,4069,2650,2297,100.00,100.00,100.00,100.00,14.344,2.750,4.222,4.871
values_94,5276,2871,388,1953,1282,1101,100.00,100.00,100.00,100.00,13.598,2.701,4.115,4.792
values_0,4620,2509,340,1681,1118,951,100.00,100.00,100.00,100.00,13.588,2.748,4.132,4.858
values_99,4628,2519,348,1725,1138,973,100.00,100.00,100.00,100.00,13.299,2.683,4.067,4.756
values_96,5923,3228,452,2193,1472,1246,100.00,100.00,100.00,100.00,13.104,2.701,4.024,4.754
values_67,2449,1333,194,957,620,535,100.00,100.00,100.00,100.00,12.624,2.559,3.950,4.578
values_61,170,77,22,68,50,36,100.00,80.00,60.00,100.00,7.727,2.500,3.400,4.722
values_43,3178,1720,230,1143,758,646,100.00,100.00,100.00,100.00,13.817,2.780,4.193,4.920
values_2,1878,1017,152,712,476,401,100.00,100.00,100.00,100.00,12.355,2.638,3.945,4.683
values_54,3295,1794,256,1252,826,706,100.00,100.00,100.00,100.00,12.871,2.632,3.989,4.667
values_30,10507,5728,756,3865,2536,2186,100.00,100.00,100.00,100.00,13.898,2.718,4.143,4.806
values_59,11896,6470,832,4251,2816,2414,100.00,100.00,100.00,100.00,14.298,2.798,4.224,4.928
values_85,3121,1703,246,1223,792,685,100.00,100.00,100.00,100.00,12.687,2.552,3.941,4.556
values_74,1392,753,122,541,368,305,100.00,100.00,100.00,100.00,11.410,2.573,3.783,4.564
values_90,3570,1939,278,1334,892,754,100.00,100.00,100.00,100.00,12.842,2.676,4.002,4.735
values_18,8750,4767,628,3217,2106,1817,100.00,100.00,100.00,100.00,13.933,2.720,4.155,4.816
values_52,10734,5849,764,3933,2574,2223,100.00,100.00,100.00,100.00,14.050,2.729,4.170,4.829
values_44,2469,1340,196,926,622,524,100.00,100.00,100.00,100.00,12.597,2.666,3.969,4.712
values_17,2878,1562,222,1067,714,604,100.00,100.00,100.00,100.00,12.964,2.697,4.031,4.765
values_36,174,82,26,90,60,47,100.00,100.00,70.00,100.00,6.692,1.933,2.900,3.702
values_49,9208,5014,648,3375,2192,1902,100.00,100.00,100.00,100.00,14.210,2.728,4.201,4.841
values_86,1728,938,148,674,454,380,100.00,100.00,100.00,100.00,11.676,2.564,3.806,4.547
values_37,5972,3259,452,2257,1482,1273,100.00,100.00,100.00,100.00,13.212,2.646,4.030,4.691
values_56,727,387,74,297,206,166,100.00,100.00,90.00,100.00,9.824,2.448,3.529,4.380
values_63,174,82,26,90,60,47,100.00,100.00,70.00,100.00,6.692,1.933,2.900,3.702
values_35,7138,3885,524,2597,1734,1475,100.00,100.00,100.00,100.00,13.622,2.749,4.116,4.839
values_97,3214,1747,248,1200,800,679,100.00,100.00,100.00,100.00,12.960,2.678,4.018,4.733
values_75,8819,4799,624,3203,2102,1811,100.00,100.00,100.00,100.00,14.133,2.753,4.196,4.870
values_57,804,429,78,327,222,182,100.00,100.00,100.00,100.00,10.308,2.459,3.622,4.418
values_88,12823,6984,908,4645,3064,2634,100.00,100.00,100.00,100.00,14.122,2.761,4.185,4.868
values_10,12965,7077,928,4827,3130,2721,100.00,100.00,100.00,100.00,13.971,2.686,4.142,4.765
values_53,4137,2250,316,1557,1026,877,100.00,100.00,100.00,100.00,13.092,2.657,4.032,4.717
values_8,2072,1133,182,851,560,477,100.00,100.00,100.00,100.00,11.385,2.435,3.700,4.344
values_39,9212,5019,652,3397,2202,1913,100.00,100.00,100.00,100.00,14.129,2.712,4.183,4.815
values_47,174,82,26,90,60,47,100.00,100.00,70.00,100.00,6.692,1.933,2.900,3.702
values_60,9584,5219,684,3493,2298,1977,100.00,100.00,100.00,100.00,14.012,2.744,4.171,4.848
values_89,402,207,38,152,106,82,100.00,100.00,80.00,100.00,10.579,2.645,3.792,4.902
values_51,6762,3680,488,2479,1628,1400,100.00,100.00,100.00,100.00,13.857,2.728,4.154,4.830
values_14,9836,5365,692,3681,2350,2063,100.00,100.00,100.00,100.00,14.214,2.672,4.186,4.768
values_28,2878,1562,222,1067,714,604,100.00,100.00,100.00,100.00,12.964,2.697,4.031,4.765
values_16,10442,5701,764,3901,2550,2203,100.00,100.00,100.00,100.00,13.668,2.677,4.095,4.740
values_34,174,82,26,90,60,47,100.00,100.00,70.00,100.00,6.692,1.933,2.900,3.702
values_82,4786,2608,360,1807,1180,1016,100.00,100.00,100.00,100.00,13.294,2.649,4.056,4.711
values_46,5539,3013,408,2031,1346,1149,100.00,100.00,100.00,100.00,13.576,2.727,4.115,4.821
values_27,8365,4557,608,3067,2026,1737,100.00,100.00,100.00,100.00,13.758,2.727,4.129,4.816
values_20,170,77,22,68,50,36,100.00,80.00,60.00,100.00,7.727,2.500,3.400,4.722
values_9,1218,662,112,512,334,284,100.00,100.00,100.00,100.00,10.875,2.379,3.647,4.289
values_92,6187,3365,448,2259,1490,1277,100.00,100.00,100.00,100.00,13.810,2.739,4.152,4.845
values_3,6968,3805,524,2637,1726,1487,100.00,100.00,100.00,100.00,13.298,2.642,4.037,4.686
values_98,10438,5696,760,3879,2540,2192,100.00,100.00,100.00,100.00,13.734,2.691,4.109,4.762
values_29,1963,1069,164,786,512,439,100.00,100.00,100.00,100.00,11.970,2.497,3.834,4.472
values_80,12078,6589,868,4465,2918,2523,100.00,100.00,100.00,100.00,13.915,2.705,4.139,4.787
