id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,13164,6915,840,4245,2669,2036,100.00,100.00,100.00,100.00,15.671,3.101,4.932,6.466
values_19,10578,5548,708,3433,2230,1667,100.00,100.00,100.00,100.00,14.941,3.081,4.743,6.346
values_12,5040,2657,344,1705,1051,808,100.00,100.00,100.00,100.00,14.651,2.956,4.795,6.238
values_38,4239,2222,290,1396,892,673,100.00,100.00,100.00,100.00,14.617,3.037,4.752,6.299
values_81,3768,1973,256,1236,790,596,100.00,100.00,100.00,100.00,14.719,3.049,4.770,6.322
values_5,1410,735,108,486,312,234,100.00,100.00,100.00,100.00,13.056,2.901,4.519,6.026
values_40,2970,1564,216,1030,645,490,100.00,100.00,100.00,100.00,13.750,2.883,4.605,6.061
values_70,3708,1956,268,1288,805,612,100.00,100.00,100.00,100.00,13.836,2.879,4.606,6.059
values_23,2154,1134,164,764,479,363,100.00,100.00,100.00,100.00,13.134,2.819,4.497,5.934
values_72,7536,3958,508,2477,1584,1194,100.00,100.00,100.00,100.00,14.835,3.042,4.758,6.312
values_79,3852,2018,260,1264,803,608,100.00,100.00,100.00,100.00,14.815,3.047,4.797,6.336
values_78,9546,4994,604,3009,1932,1459,100.00,100.00,100.00,100.00,15.805,3.172,4.941,6.543
values_87,12138,6384,796,3973,2506,1905,100.00,100.00,100.00,100.00,15.249,3.055,4.844,6.372
values_6,7536,3958,508,2477,1584,1194,100.00,100.00,100.00,100.00,14.835,3.042,4.758,6.312
values_68,9186,4816,588,2941,1866,1417,100.00,100.00,100.00,100.00,15.622,3.123,4.923,6.483
values_69,1695,886,130,587,379,283,100.00,100.00,100.00,100.00,13.038,2.888,4.472,5.989
values_1,2064,1082,156,716,459,344,100.00,100.00,100.00,100.00,13.231,2.883,4.497,6.000
values_45,9402,4932,612,3033,1934,1463,100.00,100.00,100.00,100.00,15.363,3.100,4.861,6.427
values_33,12876,6791,856,4293,2673,2044,100.00,100.00,100.00,100.00,15.042,2.999,4.817,6.299
values_15,10926,5749,712,3581,2239,1711,100.00,100.00,100.00,100.00,15.346,3.051,4.880,6.386
values_93,4290,2264,292,1464,889,689,100.00,100.00,100.00,100.00,14.692,2.930,4.826,6.226
values_24,11250,5908,740,3657,2334,1763,100.00,100.00,100.00,100.00,15.203,3.076,4.820,6.381
values_25,12864,6784,828,4249,2602,2012,100.00,100.00,100.00,100.00,15.536,3.028,4.944,6.394
values_26,11712,6159,752,3809,2377,1820,100.00,100.00,100.00,100.00,15.574,3.075,4.927,6.435
values_48,13008,6839,840,4229,2657,2026,100.00,100.00,100.00,100.00,15.486,3.076,4.896,6.421
values_71,12882,6768,844,4189,2666,2017,100.00,100.00,100.00,100.00,15.263,3.075,4.832,6.387
values_76,5394,2828,356,1753,1110,843,100.00,100.00,100.00,100.00,15.152,3.077,4.859,6.399
values_7,2880,1512,208,982,625,471,100.00,100.00,100.00,100.00,13.846,2.933,4.608,6.115
values_50,14628,7715,952,4845,2989,2300,100.00,100.00,100.00,100.00,15.366,3.019,4.894,6.360
values_22,7116,3740,468,2333,1462,1116,100.00,100.00,100.00,100.00,15.205,3.050,4.867,6.376
values_4,3702,1949,264,1268,798,605,100.00,100.00,100.00,100.00,14.023,2.920,4.639,6.119
values_32,9174,4825,616,3029,1923,1455,100.00,100.00,100.00,100.00,14.893,3.029,4.771,6.305
values_77,7530,3958,484,2453,1520,1169,100.00,100.00,100.00,100.00,15.558,3.070,4.954,6.441
values_91,7848,4133,544,2637,1679,1266,100.00,100.00,100.00,100.00,14.426,2.976,4.674,6.199
values_42,1230,631,92,390,272,196,100.00,100.00,90.00,100.00,13.370,3.154,4.522,6.276
values_13,2331,1212,166,757,505,372,100.00,100.00,100.00,100.00,14.042,3.079,4.616,6.266
values_41,6822,3579,464,2237,1445,1083,100.00,100.00,100.00,100.00,14.703,3.050,4.721,6.299
values_55,9198,4830,596,2981,1880,1431,100.00,100.00,100.00,100.00,15.433,3.086,4.893,6.428
values_31,1968,1023,144,648,432,318,100.00,100.00,100.00,100.00,13.667,3.037,4.556,6.189
values_66,2058,1075,152,696,452,337,100.00,100.00,100.00,100.00,13.539,2.957,4.553,6.107
values_65,4794,2499,320,1517,1005,745,100.00,100.00,100.00,100.00,14.981,3.160,4.770,6.435
values_62,9630,5062,644,3165,2016,1523,100.00,100.00,100.00,100.00,14.953,3.043,4.777,6.323
values_21,9408,4969,632,3177,1955,1504,100.00,100.00,100.00,100.00,14.886,2.961,4.812,6.255
values_95,2169,1129,162,721,486,355,100.00,100.00,100.00,100.00,13.389,3.008,4.463,6.110
values_84,9186,4809,608,2945,1923,1435,100.00,100.00,100.00,100.00,15.109,3.119,4.777,6.401
values_58,6732,3527,456,2189,1425,1064,100.00,100.00,100.00,100.00,14.763,3.075,4.724,6.327
values_64,3600,1883,248,1180,764,572,100.00,100.00,100.00,100.00,14.516,3.051,4.712,6.294
values_83,12246,6434,780,3953,2476,1893,100.00,100.00,100.00,100.00,15.700,3.098,4.946,6.469
values_94,5778,3034,388,1901,1204,913,100.00,100.00,100.00,100.00,14.892,3.039,4.799,6.329
values_0,5058,2648,340,1641,1058,795,100.00,100.00,100.00,100.00,14.876,3.082,4.781,6.362
values_99,5070,2662,348,1681,1072,809,100.00,100.00,100.00,100.00,14.569,3.016,4.729,6.267
values_96,6492,3406,452,2145,1400,1042,100.00,100.00,100.00,100.00,14.363,3.027,4.637,6.230
values_67,2685,1413,194,929,578,441,100.00,100.00,100.00,100.00,13.840,2.890,4.645,6.088
values_61,201,94,22,68,50,35,100.00,80.00,60.00,100.00,9.136,2.956,4.020,5.743
values_43,3477,1815,230,1115,716,540,100.00,100.00,100.00,100.00,15.117,3.118,4.856,6.439
values_2,2058,1075,152,696,452,337,100.00,100.00,100.00,100.00,13.539,2.957,4.553,6.107
values_54,3612,1897,256,1220,778,586,100.00,100.00,100.00,100.00,14.109,2.961,4.643,6.164
values_30,11508,6050,756,3761,2380,1806,100.00,100.00,100.00,100.00,15.222,3.060,4.835,6.372
values_59,13020,6823,832,4145,2657,2006,100.00,100.00,100.00,100.00,15.649,3.141,4.900,6.491
values_85,3423,1805,246,1187,738,563,100.00,100.00,100.00,100.00,13.915,2.884,4.638,6.080
