id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,12872,8953,920,4705,2908,2908,100.00,100.00,100.00,100.00,13.991,2.736,4.426,4.426
values_19,11848,8241,832,4233,2636,2636,100.00,100.00,100.00,100.00,14.240,2.799,4.495,4.495
values_12,1524,1058,112,506,324,324,100.00,100.00,100.00,100.00,13.607,3.012,4.704,4.704
values_38,289,195,26,88,60,60,100.00,100.00,70.00,100.00,11.115,3.284,4.817,4.817
values_81,12872,8953,852,4253,2705,2705,100.00,100.00,100.00,100.00,15.108,3.027,4.759,4.759
values_5,7240,5037,524,2657,1647,1647,100.00,100.00,100.00,100.00,13.817,2.725,4.396,4.396
values_40,884,613,66,267,178,178,100.00,100.00,100.00,100.00,13.394,3.311,4.966,4.966
values_70,289,195,22,68,53,53,100.00,80.00,60.00,100.00,13.136,4.250,5.453,5.453
values_23,3060,2126,196,890,585,585,100.00,100.00,100.00,100.00,15.612,3.438,5.231,5.231
values_72,7240,5037,468,2281,1477,1477,100.00,100.00,100.00,100.00,15.470,3.174,4.902,4.902
values_79,5704,3969,360,1721,1132,1132,100.00,100.00,100.00,100.00,15.844,3.314,5.039,5.039
values_78,2676,1859,198,973,608,608,100.00,100.00,100.00,100.00,13.515,2.750,4.401,4.401
values_87,545,373,42,162,107,107,100.00,100.00,80.00,100.00,12.976,3.364,5.093,5.093
values_6,6216,4325,396,1905,1245,1245,100.00,100.00,100.00,100.00,15.697,3.263,4.993,4.993
values_68,11336,7885,748,3705,2361,2361,100.00,100.00,100.00,100.00,15.155,3.060,4.801,4.801
values_69,10824,7529,768,3889,2412,2412,100.00,100.00,100.00,100.00,14.094,2.783,4.488,4.488
values_1,4680,3257,340,1661,1033,1033,100.00,100.00,100.00,100.00,13.765,2.818,4.530,4.530
values_45,12872,8953,872,4401,2776,2776,100.00,100.00,100.00,100.00,14.761,2.925,4.637,4.637
values_33,5704,3969,392,1921,1218,1218,100.00,100.00,100.00,100.00,14.551,2.969,4.683,4.683
values_15,8264,5749,556,2729,1731,1731,100.00,100.00,100.00,100.00,14.863,3.028,4.774,4.774
values_93,11848,8241,856,4401,2714,2714,100.00,100.00,100.00,100.00,13.841,2.692,4.366,4.366
values_24,3060,2126,220,1058,663,663,100.00,100.00,100.00,100.00,13.909,2.892,4.615,4.615
values_25,3060,2126,196,906,597,597,100.00,100.00,100.00,100.00,15.612,3.377,5.126,5.126
values_26,884,613,62,239,165,165,100.00,100.00,90.00,100.00,14.258,3.699,5.358,5.358
values_48,1140,791,82,357,237,237,100.00,100.00,100.00,100.00,13.902,3.193,4.810,4.810
values_71,289,195,22,68,53,53,100.00,80.00,60.00,100.00,13.136,4.250,5.453,5.453
values_76,1524,1058,96,402,278,278,100.00,100.00,100.00,100.00,15.875,3.791,5.482,5.482
values_7,2676,1859,194,921,577,577,100.00,100.00,100.00,100.00,13.794,2.906,4.638,4.638
values_50,2292,1592,160,752,483,483,100.00,100.00,100.00,100.00,14.325,3.048,4.745,4.745
values_22,13896,9665,936,4697,2964,2964,100.00,100.00,100.00,100.00,14.846,2.958,4.688,4.688
values_4,1908,1325,122,531,358,358,100.00,100.00,100.00,100.00,15.639,3.593,5.330,5.330
values_32,13384,9309,912,4621,2908,2908,100.00,100.00,100.00,100.00,14.675,2.896,4.602,4.602
values_77,11336,7885,756,3753,2381,2381,100.00,100.00,100.00,100.00,14.995,3.021,4.761,4.761
values_91,884,613,58,219,158,158,100.00,100.00,90.00,100.00,15.241,4.037,5.595,5.595
values_42,11848,8241,828,4197,2617,2617,100.00,100.00,100.00,100.00,14.309,2.823,4.527,4.527
values_13,12872,8953,940,4861,2985,2985,100.00,100.00,100.00,100.00,13.694,2.648,4.312,4.312
values_41,5192,3613,376,1861,1158,1158,100.00,100.00,100.00,100.00,13.809,2.790,4.484,4.484
values_55,12360,8597,876,4465,2769,2769,100.00,100.00,100.00,100.00,14.110,2.768,4.464,4.464
values_31,11848,8241,840,4257,2638,2638,100.00,100.00,100.00,100.00,14.105,2.783,4.491,4.491
values_66,10824,7529,740,3685,2315,2315,100.00,100.00,100.00,100.00,14.627,2.937,4.676,4.676
values_65,7752,5393,548,2789,1745,1745,100.00,100.00,100.00,100.00,14.146,2.779,4.442,4.442
values_62,5192,3613,372,1841,1151,1151,100.00,100.00,100.00,100.00,13.957,2.820,4.511,4.511
values_21,10312,7173,688,3429,2180,2180,100.00,100.00,100.00,100.00,14.988,3.007,4.730,4.730
values_95,4680,3257,316,1517,973,973,100.00,100.00,100.00,100.00,14.810,3.085,4.810,4.810
values_84,289,195,22,68,53,53,100.00,80.00,60.00,100.00,13.136,4.250,5.453,5.453
values_58,4296,2990,302,1456,920,920,100.00,100.00,100.00,100.00,14.225,2.951,4.670,4.670
values_64,5192,3613,352,1717,1098,1098,100.00,100.00,100.00,100.00,14.750,3.024,4.729,4.729
values_83,11336,7885,812,4153,2569,2569,100.00,100.00,100.00,100.00,13.961,2.730,4.413,4.413
values_94,11336,7885,772,3889,2451,2451,100.00,100.00,100.00,100.00,14.684,2.915,4.625,4.625
values_0,289,195,22,68,53,53,100.00,80.00,60.00,100.00,13.136,4.250,5.453,5.453
values_99,2292,1592,152,688,451,451,100.00,100.00,100.00,100.00,15.079,3.331,5.082,5.082
values_96,10824,7529,732,3669,2319,2319,100.00,100.00,100.00,100.00,14.787,2.950,4.668,4.668
values_67,6728,4681,444,2173,1397,1397,100.00,100.00,100.00,100.00,15.153,3.096,4.816,4.816
values_61,2676,1859,178,841,549,549,100.00,100.00,100.00,100.00,15.034,3.182,4.874,4.874
values_43,3828,2660,248,1172,763,763,100.00,100.00,100.00,100.00,15.435,3.266,5.017,5.017
values_2,7240,5037,444,2081,1375,1375,100.00,100.00,100.00,100.00,16.306,3.479,5.265,5.265
values_54,6728,4681,416,1985,1312,1312,100.00,100.00,100.00,100.00,16.173,3.389,5.128,5.128
values_30,7240,5037,468,2273,1471,1471,100.00,100.00,100.00,100.00,15.470,3.185,4.922,4.922
values_59,12872,8953,888,4481,2804,2804,100.00,100.00,100.00,100.00,14.495,2.873,4.591,4.591
values_85,8264,5749,532,2585,1671,1671,100.00,100.00,100.00,100.00,15.534,3.197,4.946,4.946
values_74,10824,7529,764,3909,2435,2435,100.00,100.00,100.00,100.00,14.168,2.769,4.445,4.445
values_90,8264,5749,564,2825,1787,1787,100.00,100.00,100.00,100.00,14.652,2.925,4.625,4.625
values_18,4680,3257,348,1717,1059,1059,100.00,100.00,100.00,100.00,13.448,2.726,4.419,4.419
values_52,3828,2660,284,1408,868,868,100.00,100.00,100.00,100.00,13.479,2.719,4.410,4.410
values_44,9800,6817,640,3153,2022,2022,100.00,100.00,100.00,100.00,15.312,3.108,4.847,4.847
values_17,11848,8241,808,4057,2552,2552,100.00,100.00,100.00,100.00,14.663,2.920,4.643,4.643
values_36,13896,9665,916,4621,2947,2947,100.00,100.00,100.00,100.00,15.170,3.007,4.715,4.715
values_49,1908,1325,138,651,416,416,100.00,100.00,100.00,100.00,13.826,2.931,4.587,4.587
values_86,1140,791,82,349,231,231,100.00,100.00,100.00,100.00,13.902,3.266,4.935,4.935
values_37,11336,7885,752,3725,2368,2368,100.00,100.00,100.00,100.00,15.074,3.043,4.787,4.787
values_56,13384,9309,972,5025,3091,3091,100.00,100.00,100.00,100.00,13.770,2.663,4.330,4.330
values_63,8776,6105,596,2973,1881,1881,100.00,100.00,100.00,100.00,14.725,2.952,4.666,4.666
values_35,289,195,26,88,60,60,100.00,100.00,70.00,100.00,11.115,3.284,4.817,4.817
values_97,2292,1592,136,600,417,417,100.00,100.00,100.00,100.00,16.853,3.820,5.496,5.496
values_75,12872,8953,928,4753,2928,2928,100.00,100.00,100.00,100.00,13.871,2.708,4.396,4.396
values_57,3828,2660,272,1332,835,835,100.00,100.00,100.00,100.00,14.074,2.874,4.584,4.584
values_88,13384,9309,852,4201,2713,2713,100.00,100.00,100.00,100.00,15.709,3.186,4.933,4.933
values_10,8776,6105,592,2961,1880,1880,100.00,100.00,100.00,100.00,14.824,2.964,4.668,4.668
values_53,13384,9309,936,4789,2986,2986,100.00,100.00,100.00,100.00,14.299,2.795,4.482,4.482
values_8,3060,2126,188,866,583,583,100.00,100.00,100.00,100.00,16.277,3.533,5.249,5.249
values_39,6216,4325,408,1989,1284,1284,100.00,100.00,100.00,100.00,15.235,3.125,4.841,4.841
values_47,3060,2126,200,942,616,616,100.00,100.00,100.00,100.00,15.300,3.248,4.968,4.968
values_60,1524,1058,96,410,284,284,100.00,100.00,100.00,100.00,15.875,3.717,5.366,5.366
values_89,11848,8241,800,4001,2526,2526,100.00,100.00,100.00,100.00,14.810,2.961,4.690,4.690
values_51,545,373,38,142,100,100,100.00,100.00,80.00,100.00,14.342,3.838,5.450,5.450
values_14,11336,7885,796,4049,2523,2523,100.00,100.00,100.00,100.00,14.241,2.800,4.493,4.493
values_28,289,195,26,88,60,60,100.00,100.00,70.00,100.00,11.115,3.284,4.817,4.817
values_16,13384,9309,936,4821,3010,3010,100.00,100.00,100.00,100.00,14.299,2.776,4.447,4.447
values_34,8776,6105,624,3201,1996,1996,100.00,100.00,100.00,100.00,14.064,2.742,4.397,4.397
values_82,289,195,26,88,60,60,100.00,100.00,70.00,100.00,11.115,3.284,4.817,4.817
values_46,3444,2393,250,1223,762,762,100.00,100.00,100.00,100.00,13.776,2.816,4.520,4.520
values_27,2292,1592,152,688,451,451,100.00,100.00,100.00,100.00,15.079,3.331,5.082,5.082
values_20,3060,2126,212,1002,637,637,100.00,100.00,100.00,100.00,14.434,3.054,4.804,4.804
values_9,6728,4681,444,2149,1379,1379,100.00,100.00,100.00,100.00,15.153,3.131,4.879,4.879
values_92,1908,1325,122,555,376,376,100.00,100.00,90.00,100.00,15.639,3.438,5.074,5.074
values_3,7240,5037,428,2009,1353,1353,100.00,100.00,100.00,100.00,16.916,3.604,5.351,5.351
values_98,1524,1058,100,430,291,291,100.00,100.00,100.00,100.00,15.240,3.544,5.237,5.237
values_29,6216,4325,400,1957,1276,1276,100.00,100.00,100.00,100.00,15.540,3.176,4.871,4.871
values_80,289,195,26,88,60,60,100.00,100.00,70.00,100.00,11.115,3.284,4.817,4.817
values_73,6728,4681,444,2165,1391,1391,100.00,100.00,100.00,100.00,15.153,3.108,4.837,4.837
