id,clockCycles,assemblyInstr,Cache,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,960,960,"['956355', '8845250', '126078', '1109158', '65080', '552203', '568378', '49.973', '12589708', '0', '3881149', '0', '160956', '0', '0', '4.147']",45,159,143,98,100.00,100.00,75.00,100.00,21.333,6.038,6.713,9.796
values_19,960,960,"['956355', '8845250', '126078', '1109158', '65080', '552203', '568378', '49.973', '12589708', '0', '3881149', '0', '160956', '0', '0', '4.147']",45,159,143,98,100.00,100.00,75.00,100.00,21.333,6.038,6.713,9.796
values_12,960,960,"['956355', '8845250', '126078', '1109158', '65080', '552203', '568378', '49.973', '12589708', '0', '3881149', '0', '160956', '0', '0', '4.147']",45,159,143,98,100.00,100.00,75.00,100.00,21.333,6.038,6.713,9.796
values_38,1000,1000,"['957341', '8845168', '126203', '1109062', '65089', '552194', '568373', '49.972', '12589512', '0', '3881190', '0', '160960', '0', '0', '4.147']",103,517,473,594,100.00,100.00,75.00,100.00,9.709,1.934,2.114,1.684
values_81,1048,1048,"['957579', '8845145', '126238', '1109060', '65006', '552285', '568447', '49.971', '12589590', '0', '3881237', '0', '160956', '0', '0', '4.147']",80,380,347,322,100.00,100.00,75.00,100.00,13.100,2.758,3.020,3.255
values_5,951,951,"['956375', '8845246', '126084', '1109147', '65071', '552196', '568372', '49.972', '12589668', '0', '3881141', '0', '160950', '0', '0', '4.147']",53,215,195,345,100.00,100.00,75.00,100.00,17.943,4.423,4.877,2.757
values_40,967,967,"['957292', '8845174', '126196', '1109068', '65070', '552197', '568371', '49.970', '12589412', '0', '3881157', '0', '160950', '0', '0', '4.147']",66,282,256,238,100.00,100.00,75.00,100.00,14.652,3.429,3.777,4.063
values_70,956,956,"['956400', '8845245', '126088', '1109146', '65071', '552196', '568372', '49.972', '12589678', '0', '3881146', '0', '160950', '0', '0', '4.147']",55,229,208,193,100.00,100.00,75.00,100.00,17.382,4.175,4.596,4.953
values_23,1038,1038,"['957577', '8845143', '126236', '1109058', '65006', '552285', '568447', '49.971', '12589558', '0', '3881227', '0', '160956', '0', '0', '4.147']",76,352,321,298,100.00,100.00,75.00,100.00,13.658,2.949,3.234,3.483
values_72,956,956,"['956400', '8845245', '126088', '1109146', '65071', '552196', '568372', '49.972', '12589678', '0', '3881146', '0', '160950', '0', '0', '4.147']",55,229,208,193,100.00,100.00,75.00,100.00,17.382,4.175,4.596,4.953
values_79,956,956,"['956400', '8845245', '126088', '1109146', '65071', '552196', '568372', '49.972', '12589678', '0', '3881146', '0', '160950', '0', '0', '4.147']",55,229,208,193,100.00,100.00,75.00,100.00,17.382,4.175,4.596,4.953
values_78,956,956,"['956400', '8845245', '126088', '1109146', '65071', '552196', '568372', '49.972', '12589678', '0', '3881146', '0', '160950', '0', '0', '4.147']",55,229,208,193,100.00,100.00,75.00,100.00,17.382,4.175,4.596,4.953
values_87,1048,1048,"['957579', '8845145', '126238', '1109060', '65006', '552285', '568447', '49.971', '12589590', '0', '3881237', '0', '160956', '0', '0', '4.147']",80,380,347,322,100.00,100.00,75.00,100.00,13.100,2.758,3.020,3.255
values_6,951,951,"['956375', '8845246', '126084', '1109147', '65071', '552196', '568372', '49.972', '12589668', '0', '3881141', '0', '160950', '0', '0', '4.147']",53,215,195,345,100.00,100.00,75.00,100.00,17.943,4.423,4.877,2.757
values_68,1023,1023,"['957574', '8845140', '126233', '1109055', '65006', '552285', '568447', '49.971', '12589510', '0', '3881212', '0', '160956', '0', '0', '4.147']",70,310,282,278,100.00,100.00,75.00,100.00,14.614,3.300,3.628,3.680
values_69,1023,1023,"['957574', '8845140', '126233', '1109055', '65006', '552285', '568447', '49.971', '12589510', '0', '3881212', '0', '160956', '0', '0', '4.147']",70,310,282,278,100.00,100.00,75.00,100.00,14.614,3.300,3.628,3.680
values_1,951,951,"['956375', '8845246', '126084', '1109147', '65071', '552196', '568372', '49.972', '12589668', '0', '3881141', '0', '160950', '0', '0', '4.147']",53,215,195,345,100.00,100.00,75.00,100.00,17.943,4.423,4.877,2.757
values_45,967,967,"['957292', '8845174', '126196', '1109068', '65070', '552197', '568371', '49.970', '12589412', '0', '3881157', '0', '160950', '0', '0', '4.147']",66,282,256,238,100.00,100.00,75.00,100.00,14.652,3.429,3.777,4.063
values_33,1000,1000,"['957341', '8845168', '126203', '1109062', '65089', '552194', '568373', '49.972', '12589512', '0', '3881190', '0', '160960', '0', '0', '4.147']",103,517,473,594,100.00,100.00,75.00,100.00,9.709,1.934,2.114,1.684
values_15,960,960,"['956355', '8845250', '126078', '1109158', '65080', '552203', '568378', '49.973', '12589708', '0', '3881149', '0', '160956', '0', '0', '4.147']",45,159,143,98,100.00,100.00,75.00,100.00,21.333,6.038,6.713,9.796
values_93,1012,1012,"['960480', '8845130', '126598', '1107134', '65013', '552270', '568438', '50.034', '12571834', '0', '3876202', '0', '160972', '0', '0', '4.153']",90,450,412,921,100.00,100.00,75.00,100.00,11.244,2.249,2.456,1.099
values_24,1038,1038,"['957577', '8845143', '126236', '1109058', '65006', '552285', '568447', '49.971', '12589558', '0', '3881227', '0', '160956', '0', '0', '4.147']",76,352,321,298,100.00,100.00,75.00,100.00,13.658,2.949,3.234,3.483
values_25,1038,1038,"['957577', '8845143', '126236', '1109058', '65006', '552285', '568447', '49.971', '12589558', '0', '3881227', '0', '160956', '0', '0', '4.147']",76,352,321,298,100.00,100.00,75.00,100.00,13.658,2.949,3.234,3.483
values_26,1038,1038,"['957577', '8845143', '126236', '1109058', '65006', '552285', '568447', '49.971', '12589558', '0', '3881227', '0', '160956', '0', '0', '4.147']",76,352,321,298,100.00,100.00,75.00,100.00,13.658,2.949,3.234,3.483
values_48,967,967,"['957292', '8845174', '126196', '1109068', '65070', '552197', '568371', '49.970', '12589412', '0', '3881157', '0', '160950', '0', '0', '4.147']",66,282,256,238,100.00,100.00,75.00,100.00,14.652,3.429,3.777,4.063
