inputName,text,data,bss
values_11,112,160,0
values_19,112,160,0
values_12,112,160,0
values_38,112,88,0
values_81,112,248,0
values_5,112,248,0
values_40,112,72,0
values_70,112,216,0
values_23,112,232,0
values_72,112,216,0
values_79,112,216,0
values_78,112,216,0
values_87,112,248,0
values_6,112,248,0
values_68,112,168,0
values_69,112,168,0
values_1,112,248,0
values_45,112,72,0
values_33,112,88,0
values_15,112,160,0
values_93,112,112,0
values_24,112,232,0
values_25,112,232,0
values_26,112,232,0
values_48,112,72,0
values_71,112,216,0
values_76,112,216,0
values_7,112,248,0
values_50,112,72,0
values_22,112,232,0
values_4,112,248,0
values_32,112,88,0
values_77,112,216,0
values_91,112,112,0
values_42,112,72,0
values_13,112,160,0
values_41,112,72,0
values_55,112,72,0
values_31,112,88,0
values_66,112,168,0
values_65,112,168,0
values_62,112,168,0
values_21,112,232,0
values_95,112,112,0
values_84,112,248,0
values_58,112,72,0
values_64,112,168,0
values_83,112,248,0
values_94,112,112,0
values_0,112,248,0
values_99,112,112,0
values_96,112,112,0
values_67,112,168,0
values_61,112,168,0
values_43,112,72,0
values_2,112,248,0
values_54,112,72,0
values_30,112,88,0
values_59,112,72,0
values_85,112,248,0
values_74,112,216,0
values_90,112,112,0
values_18,112,160,0
values_52,112,72,0
values_44,112,72,0
values_17,112,160,0
values_36,112,88,0
values_49,112,72,0
values_86,112,248,0
values_37,112,88,0
values_56,112,72,0
values_63,112,168,0
values_35,112,88,0
values_97,112,112,0
values_75,112,216,0
values_57,112,72,0
values_88,112,248,0
values_10,112,160,0
values_53,112,72,0
values_8,112,248,0
values_39,112,88,0
values_47,112,72,0
values_60,112,168,0
values_89,112,248,0
values_51,112,72,0
values_14,112,160,0
values_28,112,232,0
values_16,112,160,0
values_34,112,88,0
values_82,112,248,0
values_46,112,72,0
values_27,112,232,0
values_20,112,232,0
values_9,112,248,0
values_92,112,112,0
values_3,112,248,0
values_98,112,112,0
values_29,112,232,0
values_80,112,248,0
values_73,112,216,0
