id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,24629,14759,672,1882,1588,1588,100.00,100.00,87.50,100.00,36.650,13.087,15.509,15.509
values_19,75047,45059,1992,5848,4921,4921,100.00,100.00,87.50,100.00,37.674,12.833,15.250,15.250
values_12,115377,69537,3006,8980,7577,7577,100.00,100.00,87.50,100.00,38.382,12.848,15.227,15.227
values_38,142329,86153,3645,11028,9341,9341,100.00,100.00,87.50,100.00,39.048,12.906,15.237,15.237
values_81,8394,4976,231,630,527,527,100.00,100.00,87.50,100.00,36.338,13.324,15.928,15.928
values_5,821,488,32,58,51,43,100.00,100.00,75.00,100.00,25.656,14.155,16.098,19.093
values_40,22123,13167,610,1712,1433,1433,100.00,100.00,87.50,100.00,36.267,12.922,15.438,15.438
values_70,80232,47862,2167,6318,5281,5281,100.00,100.00,87.50,100.00,37.024,12.699,15.193,15.193
values_23,56903,34439,1454,4356,3695,3695,100.00,100.00,87.50,100.00,39.135,13.063,15.400,15.400
values_72,2480,1500,71,168,146,146,100.00,100.00,87.50,100.00,34.930,14.762,16.986,16.986
values_79,70841,42595,1871,5506,4640,4640,100.00,100.00,87.50,100.00,37.863,12.866,15.267,15.267
values_78,821,488,32,58,51,43,100.00,100.00,75.00,100.00,25.656,14.155,16.098,19.093
values_87,103342,62624,2622,7962,6753,6753,100.00,100.00,87.50,100.00,39.413,12.979,15.303,15.303
values_6,9541,5723,262,710,602,602,100.00,100.00,87.50,100.00,36.416,13.438,15.849,15.849
values_68,3698,2206,104,264,224,224,100.00,100.00,87.50,100.00,35.558,14.008,16.509,16.509
values_69,46943,28523,1203,3560,3037,3037,100.00,100.00,87.50,100.00,39.022,13.186,15.457,15.457
values_1,69753,42235,1794,5354,4544,4544,100.00,100.00,87.50,100.00,38.881,13.028,15.351,15.351
values_45,3039,1809,95,218,186,186,100.00,100.00,87.50,100.00,31.989,13.940,16.339,16.339
values_33,16566,9854,468,1276,1070,1070,100.00,100.00,87.50,100.00,35.397,12.983,15.482,15.482
values_15,99605,60189,2564,7708,6521,6521,100.00,100.00,87.50,100.00,38.848,12.922,15.274,15.274
values_93,7526,4470,214,564,474,474,100.00,100.00,87.50,100.00,35.168,13.344,15.878,15.878
values_24,109134,66234,2753,8392,7128,7128,100.00,100.00,87.50,100.00,39.642,13.005,15.311,15.311
values_25,9963,5915,288,756,635,635,100.00,100.00,87.50,100.00,34.594,13.179,15.690,15.690
values_26,4639,2737,139,346,290,290,100.00,100.00,87.50,100.00,33.374,13.408,15.997,15.997
values_48,9782,5902,255,716,610,610,100.00,100.00,87.50,100.00,38.361,13.662,16.036,16.036
values_71,83416,50076,2217,6512,5478,5478,100.00,100.00,87.50,100.00,37.626,12.810,15.227,15.227
values_76,59597,35815,1591,4626,3900,3900,100.00,100.00,87.50,100.00,37.459,12.883,15.281,15.281
values_7,20520,12490,524,1514,1299,1299,100.00,100.00,87.50,100.00,39.160,13.554,15.797,15.797
values_50,5858,3524,170,426,365,365,100.00,100.00,87.50,100.00,34.459,13.751,16.049,16.049
values_22,31429,18837,840,2420,2037,2037,100.00,100.00,87.50,100.00,37.415,12.987,15.429,15.429
values_4,15725,9459,408,1174,994,994,100.00,100.00,87.50,100.00,38.542,13.394,15.820,15.820
values_32,10032,6062,276,734,629,629,100.00,100.00,87.50,100.00,36.348,13.668,15.949,15.949
values_77,8222,4896,236,618,521,521,100.00,100.00,87.50,100.00,34.839,13.304,15.781,15.781
values_91,56425,34103,1468,4334,3674,3674,100.00,100.00,87.50,100.00,38.437,13.019,15.358,15.358
values_42,102919,61723,2711,8064,6769,6769,100.00,100.00,87.50,100.00,37.963,12.763,15.204,15.204
values_13,15409,9395,393,1130,972,972,100.00,100.00,87.50,100.00,39.209,13.636,15.853,15.853
values_41,50881,30587,1342,3922,3308,3308,100.00,100.00,87.50,100.00,37.914,12.973,15.381,15.381
values_55,7527,4551,212,548,471,471,100.00,100.00,87.50,100.00,35.505,13.735,15.981,15.981
values_31,25425,15225,689,1948,1641,1641,100.00,100.00,87.50,100.00,36.901,13.052,15.494,15.494
values_66,25631,15393,695,1962,1658,1658,100.00,100.00,87.50,100.00,36.879,13.064,15.459,15.459
values_65,102866,61472,2763,8110,6787,6787,100.00,100.00,87.50,100.00,37.230,12.684,15.156,15.156
values_62,27918,16814,723,2116,1790,1790,100.00,100.00,87.50,100.00,38.614,13.194,15.597,15.597
values_21,6067,3633,178,446,380,380,100.00,100.00,87.50,100.00,34.084,13.603,15.966,15.966
values_95,62546,37382,1670,4896,4100,4100,100.00,100.00,87.50,100.00,37.453,12.775,15.255,15.255
values_84,5544,3320,159,404,344,344,100.00,100.00,87.50,100.00,34.868,13.723,16.116,16.116
values_58,19622,11726,536,1500,1262,1262,100.00,100.00,87.50,100.00,36.608,13.081,15.548,15.548
values_64,73398,44578,1877,5608,4776,4776,100.00,100.00,87.50,100.00,39.104,13.088,15.368,15.368
values_83,100635,60291,2675,7900,6627,6627,100.00,100.00,87.50,100.00,37.621,12.739,15.186,15.186
values_94,1575,965,41,94,84,84,100.00,100.00,87.50,100.00,38.415,16.755,18.750,18.750
values_0,15026,9140,374,1098,941,941,100.00,100.00,87.50,100.00,40.176,13.685,15.968,15.968
values_99,2934,1762,82,200,172,172,100.00,100.00,87.50,100.00,35.780,14.670,17.058,17.058
values_96,42288,25598,1077,3214,2729,2729,100.00,100.00,87.50,100.00,39.265,13.157,15.496,15.496
values_67,2584,1562,66,170,147,147,100.00,100.00,87.50,100.00,39.152,15.200,17.578,17.578
values_61,56532,34106,1465,4342,3673,3673,100.00,100.00,87.50,100.00,38.588,13.020,15.391,15.391
values_43,18328,11102,473,1366,1165,1165,100.00,100.00,87.50,100.00,38.748,13.417,15.732,15.732
values_2,20945,12527,572,1598,1346,1346,100.00,100.00,87.50,100.00,36.617,13.107,15.561,15.561
values_54,83984,50740,2154,6480,5482,5482,100.00,100.00,87.50,100.00,38.990,12.960,15.320,15.320
values_30,3248,1918,103,238,201,201,100.00,100.00,75.00,100.00,31.534,13.647,16.159,16.159
values_59,69483,41927,1818,5368,4541,4541,100.00,100.00,87.50,100.00,38.219,12.944,15.301,15.301
values_85,123930,75136,3153,9558,8111,8111,100.00,100.00,87.50,100.00,39.305,12.966,15.279,15.279
values_74,5717,3433,162,416,355,355,100.00,100.00,87.50,100.00,35.290,13.743,16.104,16.104
values_90,117851,70661,3111,9250,7762,7762,100.00,100.00,87.50,100.00,37.882,12.741,15.183,15.183
values_18,3075,1853,90,210,182,182,100.00,100.00,87.50,100.00,34.167,14.643,16.896,16.896
values_52,61346,36576,1651,4798,4011,4011,100.00,100.00,87.50,100.00,37.157,12.786,15.294,15.294
