id,clockCycles,assemblyInstr,cacheHit,cacheHitInstr,cacheHitData,MOPS,MIPS,MFLOPS,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,13880,7892,96.9,97.4,92.5,28.43,28.43,0.00,2027,5986,5874,7764,100.00,100.00,87.50,100.00,6.848,2.319,2.363,1.788
values_19,12781,7105,96.5,97.1,91.8,27.80,27.80,0.00,1860,5422,5342,6959,100.00,100.00,87.50,100.00,6.872,2.357,2.393,1.837
values_12,21452,12988,98.0,98.4,94.8,30.27,30.27,0.00,3686,10876,10708,13956,100.00,100.00,87.50,100.00,5.820,1.972,2.003,1.537
values_38,11399,6240,96.1,96.7,90.9,27.37,27.37,0.00,1446,4336,4232,5702,100.00,100.00,87.50,100.00,7.883,2.629,2.694,1.999
values_81,4705,1705,86.5,87.9,63.8,18.12,18.12,0.00,164,412,408,534,100.00,100.00,87.50,100.00,28.689,11.420,11.532,8.811
values_5,21032,12693,98.0,98.4,94.6,30.18,30.18,0.00,3572,10634,10467,13624,100.00,100.00,87.50,100.00,5.888,1.978,2.009,1.544
values_40,23263,14152,98.1,98.5,95.1,30.42,30.42,0.00,4177,12262,12111,15583,100.00,100.00,87.50,100.00,5.569,1.897,1.921,1.493
values_70,5326,2131,89.2,90.3,74.4,20.01,20.01,0.00,256,722,701,974,100.00,100.00,87.50,100.00,20.805,7.377,7.598,5.468
values_23,8013,3905,93.9,94.7,86.0,24.37,24.37,0.00,847,2394,2355,3111,100.00,100.00,87.50,100.00,9.460,3.347,3.403,2.576
values_72,16962,9968,97.5,97.9,93.8,29.38,29.38,0.00,2700,7956,7820,10270,100.00,100.00,87.50,100.00,6.282,2.132,2.169,1.652
values_79,9134,4703,94.9,95.6,88.6,25.74,25.74,0.00,1004,2962,2889,3918,100.00,100.00,87.50,100.00,9.098,3.084,3.162,2.331
values_78,20700,12586,97.9,98.3,94.6,30.40,30.40,0.00,3253,9862,9623,12955,100.00,100.00,87.50,100.00,6.363,2.099,2.151,1.598
values_87,21662,13233,98.0,98.5,94.8,30.54,30.54,0.00,3536,10616,10386,13858,100.00,100.00,87.50,100.00,6.126,2.041,2.086,1.563
values_6,15772,9180,97.3,97.7,93.2,29.10,29.10,0.00,2388,7078,6937,9212,100.00,100.00,87.50,100.00,6.605,2.228,2.274,1.712
values_68,4327,1496,85.2,86.5,60.0,17.29,17.29,0.00,103,238,237,307,100.00,100.00,75.00,100.00,42.010,18.181,18.257,14.094
values_69,6072,2616,91.1,92.1,79.6,21.54,21.54,0.00,411,1166,1139,1545,100.00,100.00,87.50,100.00,14.774,5.208,5.331,3.930
values_1,4090,1357,83.8,85.2,53.0,16.59,16.59,0.00,38,82,79,114,100.00,100.00,87.50,100.00,107.632,49.878,51.772,35.877
values_45,11384,6171,96.0,96.6,90.4,27.10,27.10,0.00,1550,4494,4422,5801,100.00,100.00,87.50,100.00,7.345,2.533,2.574,1.962
values_33,5034,1925,88.1,89.3,70.9,19.12,19.12,0.00,236,618,611,800,100.00,100.00,87.50,100.00,21.331,8.146,8.239,6.293
values_15,15026,8675,97.1,97.6,92.6,28.87,28.87,0.00,2186,6550,6407,8556,100.00,100.00,87.50,100.00,6.874,2.294,2.345,1.756
values_93,9826,5114,95.3,95.9,89.2,26.02,26.02,0.00,1256,3610,3563,4620,100.00,100.00,87.50,100.00,7.823,2.722,2.758,2.127
values_24,4797,1764,87.0,88.2,66.7,18.39,18.39,0.00,173,448,441,588,100.00,100.00,87.50,100.00,27.728,10.708,10.878,8.158
values_25,4331,1466,84.4,85.9,56.8,16.92,16.92,0.00,74,190,186,249,100.00,100.00,87.50,100.00,58.527,22.795,23.285,17.394
values_26,15335,8941,97.2,97.7,93.1,29.15,29.15,0.00,2158,6550,6374,8677,100.00,100.00,87.50,100.00,7.106,2.341,2.406,1.767
values_48,10942,5904,95.8,96.5,90.2,26.98,26.98,0.00,1369,4096,4005,5356,100.00,100.00,87.50,100.00,7.993,2.671,2.732,2.043
values_71,8860,4438,94.5,95.3,86.5,25.05,25.05,0.00,1055,3016,2984,3831,100.00,100.00,87.50,100.00,8.398,2.938,2.969,2.313
values_76,3787,1267,84.2,85.6,53.3,16.73,16.73,0.00,32,58,57,43,100.00,100.00,75.00,100.00,118.344,65.293,66.439,88.070
values_7,6424,2841,91.8,92.7,81.5,22.11,22.11,0.00,514,1426,1403,1858,100.00,100.00,87.50,100.00,12.498,4.505,4.579,3.457
values_50,8049,3969,94.0,94.8,86.7,24.66,24.66,0.00,789,2304,2245,3064,100.00,100.00,87.50,100.00,10.202,3.493,3.585,2.627
values_22,10006,5300,95.5,96.1,89.8,26.48,26.48,0.00,1208,3522,3443,4640,100.00,100.00,87.50,100.00,8.283,2.841,2.906,2.156
values_4,15048,8647,97.1,97.6,92.9,28.73,28.73,0.00,2284,6760,6644,8716,100.00,100.00,87.50,100.00,6.588,2.226,2.265,1.726
values_32,18920,11324,97.7,98.2,94.2,29.93,29.93,0.00,2983,8966,8777,11675,100.00,100.00,87.50,100.00,6.343,2.110,2.156,1.621
values_77,20655,12453,97.9,98.3,94.6,30.15,30.15,0.00,3470,10274,10102,13231,100.00,100.00,87.50,100.00,5.952,2.010,2.045,1.561
values_91,9182,4673,94.8,95.5,88.2,25.45,25.45,0.00,1112,3188,3146,4084,100.00,100.00,87.50,100.00,8.257,2.880,2.919,2.248
values_42,16052,9270,97.3,97.7,93.2,28.87,28.87,0.00,2641,7644,7559,9708,100.00,100.00,87.50,100.00,6.078,2.100,2.124,1.653
values_13,4365,1482,84.5,86.0,56.8,16.98,16.98,0.00,82,200,196,266,100.00,100.00,87.50,100.00,53.232,21.825,22.270,16.410
values_41,4771,1750,86.8,88.1,65.8,18.34,18.34,0.00,152,400,389,543,100.00,100.00,87.50,100.00,31.388,11.928,12.265,8.786
values_55,9390,4808,94.9,95.7,87.9,25.60,25.60,0.00,1151,3328,3286,4245,100.00,100.00,87.50,100.00,8.158,2.822,2.858,2.212
values_31,18137,10804,97.6,98.1,93.9,29.78,29.78,0.00,2804,8472,8287,11045,100.00,100.00,87.50,100.00,6.468,2.141,2.189,1.642
values_66,20728,12570,97.9,98.3,94.6,30.32,30.32,0.00,3333,10046,9830,13092,100.00,100.00,87.50,100.00,6.219,2.063,2.109,1.583
values_65,6010,2571,90.9,91.9,79.0,21.39,21.39,0.00,415,1148,1126,1511,100.00,100.00,87.50,100.00,14.482,5.235,5.337,3.977
values_62,17752,10533,97.6,98.1,93.9,29.67,29.67,0.00,2826,8368,8210,10856,100.00,100.00,87.50,100.00,6.282,2.121,2.162,1.635
values_21,19560,11743,97.8,98.2,94.1,30.02,30.02,0.00,3135,9458,9270,12252,100.00,100.00,87.50,100.00,6.239,2.068,2.110,1.596
values_95,5280,2083,89.0,90.1,74.4,19.73,19.73,0.00,286,770,761,992,100.00,100.00,87.50,100.00,18.462,6.857,6.938,5.323
values_84,12985,7278,96.6,97.1,92.1,28.02,28.02,0.00,1835,5398,5295,7017,100.00,100.00,87.50,100.00,7.076,2.406,2.452,1.851
values_58,12374,6835,96.3,96.9,91.0,27.62,27.62,0.00,1740,5076,4991,6559,100.00,100.00,87.50,100.00,7.111,2.438,2.479,1.887
values_64,7072,3300,92.8,93.7,84.0,23.33,23.33,0.00,578,1684,1635,2265,100.00,100.00,87.50,100.00,12.235,4.200,4.325,3.122
values_83,6803,3112,92.5,93.4,83.5,22.87,22.87,0.00,587,1648,1618,2157,100.00,100.00,87.50,100.00,11.589,4.128,4.205,3.154
values_94,17688,10476,97.5,98.0,93.6,29.61,29.61,0.00,2764,8340,8176,10794,100.00,100.00,87.50,100.00,6.399,2.121,2.163,1.639
values_0,22596,13815,98.1,98.5,95.0,30.57,30.57,0.00,3779,11330,11110,14680,100.00,100.00,87.50,100.00,5.979,1.994,2.034,1.539
values_99,4171,1368,83.5,84.9,53.7,16.40,16.40,0.00,46,102,100,135,100.00,100.00,87.50,100.00,90.674,40.892,41.710,30.896
values_96,13288,7481,96.7,97.2,92.1,28.15,28.15,0.00,1863,5542,5428,7220,100.00,100.00,87.50,100.00,7.133,2.398,2.448,1.840
values_67,16368,9593,97.3,97.8,93.3,29.30,29.30,0.00,2454,7372,7212,9620,100.00,100.00,87.50,100.00,6.670,2.220,2.270,1.701
values_61,8216,4056,94.2,94.9,86.9,24.68,24.68,0.00,879,2530,2486,3284,100.00,100.00,87.50,100.00,9.347,3.247,3.305,2.502
values_43,12686,7096,96.5,97.1,91.5,27.97,27.97,0.00,1702,5100,4982,6690,100.00,100.00,87.50,100.00,7.454,2.487,2.546,1.896
