id,clockCycles,assemblyInstr,Cache,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,935,935,"['957432', '8845218', '126203', '1109077', '65084', '552207', '568381', '49.972', '12589242', '0', '3881124', '0', '160956', '0', '0', '4.147']",19,40,37,64,100.00,100.00,62.50,50.00,49.211,23.375,25.270,14.609
values_19,10033,10033,"['974220', '8857039', '128305', '1110565', '65315', '552791', '569109', '49.893', '12627760', '0', '3895223', '0', '162503', '0', '0', '4.172']",3215,9578,8066,11999,100.00,100.00,87.50,100.00,3.121,1.048,1.244,0.836
values_12,10818,10818,"['978476', '8857237', '128837', '1108642', '65423', '552727', '569135', '49.952', '12612152', '0', '3891008', '0', '162055', '0', '0', '4.165']",3440,10420,8787,13129,100.00,100.00,87.50,100.00,3.145,1.038,1.231,0.824
values_38,956,956,"['957448', '8845234', '126205', '1109079', '65084', '552207', '568382', '49.972', '12589296', '0', '3881145', '0', '160972', '0', '0', '4.148']",35,70,62,99,100.00,100.00,87.50,100.00,27.314,13.657,15.419,9.657
values_81,2003,2003,"['961712', '8845470', '126738', '1107180', '65029', '552278', '568460', '50.028', '12574390', '0', '3877192', '0', '161122', '0', '0', '4.156']",402,1146,995,1589,100.00,100.00,87.50,100.00,4.983,1.748,2.013,1.261
values_5,1443,1443,"['961024', '8845422', '126652', '1107174', '65021', '552281', '568458', '50.032', '12572876', '0', '3876632', '0', '161059', '0', '0', '4.155']",217,576,485,714,100.00,100.00,87.50,100.00,6.650,2.505,2.975,2.021
values_40,2714,2714,"['962520', '8845830', '126839', '1107211', '65048', '552274', '568466', '50.024', '12576198', '0', '3877904', '0', '161254', '0', '0', '4.158']",682,1934,1639,2469,100.00,100.00,87.50,100.00,3.979,1.403,1.656,1.099
values_70,7088,7088,"['971164', '8855653', '127923', '1110376', '65251', '552789', '569040', '49.910', '12620016', '0', '3892277', '0', '161932', '0', '0', '4.160']",2145,6486,5520,8439,100.00,100.00,87.50,100.00,3.304,1.093,1.284,0.840
values_23,9998,9998,"['977588', '8857027', '128726', '1108614', '65390', '552729', '569112', '49.955', '12609892', '0', '3890188', '0', '161992', '0', '0', '4.164']",3184,9574,8054,11954,100.00,100.00,87.50,100.00,3.140,1.044,1.241,0.836
values_72,4874,4874,"['968556', '8855020', '127597', '1110310', '65184', '552793', '569010', '49.921', '12614086', '0', '3890064', '0', '161678', '0', '0', '4.156']",1417,4166,3530,5329,100.00,100.00,87.50,100.00,3.440,1.170,1.381,0.915
values_79,4595,4595,"['968212', '8855020', '127554', '1110310', '65176', '552799', '569011', '49.923', '12613322', '0', '3889785', '0', '161660', '0', '0', '4.156']",1320,3878,3266,4854,100.00,100.00,87.50,100.00,3.481,1.185,1.407,0.947
values_78,5068,5068,"['968796', '8855125', '127627', '1110310', '65191', '552786', '569016', '49.920', '12614584', '0', '3890257', '0', '161718', '0', '0', '4.157']",1479,4396,3715,5574,100.00,100.00,87.50,100.00,3.427,1.153,1.364,0.909
values_87,4810,4810,"['968492', '8855004', '127589', '1110308', '65179', '552796', '569009', '49.921', '12613916', '0', '3890000', '0', '161694', '0', '0', '4.157']",1392,4100,3472,5234,100.00,100.00,87.50,100.00,3.455,1.173,1.385,0.919
values_6,3999,3999,"['970708', '8854762', '127866', '1108344', '65162', '552794', '568997', '49.988', '12594032', '0', '3884188', '0', '161618', '0', '0', '4.161']",1112,3250,2747,4119,100.00,100.00,87.50,100.00,3.596,1.230,1.456,0.971
values_68,3168,3168,"['963024', '8845902', '126902', '1107234', '65059', '552280', '568481', '50.022', '12577456', '0', '3878357', '0', '161313', '0', '0', '4.159']",824,2376,2030,3124,100.00,100.00,87.50,100.00,3.845,1.333,1.561,1.014
values_69,10516,10516,"['978012', '8857333', '128779', '1108654', '65391', '552728', '569116', '49.952', '12611250', '0', '3890706', '0', '162055', '0', '0', '4.165']",3391,10130,8502,12539,100.00,100.00,87.50,100.00,3.101,1.038,1.237,0.839
values_1,5984,5984,"['969636', '8855661', '127732', '1110391', '65201', '552791', '569030', '49.914', '12616954', '0', '3891174', '0', '161931', '0', '0', '4.161']",1851,5356,4490,6589,100.00,100.00,87.50,100.00,3.233,1.117,1.333,0.908
values_45,2475,2475,"['962216', '8845726', '126801', '1107212', '65035', '552280', '568467', '50.025', '12575596', '0', '3877664', '0', '161214', '0', '0', '4.158']",585,1652,1403,2124,100.00,100.00,87.50,100.00,4.231,1.498,1.764,1.165
values_33,1192,1192,"['960792', '8845286', '126623', '1107143', '65011', '552280', '568450', '50.033', '12572214', '0', '3876382', '0', '160988', '0', '0', '4.153']",130,336,295,479,100.00,100.00,87.50,100.00,9.169,3.548,4.041,2.489
values_15,5860,5860,"['969524', '8855581', '127718', '1110381', '65197', '552794', '569030', '49.915', '12616642', '0', '3891050', '0', '161886', '0', '0', '4.160']",1797,5222,4383,6454,100.00,100.00,87.50,100.00,3.261,1.122,1.337,0.908
values_93,1107,1107,"['960704', '8845246', '126612', '1107152', '65021', '552281', '568455', '50.034', '12572014', '0', '3876296', '0', '160977', '0', '0', '4.153']",78,218,191,309,100.00,100.00,87.50,100.00,14.192,5.078,5.796,3.583
values_24,970,970,"['960632', '8845236', '126603', '1107135', '65093', '552198', '568379', '50.034', '12571602', '0', '3876160', '0', '160956', '0', '0', '4.152']",44,106,95,159,100.00,100.00,87.50,100.00,22.045,9.151,10.211,6.101
values_25,4462,4462,"['968156', '8854836', '127547', '1110273', '65179', '552796', '569003', '49.924', '12612992', '0', '3889651', '0', '161618', '0', '0', '4.155']",1261,3752,3188,4849,100.00,100.00,87.50,100.00,3.538,1.189,1.400,0.920
values_26,2459,2459,"['962248', '8845646', '126805', '1107202', '65048', '552280', '568472', '50.026', '12575590', '0', '3877648', '0', '161191', '0', '0', '4.157']",558,1626,1395,2169,100.00,100.00,87.50,100.00,4.407,1.512,1.763,1.134
values_48,4661,4661,"['968316', '8855012', '127567', '1110295', '65169', '552787', '568998', '49.921', '12613476', '0', '3889850', '0', '161660', '0', '0', '4.156']",1362,3980,3362,5034,100.00,100.00,87.50,100.00,3.422,1.171,1.386,0.926
values_71,1740,1740,"['961368', '8845470', '126695', '1107180', '65024', '552283', '568461', '50.030', '12573670', '0', '3876929', '0', '161113', '0', '0', '4.156']",329,888,761,1174,100.00,100.00,87.50,100.00,5.289,1.959,2.286,1.482
values_76,1205,1205,"['960744', '8845342', '126617', '1107164', '65090', '552201', '568383', '50.032', '12572256', '0', '3876394', '0', '161018', '0', '0', '4.154']",131,326,275,404,100.00,100.00,87.50,100.00,9.198,3.696,4.382,2.983
values_7,2475,2475,"['962176', '8845894', '126796', '1107219', '65027', '552280', '568462', '50.024', '12575518', '0', '3877665', '0', '161244', '0', '0', '4.158']",629,1708,1421,2034,100.00,100.00,87.50,100.00,3.935,1.449,1.742,1.217
values_50,3523,3523,"['970180', '8854602', '127800', '1108324', '65143', '552793', '568987', '49.990', '12592762', '0', '3883712', '0', '161508', '0', '0', '4.159']",947,2754,2324,3469,100.00,100.00,87.50,100.00,3.720,1.279,1.516,1.016
values_22,4791,4791,"['968356', '8855228', '127572', '1110336', '65178', '552797', '569024', '49.921', '12613782', '0', '3889981', '0', '161752', '0', '0', '4.158']",1420,4100,3427,4989,100.00,100.00,87.50,100.00,3.374,1.169,1.398,0.960
values_4,4006,4006,"['967796', '8854452', '127502', '1110225', '65182', '552793', '568990', '49.928', '12611866', '0', '3889195', '0', '161459', '0', '0', '4.151']",1050,3250,2802,4424,100.00,100.00,87.50,100.00,3.815,1.233,1.430,0.906
values_32,2586,2586,"['962456', '8845670', '126831', '1107191', '65047', '552275', '568465', '50.025', '12575914', '0', '3877776', '0', '161214', '0', '0', '4.157']",604,1786,1535,2399,100.00,100.00,87.50,100.00,4.281,1.448,1.685,1.078
values_77,4978,4978,"['968732', '8855013', '127619', '1110296', '65187', '552788', '569015', '49.921', '12614378', '0', '3890167', '0', '161694', '0', '0', '4.156']",1432,4292,3643,5529,100.00,100.00,87.50,100.00,3.476,1.160,1.366,0.900
values_91,2021,2021,"['961696', '8845630', '126736', '1107200', '65027', '552280', '568464', '50.027', '12574384', '0', '3877210', '0', '161166', '0', '0', '4.157']",425,1184,994,1459,100.00,100.00,87.50,100.00,4.755,1.707,2.033,1.385
values_42,7786,7786,"['971804', '8856261', '128003', '1110452', '65252', '552788', '569072', '49.904', '12621732', '0', '3892975', '0', '162179', '0', '0', '4.166']",2447,7260,6102,9029,100.00,100.00,87.50,100.00,3.182,1.072,1.276,0.862
values_13,9968,9968,"['977492', '8857219', '128714', '1108638', '65379', '552727', '569117', '49.954', '12609736', '0', '3890158', '0', '162036', '0', '0', '4.165']",3202,9568,8006,11714,100.00,100.00,87.50,100.00,3.113,1.042,1.245,0.851
