inputName,size
11,19
19,18
12,31
38,6
81,17
5,24
40,26
70,28
23,9
72,5
79,20
78,19
87,8
6,10
68,31
69,21
1,24
45,20
33,17
15,19
93,12
24,5
25,6
26,15
48,25
71,9
76,18
7,17
50,25
22,20
4,18
32,32
77,2
91,10
42,17
13,27
41,32
55,19
31,11
66,5
65,12
62,20
21,26
95,22
84,19
58,16
64,15
83,14
94,2
0,6
99,6
96,20
67,11
61,29
43,26
2,17
54,21
30,23
59,8
85,32
74,17
90,3
18,15
52,7
44,2
17,6
36,21
49,15
86,30
37,19
56,7
63,3
35,2
97,10
75,27
57,20
88,26
10,8
53,5
8,8
39,30
47,24
60,15
89,7
51,19
14,3
28,28
16,27
34,24
82,28
46,24
27,14
20,8
9,13
92,18
3,16
98,5
29,9
80,30
73,25
