inputName,size
11,9
19,2
12,16
38,9
81,19
5,22
40,16
70,26
23,22
72,3
79,30
78,21
87,28
6,22
68,3
69,17
1,30
45,10
33,22
15,2
93,31
24,7
25,4
26,6
48,29
71,31
76,8
7,5
50,32
22,17
4,5
32,14
77,9
91,8
42,15
13,3
41,22
55,20
31,12
66,9
65,25
62,29
21,31
95,12
84,13
58,21
64,24
83,2
94,22
0,25
99,7
96,8
67,11
61,10
43,5
2,25
54,29
30,14
59,21
85,12
74,13
90,20
18,31
52,27
44,10
17,26
36,27
49,32
86,9
37,19
56,12
63,2
35,28
97,24
75,9
57,30
88,7
10,9
53,4
8,24
39,17
47,15
60,14
89,26
51,31
14,2
28,21
16,17
34,10
82,18
46,31
27,18
20,15
9,24
92,2
3,6
98,30
29,11
80,17
73,31
