id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,4372,2618,120,851,529,5295,100.00,100.00,100.00,100.00,36.433,5.137,8.265,0.826
values_19,,,3432,25715,15505,6855,100.00,100.00,100.00,100.00,0,0,0,0
values_12,,,3432,25715,15505,6855,100.00,100.00,100.00,100.00,0,0,0,0
values_38,,,2172,16259,9817,4335,100.00,100.00,100.00,100.00,0,0,0,0
values_81,,,4170,31253,18835,8331,100.00,100.00,100.00,100.00,0,0,0,0
values_5,,,4170,31253,18835,8331,100.00,100.00,100.00,100.00,0,0,0,0
values_40,,,1816,13587,8209,3623,100.00,100.00,100.00,100.00,0,0,0,0
values_70,,,3916,29347,17689,7823,100.00,100.00,100.00,100.00,0,0,0,0
values_23,,,2362,17685,10675,4715,100.00,100.00,100.00,100.00,0,0,0,0
values_72,9443,5507,220,1603,985,2139,100.00,100.00,100.00,100.00,42.923,5.891,9.587,4.415
values_79,,,3916,29347,17689,7823,100.00,100.00,100.00,100.00,0,0,0,0
values_78,,,1990,14893,8995,3971,100.00,100.00,100.00,100.00,0,0,0,0
values_87,1131,679,30,173,115,186,100.00,100.00,100.00,100.00,37.700,6.538,9.835,6.081
values_6,27931,16101,610,4533,2755,10559,100.00,100.00,100.00,100.00,45.789,6.162,10.138,2.645
values_68,23274,13476,516,3827,2329,8151,100.00,100.00,100.00,100.00,45.105,6.082,9.993,2.855
values_69,,,3670,27501,16579,7331,100.00,100.00,100.00,100.00,0,0,0,0
values_1,,,4170,31253,18835,8331,100.00,100.00,100.00,100.00,0,0,0,0
values_45,9453,5519,220,1603,985,2139,100.00,100.00,100.00,100.00,42.968,5.897,9.597,4.419
values_33,15503,9023,352,2595,1585,4493,100.00,100.00,100.00,100.00,44.043,5.974,9.781,3.450
values_15,12093,7079,282,2069,1267,3171,100.00,100.00,100.00,100.00,42.883,5.845,9.545,3.814
values_93,44299,25594,940,7011,4249,20531,100.00,100.00,100.00,100.00,47.127,6.318,10.426,2.158
values_24,,,2362,17685,10675,4715,100.00,100.00,100.00,100.00,0,0,0,0
values_25,1884,1136,52,339,217,763,100.00,100.00,100.00,100.00,36.231,5.558,8.682,2.469
values_26,1902,1146,52,339,217,763,100.00,100.00,100.00,100.00,36.577,5.611,8.765,2.493
values_48,,,1650,12341,7459,3291,100.00,100.00,100.00,100.00,0,0,0,0
values_71,1148,689,30,173,115,186,100.00,100.00,100.00,100.00,38.267,6.636,9.983,6.172
values_76,,,2766,20717,12499,5523,100.00,100.00,100.00,100.00,0,0,0,0
values_7,,,3916,29347,17689,7823,100.00,100.00,100.00,100.00,0,0,0,0
values_50,32928,18950,712,5299,3217,13401,100.00,100.00,100.00,100.00,46.247,6.214,10.236,2.457
values_22,1920,1144,52,339,217,763,100.00,100.00,100.00,100.00,36.923,5.664,8.848,2.516
values_4,,,2172,16259,9817,4335,100.00,100.00,100.00,100.00,0,0,0,0
values_32,38072,22139,822,6125,3715,16713,100.00,100.00,100.00,100.00,46.316,6.216,10.248,2.278
values_77,44159,25556,940,7011,4249,20531,100.00,100.00,100.00,100.00,46.978,6.299,10.393,2.151
values_91,,,1342,10029,6067,2675,100.00,100.00,100.00,100.00,0,0,0,0
values_42,,,4170,31253,18835,8331,100.00,100.00,100.00,100.00,0,0,0,0
values_13,1871,1130,52,339,217,763,100.00,100.00,100.00,100.00,35.981,5.519,8.622,2.452
values_41,4354,2614,120,851,529,5295,100.00,100.00,100.00,100.00,36.283,5.116,8.231,0.822
values_55,19089,11051,430,3181,1939,6141,100.00,100.00,100.00,100.00,44.393,6.001,9.845,3.108
values_31,,,1816,13587,8209,3623,100.00,100.00,100.00,100.00,0,0,0,0
values_66,2963,1787,82,565,355,2242,100.00,100.00,100.00,100.00,36.134,5.244,8.346,1.322
values_65,,,2362,17685,10675,4715,100.00,100.00,100.00,100.00,0,0,0,0
