inputName,text,data,bss
values_11,6022,2564,1520
values_19,5796,10180,1520
values_12,6470,4060,1520
values_38,5842,2524,1520
values_81,7084,2780,1520
values_5,6254,3292,1520
values_40,5798,9692,1520
values_70,5802,7492,1520
values_23,5802,9220,1520
values_72,5798,10684,1520
values_79,5798,5084,1520
values_78,6096,2884,1520
values_87,5798,8764,1520
values_6,5798,7900,1520
values_68,5798,8764,1520
values_69,5796,10180,1520
values_1,6632,4804,1520
values_45,5796,10180,1520
values_33,5798,9692,1520
values_15,5802,9220,1520
values_93,5802,5380,1520
values_24,7084,2780,1520
values_25,6254,3292,1520
values_26,6524,4292,1520
values_48,6022,2564,1520
values_71,5796,10180,1520
values_76,6470,4060,1520
values_7,5798,6364,1520
values_50,6430,4540,1520
values_22,6200,3140,1520
values_4,6430,4540,1520
values_32,6310,2620,1520
values_77,5798,7100,1520
values_91,5798,8764,1520
values_42,6254,3292,1520
values_13,5798,7100,1520
values_41,5798,8764,1520
values_55,6362,3844,1520
values_31,6022,2564,1520
values_66,5802,7492,1520
values_65,6262,3460,1520
values_62,6096,2884,1520
values_21,5802,9220,1520
values_95,5798,8764,1520
values_84,6022,2564,1520
values_58,5798,5084,1520
values_64,6022,2564,1520
values_83,5798,7900,1520
values_94,6096,2884,1520
values_0,7084,2780,1520
values_99,6022,2564,1520
values_96,6430,4540,1520
values_67,5802,9220,1520
values_61,6096,2884,1520
values_43,6430,4540,1520
values_2,6254,3292,1520
values_54,5798,9692,1520
values_30,6362,3844,1520
values_59,6062,3004,1520
values_85,5802,6020,1520
values_74,5798,5084,1520
values_90,6524,4292,1520
values_18,5798,7100,1520
values_52,6606,2692,1520
values_44,5798,5084,1520
values_17,5802,9220,1520
values_36,6254,3292,1520
values_49,5842,2524,1520
values_86,5798,5692,1520
values_37,6362,3644,1520
values_56,5802,5380,1520
values_63,5802,6020,1520
values_35,6632,4804,1520
values_97,5802,6020,1520
values_75,6606,2692,1520
values_57,5802,7492,1520
values_88,6262,3460,1520
values_10,5802,5380,1520
values_53,5798,5692,1520
values_8,6262,3460,1520
values_39,6200,3140,1520
values_47,5798,9692,1520
values_60,6200,3140,1520
values_89,6310,2620,1520
values_51,5802,7492,1520
values_14,6362,3644,1520
values_28,6022,2564,1520
values_16,6200,3140,1520
values_34,6362,3844,1520
values_82,5796,10180,1520
values_46,6632,4804,1520
values_27,5798,9692,1520
values_20,5798,5692,1520
values_9,6606,2692,1520
values_92,6200,3140,1520
values_3,5802,8324,1520
values_98,5798,7900,1520
values_29,5798,7100,1520
values_80,5798,5084,1520
values_73,5798,10684,1520
