id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,110,75,30,173,115,186,100.00,100.00,100.00,100.00,3.667,0.636,0.957,0.591
values_19,8766,7657,3432,25715,15505,6855,100.00,100.00,100.00,100.00,2.554,0.341,0.565,1.279
values_12,1667,1450,712,5299,3217,13401,100.00,100.00,100.00,100.00,2.341,0.315,0.518,0.124
values_38,393,293,120,851,529,5295,100.00,100.00,100.00,100.00,3.275,0.462,0.743,0.074
values_81,6096,5341,2362,17685,10675,4715,100.00,100.00,100.00,100.00,2.581,0.345,0.571,1.293
values_5,8190,7117,3202,23989,14467,6395,100.00,100.00,100.00,100.00,2.558,0.341,0.566,1.281
values_40,9861,8648,3916,29347,17689,7823,100.00,100.00,100.00,100.00,2.518,0.336,0.557,1.261
values_70,276,203,82,565,355,2242,100.00,100.00,100.00,100.00,3.366,0.488,0.777,0.123
values_23,7575,6649,2980,22323,13465,5951,100.00,100.00,100.00,100.00,2.542,0.339,0.563,1.273
values_72,5112,4439,1990,14893,8995,3971,100.00,100.00,100.00,100.00,2.569,0.343,0.568,1.287
values_79,8190,7117,3202,23989,14467,6395,100.00,100.00,100.00,100.00,2.558,0.341,0.566,1.281
values_78,5593,4845,2172,16259,9817,4335,100.00,100.00,100.00,100.00,2.575,0.344,0.570,1.290
values_87,10591,9308,4170,31253,18835,8331,100.00,100.00,100.00,100.00,2.540,0.339,0.562,1.271
values_6,10591,9308,4170,31253,18835,8331,100.00,100.00,100.00,100.00,2.540,0.339,0.562,1.271
values_68,9861,8648,3916,29347,17689,7823,100.00,100.00,100.00,100.00,2.518,0.336,0.557,1.261
values_69,1227,1060,516,3827,2329,8151,100.00,100.00,100.00,100.00,2.378,0.321,0.527,0.151
values_1,9861,8648,3916,29347,17689,7823,100.00,100.00,100.00,100.00,2.518,0.336,0.557,1.261
values_45,1914,1669,822,6125,3715,16713,100.00,100.00,100.00,100.00,2.328,0.312,0.515,0.115
values_33,10591,9308,4170,31253,18835,8331,100.00,100.00,100.00,100.00,2.540,0.339,0.562,1.271
values_15,701,594,282,2069,1267,3171,100.00,100.00,100.00,100.00,2.486,0.339,0.553,0.221
values_93,9861,8648,3916,29347,17689,7823,100.00,100.00,100.00,100.00,2.518,0.336,0.557,1.261
values_24,6096,5341,2362,17685,10675,4715,100.00,100.00,100.00,100.00,2.581,0.345,0.571,1.293
values_25,393,293,120,851,529,5295,100.00,100.00,100.00,100.00,3.275,0.462,0.743,0.074
values_26,2179,1904,940,7011,4249,20531,100.00,100.00,100.00,100.00,2.318,0.311,0.513,0.106
values_48,1667,1450,712,5299,3217,13401,100.00,100.00,100.00,100.00,2.341,0.315,0.518,0.124
values_71,276,203,82,565,355,2242,100.00,100.00,100.00,100.00,3.366,0.488,0.777,0.123
values_76,1034,889,430,3181,1939,6141,100.00,100.00,100.00,100.00,2.405,0.325,0.533,0.168
values_7,1227,1060,516,3827,2329,8151,100.00,100.00,100.00,100.00,2.378,0.321,0.527,0.151
values_50,2179,1904,940,7011,4249,20531,100.00,100.00,100.00,100.00,2.318,0.311,0.513,0.106
values_22,9861,8648,3916,29347,17689,7823,100.00,100.00,100.00,100.00,2.518,0.336,0.557,1.261
values_4,561,420,166,1197,739,10786,100.00,100.00,100.00,100.00,3.380,0.469,0.759,0.052
values_32,1914,1669,822,6125,3715,16713,100.00,100.00,100.00,100.00,2.328,0.312,0.515,0.115
values_77,9216,8100,3670,27501,16579,7331,100.00,100.00,100.00,100.00,2.511,0.335,0.556,1.257
values_91,2734,2172,1066,7957,4819,24891,100.00,100.00,100.00,100.00,2.565,0.344,0.567,0.110
values_42,1438,1247,610,4533,2755,10559,100.00,100.00,100.00,100.00,2.357,0.317,0.522,0.136
values_13,701,594,282,2069,1267,3171,100.00,100.00,100.00,100.00,2.486,0.339,0.553,0.221
values_41,110,75,30,173,115,186,100.00,100.00,100.00,100.00,3.667,0.636,0.957,0.591
values_55,4256,3721,1650,12341,7459,3291,100.00,100.00,100.00,100.00,2.579,0.345,0.571,1.293
values_31,276,203,82,565,355,2242,100.00,100.00,100.00,100.00,3.366,0.488,0.777,0.123
values_66,1914,1669,822,6125,3715,16713,100.00,100.00,100.00,100.00,2.328,0.312,0.515,0.115
values_65,1914,1669,822,6125,3715,16713,100.00,100.00,100.00,100.00,2.328,0.312,0.515,0.115
values_62,1227,1060,516,3827,2329,8151,100.00,100.00,100.00,100.00,2.378,0.321,0.527,0.151
values_21,10591,9308,4170,31253,18835,8331,100.00,100.00,100.00,100.00,2.540,0.339,0.562,1.271
values_95,1667,1450,712,5299,3217,13401,100.00,100.00,100.00,100.00,2.341,0.315,0.518,0.124
values_84,110,75,30,173,115,186,100.00,100.00,100.00,100.00,3.667,0.636,0.957,0.591
values_58,276,203,82,565,355,2242,100.00,100.00,100.00,100.00,3.366,0.488,0.777,0.123
values_64,8766,7657,3432,25715,15505,6855,100.00,100.00,100.00,100.00,2.554,0.341,0.565,1.279
values_83,3516,3067,1342,10029,6067,2675,100.00,100.00,100.00,100.00,2.620,0.351,0.580,1.314
values_94,2179,1904,940,7011,4249,20531,100.00,100.00,100.00,100.00,2.318,0.311,0.513,0.106
