inputName,text,data,bss
values_11,780,72,65
values_19,328,6728,65
values_12,328,5000,65
values_38,324,7688,65
values_81,324,2888,65
values_5,892,968,65
values_40,324,3528,65
values_70,324,2592,65
values_23,1132,1800,65
values_72,328,7200,65
values_79,324,3200,65
values_78,328,4232,65
values_87,324,7688,65
values_6,328,5832,65
values_68,1812,288,65
values_69,1132,1800,65
values_1,1068,1568,65
values_45,324,5408,65
values_33,1132,1800,65
values_15,324,7688,65
values_93,684,512,65
values_24,1256,2312,65
values_25,1132,1800,65
values_26,1068,1568,65
values_48,328,5832,65
values_71,316,8192,65
values_76,1132,1800,65
values_7,1160,128,65
values_50,828,800,65
values_22,328,7200,65
values_4,328,6728,65
values_32,328,6728,65
values_77,328,5832,65
values_91,316,8192,65
values_42,648,392,65
values_13,1812,288,65
values_41,952,1152,65
values_55,324,5408,65
values_31,504,32,65
values_66,324,7688,65
values_65,780,72,65
values_62,328,4232,65
values_21,324,3872,65
values_95,328,5000,65
values_84,892,968,65
values_58,1648,200,65
values_64,328,6728,65
values_83,892,968,65
values_94,328,5000,65
values_0,316,8192,65
values_99,1012,1352,65
values_96,1256,2312,65
values_67,328,6728,65
values_61,772,648,65
values_43,324,2592,65
values_2,328,6728,65
values_54,648,392,65
values_30,324,5408,65
values_59,324,5408,65
values_85,828,800,65
values_74,316,8192,65
values_90,328,5000,65
values_18,1648,200,65
values_52,1812,288,65
values_44,328,5832,65
values_17,324,2592,65
values_36,952,1152,65
values_49,504,32,65
values_86,328,6272,65
values_37,328,7200,65
values_56,324,7688,65
values_63,328,5832,65
values_35,324,2592,65
values_97,984,2048,65
values_75,828,800,65
values_57,328,7200,65
values_88,684,512,65
values_10,324,3872,65
values_53,1812,288,65
values_8,648,392,65
values_39,984,2048,65
values_47,324,3528,65
values_60,1012,1352,65
values_89,324,2888,65
values_51,1068,1568,65
values_14,892,968,65
values_28,892,968,65
values_16,328,5000,65
values_34,328,5832,65
values_82,328,7200,65
values_46,324,2888,65
values_27,1256,2312,65
values_20,324,4608,65
values_9,324,2888,65
values_92,324,2888,65
values_3,1812,288,65
values_98,984,2048,65
values_29,1812,288,65
values_80,328,6272,65
values_73,1132,1800,65
