id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,5487,3029,809,3569,1378,10516,100.00,100.00,100.00,100.00,6.782,1.537,3.982,0.522
values_19,36287,22646,5801,25331,8554,80287,100.00,100.00,100.00,100.00,6.255,1.433,4.242,0.452
values_12,8771,4859,1280,5630,2086,16993,100.00,100.00,100.00,100.00,6.852,1.558,4.205,0.516
values_38,4054,2276,614,2714,1078,7858,100.00,100.00,100.00,100.00,6.603,1.494,3.761,0.516
values_81,2781,1631,446,1976,814,5587,100.00,100.00,100.00,100.00,6.235,1.407,3.416,0.498
values_5,48927,31479,8034,35044,11678,111791,100.00,100.00,100.00,100.00,6.090,1.396,4.190,0.438
values_40,21562,12941,3341,14621,5074,45712,100.00,100.00,100.00,100.00,6.454,1.475,4.250,0.472
values_70,81506,54640,13876,60436,19774,194476,100.00,100.00,100.00,100.00,5.874,1.349,4.122,0.419
values_23,44175,28099,7180,31330,10486,99733,100.00,100.00,100.00,100.00,6.153,1.410,4.213,0.443
values_72,17527,10306,2671,11701,4114,36337,100.00,100.00,100.00,100.00,6.562,1.498,4.260,0.482
values_79,26074,15876,4086,17866,6134,56162,100.00,100.00,100.00,100.00,6.381,1.459,4.251,0.464
values_78,64745,42771,10884,47434,15638,152093,100.00,100.00,100.00,100.00,5.949,1.365,4.140,0.426
values_87,39600,24911,6374,27824,9358,88363,100.00,100.00,100.00,100.00,6.213,1.423,4.232,0.448
values_6,94653,64184,16280,70880,23086,228568,100.00,100.00,100.00,100.00,5.814,1.335,4.100,0.414
values_68,35206,21915,5616,24526,8294,77681,100.00,100.00,100.00,100.00,6.269,1.435,4.245,0.453
values_69,57792,37856,9644,42044,13918,134548,100.00,100.00,100.00,100.00,5.993,1.375,4.152,0.430
values_1,15320,8869,2305,10105,3586,31228,100.00,100.00,100.00,100.00,6.646,1.516,4.272,0.491
values_45,83111,55791,14166,61696,20174,198587,100.00,100.00,100.00,100.00,5.867,1.347,4.120,0.419
values_33,48927,31479,8034,35044,11678,111791,100.00,100.00,100.00,100.00,6.090,1.396,4.190,0.438
values_15,50134,32354,8255,36005,11986,114913,100.00,100.00,100.00,100.00,6.073,1.392,4.183,0.436
values_93,59109,38815,9886,43096,14254,137971,100.00,100.00,100.00,100.00,5.979,1.372,4.147,0.428
values_24,98073,66690,16911,73621,23954,237521,100.00,100.00,100.00,100.00,5.799,1.332,4.094,0.413
values_25,1473,939,264,1174,518,3161,100.00,100.00,100.00,100.00,5.580,1.255,2.844,0.466
values_26,48927,31479,8034,35044,11678,111791,100.00,100.00,100.00,100.00,6.090,1.396,4.190,0.438
values_48,34132,21196,5434,23734,8038,75118,100.00,100.00,100.00,100.00,6.281,1.438,4.246,0.454
values_71,67674,44821,11401,49681,16354,159412,100.00,100.00,100.00,100.00,5.936,1.362,4.138,0.425
values_76,4512,2515,676,2986,1174,8701,100.00,100.00,100.00,100.00,6.675,1.511,3.843,0.519
values_7,5005,2766,741,3271,1274,9587,100.00,100.00,100.00,100.00,6.754,1.530,3.929,0.522
values_50,44175,28099,7180,31330,10486,99733,100.00,100.00,100.00,100.00,6.153,1.410,4.213,0.443
values_22,32006,19794,5079,22189,7538,70121,100.00,100.00,100.00,100.00,6.302,1.442,4.246,0.456
values_4,2781,1631,446,1976,814,5587,100.00,100.00,100.00,100.00,6.235,1.407,3.416,0.498
values_32,56470,36909,9405,41005,13586,131168,100.00,100.00,100.00,100.00,6.004,1.377,4.156,0.431
values_77,131848,91404,23130,100630,32486,325838,100.00,100.00,100.00,100.00,5.700,1.310,4.059,0.405
values_91,131848,91404,23130,100630,32486,325838,100.00,100.00,100.00,100.00,5.700,1.310,4.059,0.405
values_42,18315,10809,2799,12259,4298,38126,100.00,100.00,100.00,100.00,6.543,1.494,4.261,0.480
values_13,131848,91404,23130,100630,32486,325838,100.00,100.00,100.00,100.00,5.700,1.310,4.059,0.405
values_41,470,344,104,464,238,1096,100.00,100.00,100.00,100.00,4.519,1.013,1.975,0.429
values_55,138022,95901,24261,105541,34034,341912,100.00,100.00,100.00,100.00,5.689,1.308,4.055,0.404
values_31,64745,42771,10884,47434,15638,152093,100.00,100.00,100.00,100.00,5.949,1.365,4.140,0.426
values_66,24181,14666,3779,16529,5698,51853,100.00,100.00,100.00,100.00,6.399,1.463,4.244,0.466
values_65,40704,25690,6571,28681,9634,91141,100.00,100.00,100.00,100.00,6.194,1.419,4.225,0.447
values_62,20722,12390,3201,14011,4874,43751,100.00,100.00,100.00,100.00,6.474,1.479,4.252,0.474
values_21,94653,64184,16280,70880,23086,228568,100.00,100.00,100.00,100.00,5.814,1.335,4.100,0.414
values_95,24181,14666,3779,16529,5698,51853,100.00,100.00,100.00,100.00,6.399,1.463,4.244,0.466
values_84,60481,39786,10131,44161,14594,141437,100.00,100.00,100.00,100.00,5.970,1.370,4.144,0.428
values_58,118064,81331,20596,89626,29014,289837,100.00,100.00,100.00,100.00,5.732,1.317,4.069,0.407
values_64,73662,49065,12471,54331,17834,174566,100.00,100.00,100.00,100.00,5.907,1.356,4.130,0.422
values_83,21562,12941,3341,14621,5074,45712,100.00,100.00,100.00,100.00,6.454,1.475,4.250,0.472
values_94,25126,15265,3931,17191,5914,53986,100.00,100.00,100.00,100.00,6.392,1.462,4.249,0.465
values_0,13911,7971,2076,9106,3254,28037,100.00,100.00,100.00,100.00,6.701,1.528,4.275,0.496
values_99,10608,5936,1556,6836,2494,20812,100.00,100.00,100.00,100.00,6.817,1.552,4.253,0.510
values_96,86366,58129,14755,64255,20986,206938,100.00,100.00,100.00,100.00,5.853,1.344,4.115,0.417
values_67,5487,3029,809,3569,1378,10516,100.00,100.00,100.00,100.00,6.782,1.537,3.982,0.522
values_61,13237,7540,1966,8626,3094,26506,100.00,100.00,100.00,100.00,6.733,1.535,4.278,0.499
values_43,67674,44821,11401,49681,16354,159412,100.00,100.00,100.00,100.00,5.936,1.362,4.138,0.425
values_2,12552,7121,1859,8159,2938,25018,100.00,100.00,100.00,100.00,6.752,1.538,4.272,0.502
values_54,2417,1440,396,1756,734,4916,100.00,100.00,100.00,100.00,6.104,1.376,3.293,0.492
values_30,5005,2766,741,3271,1274,9587,100.00,100.00,100.00,100.00,6.754,1.530,3.929,0.522
values_59,21562,12941,3341,14621,5074,45712,100.00,100.00,100.00,100.00,6.454,1.475,4.250,0.472
values_85,81506,54640,13876,60436,19774,194476,100.00,100.00,100.00,100.00,5.874,1.349,4.122,0.419
values_74,63295,41764,10630,46330,15286,148498,100.00,100.00,100.00,100.00,5.954,1.366,4.141,0.426
values_90,108681,74496,18876,82156,26654,265412,100.00,100.00,100.00,100.00,5.758,1.323,4.077,0.409
values_18,72156,47986,12199,53149,17458,170713,100.00,100.00,100.00,100.00,5.915,1.358,4.133,0.423
values_52,108681,74496,18876,82156,26654,265412,100.00,100.00,100.00,100.00,5.758,1.323,4.077,0.409
values_44,110481,75839,19214,83624,27118,270211,100.00,100.00,100.00,100.00,5.750,1.321,4.074,0.409
values_17,119986,82734,20949,91159,29498,294851,100.00,100.00,100.00,100.00,5.728,1.316,4.068,0.407
values_36,13911,7971,2076,9106,3254,28037,100.00,100.00,100.00,100.00,6.701,1.528,4.275,0.496
