id,clockCycles,assemblyInstr,Cache,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,82846,82846,"['961260', '8844573', '126683', '1107066', '65055', '552236', '568363', '50.034', '12892736', '0', '3958036', '0', '182290', '0', '0', '4.606']",22026,95717,30855,310032,100.00,100.00,100.00,100.00,3.761,0.866,2.685,0.267
values_19,5862,5862,"['961348', '8844571', '126694', '1107064', '65055', '552236', '568363', '50.033', '12590540', '0', '3881052', '0', '162257', '0', '0', '4.181']",1280,5603,2059,16966,100.00,100.00,100.00,100.00,4.580,1.046,2.847,0.346
values_12,9289,9289,"['961348', '8844571', '126694', '1107064', '65055', '552236', '568363', '50.033', '12603964', '0', '3884479', '0', '163134', '0', '0', '4.200']",2189,9563,3382,29575,100.00,100.00,100.00,100.00,4.243,0.971,2.747,0.314
values_38,9289,9289,"['961348', '8844571', '126694', '1107064', '65055', '552236', '568363', '50.033', '12603964', '0', '3884479', '0', '163134', '0', '0', '4.200']",2189,9563,3382,29575,100.00,100.00,100.00,100.00,4.243,0.971,2.747,0.314
values_81,27902,27902,"['961260', '8844573', '126683', '1107066', '65055', '552236', '568363', '50.034', '12677002', '0', '3903092', '0', '167982', '0', '0', '4.304']",7180,31263,10419,99666,100.00,100.00,100.00,100.00,3.886,0.892,2.678,0.280
values_5,13081,13081,"['961260', '8844573', '126683', '1107066', '65055', '552236', '568363', '50.034', '12618860', '0', '3888271', '0', '164104', '0', '0', '4.220']",3201,13967,4830,43707,100.00,100.00,100.00,100.00,4.087,0.937,2.708,0.299
values_40,50617,50617,"['961260', '8844573', '126683', '1107066', '65055', '552236', '568363', '50.034', '12766172', '0', '3925807', '0', '173899', '0', '0', '4.430']",13305,57863,18894,186291,100.00,100.00,100.00,100.00,3.804,0.875,2.679,0.272
values_70,15786,15786,"['961260', '8844573', '126683', '1107066', '65055', '552236', '568363', '50.034', '12629466', '0', '3890976', '0', '164825', '0', '0', '4.236']",3931,17142,5865,53937,100.00,100.00,100.00,100.00,4.016,0.921,2.692,0.293
values_23,80202,80202,"['961260', '8844573', '126683', '1107066', '65055', '552236', '568363', '50.034', '12882352', '0', '3955392', '0', '181600', '0', '0', '4.591']",21305,92588,29869,299791,100.00,100.00,100.00,100.00,3.764,0.866,2.685,0.268
values_72,12566,12566,"['961260', '8844573', '126683', '1107066', '65055', '552236', '568363', '50.034', '12616840', '0', '3887756', '0', '163977', '0', '0', '4.218']",3064,13371,4635,41790,100.00,100.00,100.00,100.00,4.101,0.940,2.711,0.301
values_79,67542,67542,"['961260', '8844573', '126683', '1107066', '65055', '552236', '568363', '50.034', '12832632', '0', '3942732', '0', '178312', '0', '0', '4.523']",17880,77723,25179,251166,100.00,100.00,100.00,100.00,3.778,0.869,2.682,0.269
values_78,4606,4606,"['961388', '8844570', '126699', '1107063', '65055', '552236', '568363', '50.033', '12585608', '0', '3879796', '0', '161908', '0', '0', '4.173']",954,4181,1575,12480,100.00,100.00,100.00,100.00,4.828,1.102,2.924,0.369
values_87,49574,49574,"['961260', '8844573', '126683', '1107066', '65055', '552236', '568363', '50.034', '12762076', '0', '3924764', '0', '173627', '0', '0', '4.424']",13024,56643,18507,182310,100.00,100.00,100.00,100.00,3.806,0.875,2.679,0.272
values_6,8026,8026,"['961348', '8844571', '126694', '1107064', '65055', '552236', '568363', '50.033', '12599014', '0', '3883216', '0', '162815', '0', '0', '4.193']",1859,8126,2905,24985,100.00,100.00,100.00,100.00,4.317,0.988,2.763,0.321
values_68,78889,78889,"['961260', '8844573', '126683', '1107066', '65055', '552236', '568363', '50.034', '12877196', '0', '3954079', '0', '181252', '0', '0', '4.584']",20949,91043,29382,294735,100.00,100.00,100.00,100.00,3.766,0.867,2.685,0.268
values_69,5862,5862,"['961348', '8844571', '126694', '1107064', '65055', '552236', '568363', '50.033', '12590540', '0', '3881052', '0', '162257', '0', '0', '4.181']",1280,5603,2059,16966,100.00,100.00,100.00,100.00,4.580,1.046,2.847,0.346
values_1,84177,84177,"['961260', '8844573', '126683', '1107066', '65055', '552236', '568363', '50.034', '12897964', '0', '3959367', '0', '182636', '0', '0', '4.613']",22391,97301,31354,315217,100.00,100.00,100.00,100.00,3.759,0.865,2.685,0.267
values_45,82846,82846,"['961260', '8844573', '126683', '1107066', '65055', '552236', '568363', '50.034', '12892736', '0', '3958036', '0', '182290', '0', '0', '4.606']",22026,95717,30855,310032,100.00,100.00,100.00,100.00,3.761,0.866,2.685,0.267
values_33,32706,32706,"['961260', '8844573', '126683', '1107066', '65055', '552236', '568363', '50.034', '12695856', '0', '3907896', '0', '169254', '0', '0', '4.331']",8479,36906,12225,118005,100.00,100.00,100.00,100.00,3.857,0.886,2.675,0.277
values_15,21401,21401,"['961260', '8844573', '126683', '1107066', '65055', '552236', '568363', '50.034', '12651492', '0', '3896591', '0', '166282', '0', '0', '4.267']",5434,23676,7980,75060,100.00,100.00,100.00,100.00,3.938,0.904,2.682,0.285
