id,clockCycles,assemblyInstr,Cache,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,18657,18657,"['956184', '8845313', '126047', '1109165', '65079', '552212', '568386', '49.974', '12634010', '0', '3898846', '0', '161166', '0', '0', '4.134']",13024,31157,22231,21953,100.00,100.00,100.00,100.00,1.433,0.599,0.839,0.850
values_19,22212,22212,"['956184', '8845313', '126047', '1109165', '65079', '552212', '568386', '49.974', '12642902', '0', '3902401', '0', '161170', '0', '0', '4.130']",15661,37385,26677,26372,100.00,100.00,100.00,100.00,1.418,0.594,0.833,0.842
values_12,34821,34821,"['956184', '8845313', '126047', '1109165', '65079', '552212', '568386', '49.974', '12674438', '0', '3915010', '0', '161236', '0', '0', '4.118']",25030,59471,42445,42059,100.00,100.00,100.00,100.00,1.391,0.586,0.820,0.828
values_38,2602,2602,"['956312', '8845310', '126063', '1109162', '65079', '552212', '568386', '49.974', '12593792', '0', '3882791', '0', '161023', '0', '0', '4.147']",1194,3012,2146,2063,100.00,100.00,100.00,100.00,2.179,0.864,1.212,1.261
values_81,11622,11622,"['956184', '8845313', '126047', '1109165', '65079', '552212', '568386', '49.974', '12616412', '0', '3891811', '0', '161122', '0', '0', '4.140']",7816,18830,13432,13217,100.00,100.00,100.00,100.00,1.487,0.617,0.865,0.879
values_5,31767,31767,"['956184', '8845313', '126047', '1109165', '65079', '552212', '568386', '49.974', '12666800', '0', '3911956', '0', '161214', '0', '0', '4.121']",22759,54122,38626,38258,100.00,100.00,100.00,100.00,1.396,0.587,0.822,0.830
values_40,10761,10761,"['956184', '8845313', '126047', '1109165', '65079', '552212', '568386', '49.974', '12614258', '0', '3890950', '0', '161122', '0', '0', '4.141']",7180,17321,12355,12149,100.00,100.00,100.00,100.00,1.499,0.621,0.871,0.886
values_70,2269,2269,"['956312', '8845310', '126063', '1109162', '65079', '552212', '568386', '49.974', '12592958', '0', '3882458', '0', '161018', '0', '0', '4.147']",954,2427,1729,1655,100.00,100.00,100.00,100.00,2.378,0.935,1.312,1.371
values_23,1419,1419,"['956312', '8845310', '126063', '1109162', '65079', '552212', '568386', '49.974', '12590828', '0', '3881608', '0', '160988', '0', '0', '4.147']",349,932,664,620,100.00,100.00,100.00,100.00,4.066,1.523,2.137,2.289
values_72,20991,20991,"['956184', '8845313', '126047', '1109165', '65079', '552212', '568386', '49.974', '12639848', '0', '3901180', '0', '161166', '0', '0', '4.131']",14755,35246,25150,24854,100.00,100.00,100.00,100.00,1.423,0.596,0.835,0.845
