inputName,n
11,39
19,115
12,21
38,98
81,12
5,21
40,109
70,44
23,11
72,17
79,108
78,92
87,99
6,72
68,41
69,84
1,121
45,78
33,82
15,68
93,80
24,106
25,113
26,89
48,116
71,117
76,85
7,53
50,47
22,106
4,124
32,76
77,57
91,115
42,64
13,7
41,73
55,6
31,88
66,64
65,92
62,103
21,16
95,40
84,89
58,63
64,43
83,37
94,110
0,43
99,57
96,60
67,65
61,105
43,31
2,37
54,72
30,17
59,114
85,20
74,57
90,55
18,74
52,25
44,73
17,98
36,9
49,4
86,46
37,49
56,90
63,13
35,39
97,13
75,50
57,89
88,113
10,111
53,29
8,7
39,125
47,62
60,6
89,3
51,48
14,98
28,22
16,63
34,58
82,33
46,75
27,71
20,120
9,42
92,106
3,118
98,125
29,75
80,71
73,100
