inputName,text,data,bss
values_11,6646,2564,1480
values_19,6646,2564,1480
values_12,6646,2564,1480
values_38,6646,2564,1480
values_81,6646,2564,1480
values_5,6646,2564,1480
values_40,6646,2564,1480
values_70,6646,2564,1480
values_23,6646,2564,1480
values_72,6646,2564,1480
values_79,6646,2564,1480
values_78,6646,2564,1480
values_87,6646,2564,1480
values_6,6646,2564,1480
values_68,6646,2564,1480
values_69,6646,2564,1480
values_1,6646,2564,1480
values_45,6646,2564,1480
values_33,6646,2564,1480
values_15,6646,2564,1480
values_93,6646,2564,1480
values_24,6646,2564,1480
values_25,6646,2564,1480
values_26,6646,2564,1480
values_48,6646,2564,1480
values_71,6646,2564,1480
values_76,6646,2564,1480
values_7,6646,2564,1480
values_50,6646,2564,1480
values_22,6646,2564,1480
values_4,6646,2564,1480
values_32,6646,2564,1480
values_77,6646,2564,1480
values_91,6646,2564,1480
values_42,6646,2564,1480
values_13,6646,2564,1480
values_41,6646,2564,1480
values_55,6646,2564,1480
values_31,6646,2564,1480
values_66,6646,2564,1480
values_65,6646,2564,1480
values_62,6646,2564,1480
values_21,6646,2564,1480
values_95,6646,2564,1480
values_84,6646,2564,1480
values_58,6646,2564,1480
values_64,6646,2564,1480
values_83,6646,2564,1480
values_94,6646,2564,1480
values_0,6646,2564,1480
values_99,6646,2564,1480
values_96,6646,2564,1480
values_67,6646,2564,1480
values_61,6646,2564,1480
values_43,6646,2564,1480
values_2,6646,2564,1480
values_54,6646,2564,1480
values_30,6646,2564,1480
values_59,6646,2564,1480
values_85,6646,2564,1480
values_74,6646,2564,1480
values_90,6646,2564,1480
values_18,6646,2564,1480
values_52,6646,2564,1480
values_44,6646,2564,1480
values_17,6646,2564,1480
values_36,6646,2564,1480
values_49,6646,2564,1480
values_86,6646,2564,1480
values_37,6646,2564,1480
values_56,6646,2564,1480
values_63,6646,2564,1480
values_35,6646,2564,1480
values_97,6646,2564,1480
values_75,6646,2564,1480
values_57,6646,2564,1480
values_88,6646,2564,1480
values_10,6646,2564,1480
values_53,6646,2564,1480
values_8,6646,2564,1480
values_39,6646,2564,1480
values_47,6646,2564,1480
values_60,6646,2564,1480
values_89,6646,2564,1480
values_51,6646,2564,1480
values_14,6646,2564,1480
values_28,6646,2564,1480
values_16,6646,2564,1480
values_34,6646,2564,1480
values_82,6646,2564,1480
values_46,6646,2564,1480
values_27,6646,2564,1480
values_20,6646,2564,1480
values_9,6646,2564,1480
values_92,6646,2564,1480
values_3,6646,2564,1480
values_98,6646,2564,1480
values_29,6646,2564,1480
values_80,6646,2564,1480
values_73,6646,2564,1480
