id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,269071,205366,2599,29845,22865,9661,100.00,100.00,100.00,100.00,103.529,9.016,11.768,27.851
values_19,269071,205366,2599,29845,22865,9661,100.00,100.00,100.00,100.00,103.529,9.016,11.768,27.851
values_12,269071,205366,2599,29845,22865,9661,100.00,100.00,100.00,100.00,103.529,9.016,11.768,27.851
values_38,269071,205366,2599,29845,22865,9661,100.00,100.00,100.00,100.00,103.529,9.016,11.768,27.851
values_81,269071,205366,2599,29845,22865,9661,100.00,100.00,100.00,100.00,103.529,9.016,11.768,27.851
values_5,269071,205366,2599,29845,22865,9661,100.00,100.00,100.00,100.00,103.529,9.016,11.768,27.851
values_40,269071,205366,2599,29845,22865,9661,100.00,100.00,100.00,100.00,103.529,9.016,11.768,27.851
values_70,269071,205366,2599,29845,22865,9661,100.00,100.00,100.00,100.00,103.529,9.016,11.768,27.851
values_23,269071,205366,2599,29845,22865,9661,100.00,100.00,100.00,100.00,103.529,9.016,11.768,27.851
values_72,269071,205366,2599,29845,22865,9661,100.00,100.00,100.00,100.00,103.529,9.016,11.768,27.851
values_79,269071,205366,2599,29845,22865,9661,100.00,100.00,100.00,100.00,103.529,9.016,11.768,27.851
values_78,269071,205366,2599,29845,22865,9661,100.00,100.00,100.00,100.00,103.529,9.016,11.768,27.851
values_87,269071,205366,2599,29845,22865,9661,100.00,100.00,100.00,100.00,103.529,9.016,11.768,27.851
values_6,269071,205366,2599,29845,22865,9661,100.00,100.00,100.00,100.00,103.529,9.016,11.768,27.851
values_68,269071,205366,2599,29845,22865,9661,100.00,100.00,100.00,100.00,103.529,9.016,11.768,27.851
values_69,269071,205366,2599,29845,22865,9661,100.00,100.00,100.00,100.00,103.529,9.016,11.768,27.851
values_1,269071,205366,2599,29845,22865,9661,100.00,100.00,100.00,100.00,103.529,9.016,11.768,27.851
values_45,269071,205366,2599,29845,22865,9661,100.00,100.00,100.00,100.00,103.529,9.016,11.768,27.851
values_33,269071,205366,2599,29845,22865,9661,100.00,100.00,100.00,100.00,103.529,9.016,11.768,27.851
values_15,269071,205366,2599,29845,22865,9661,100.00,100.00,100.00,100.00,103.529,9.016,11.768,27.851
values_93,269071,205366,2599,29845,22865,9661,100.00,100.00,100.00,100.00,103.529,9.016,11.768,27.851
values_24,269071,205366,2599,29845,22865,9661,100.00,100.00,100.00,100.00,103.529,9.016,11.768,27.851
values_25,269071,205366,2599,29845,22865,9661,100.00,100.00,100.00,100.00,103.529,9.016,11.768,27.851
values_26,269071,205366,2599,29845,22865,9661,100.00,100.00,100.00,100.00,103.529,9.016,11.768,27.851
values_48,269071,205366,2599,29845,22865,9661,100.00,100.00,100.00,100.00,103.529,9.016,11.768,27.851
values_71,269071,205366,2599,29845,22865,9661,100.00,100.00,100.00,100.00,103.529,9.016,11.768,27.851
values_76,269071,205366,2599,29845,22865,9661,100.00,100.00,100.00,100.00,103.529,9.016,11.768,27.851
values_7,269071,205366,2599,29845,22865,9661,100.00,100.00,100.00,100.00,103.529,9.016,11.768,27.851
values_50,269071,205366,2599,29845,22865,9661,100.00,100.00,100.00,100.00,103.529,9.016,11.768,27.851
values_22,269071,205366,2599,29845,22865,9661,100.00,100.00,100.00,100.00,103.529,9.016,11.768,27.851
values_4,269071,205366,2599,29845,22865,9661,100.00,100.00,100.00,100.00,103.529,9.016,11.768,27.851
values_32,269071,205366,2599,29845,22865,9661,100.00,100.00,100.00,100.00,103.529,9.016,11.768,27.851
values_77,269071,205366,2599,29845,22865,9661,100.00,100.00,100.00,100.00,103.529,9.016,11.768,27.851
values_91,269071,205366,2599,29845,22865,9661,100.00,100.00,100.00,100.00,103.529,9.016,11.768,27.851
