id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,1103,614,178,690,510,507,100.00,57.89,47.37,80.00,6.197,1.599,2.163,2.176
values_19,1093,614,178,690,510,507,100.00,57.89,47.37,80.00,6.140,1.584,2.143,2.156
values_12,1099,614,178,690,510,507,100.00,57.89,47.37,80.00,6.174,1.593,2.155,2.168
values_38,2275,1229,333,1549,1101,1065,0.00,57.89,47.37,60.00,6.832,1.469,2.066,2.136
values_81,2255,1263,348,1581,1140,1116,0.00,57.89,47.37,60.00,6.480,1.426,1.978,2.021
values_5,2161,1229,336,1552,1104,1068,100.00,57.89,47.37,80.00,6.432,1.392,1.957,2.023
values_40,73,33,16,21,21,23,100.00,21.05,13.16,20.00,4.562,3.476,3.476,3.174
values_70,2091,1227,336,1552,1104,1068,100.00,57.89,47.37,80.00,6.223,1.347,1.894,1.958
values_23,2243,1263,348,1581,1140,1116,0.00,57.89,47.37,60.00,6.445,1.419,1.968,2.010
values_72,2319,1229,336,1552,1104,1068,100.00,57.89,47.37,80.00,6.902,1.494,2.101,2.171
values_79,2221,1229,333,1549,1101,1065,0.00,57.89,47.37,60.00,6.670,1.434,2.017,2.085
values_78,2281,1229,333,1549,1101,1065,0.00,57.89,47.37,60.00,6.850,1.473,2.072,2.142
values_87,1985,1267,348,1581,1132,1104,0.00,57.89,47.37,60.00,5.704,1.256,1.754,1.798
values_6,2311,1229,336,1552,1104,1068,100.00,57.89,47.37,80.00,6.878,1.489,2.093,2.164
values_68,2051,1113,300,1374,976,939,0.00,57.89,47.37,60.00,6.837,1.493,2.101,2.184
values_69,2013,1113,300,1374,976,939,0.00,57.89,47.37,60.00,6.710,1.465,2.062,2.144
values_1,2193,1229,333,1549,1101,1065,0.00,57.89,47.37,60.00,6.586,1.416,1.992,2.059
values_45,75,35,16,21,21,23,100.00,21.05,13.16,20.00,4.688,3.571,3.571,3.261
values_33,2183,1229,333,1549,1101,1065,0.00,57.89,47.37,60.00,6.556,1.409,1.983,2.050
values_15,1065,614,178,690,510,507,100.00,57.89,47.37,80.00,5.983,1.543,2.088,2.101
values_93,448,256,80,249,191,197,100.00,57.89,44.74,80.00,5.600,1.799,2.346,2.274
values_24,2359,1263,351,1584,1143,1119,100.00,57.89,47.37,80.00,6.721,1.489,2.064,2.108
values_25,2179,1263,351,1584,1143,1119,100.00,57.89,47.37,80.00,6.208,1.376,1.906,1.947
