id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,2983,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.288,14.695,17.547,14.841
values_19,2983,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.288,14.695,17.547,14.841
values_12,2983,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.288,14.695,17.547,14.841
values_38,6213,3340,0.00,0.00,0.00,0.00,,,,,0,0,0,0
values_81,2983,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.288,14.695,17.547,14.841
values_5,6515,3350,166,517,408,457,100.00,57.89,47.37,80.00,39.247,12.602,15.968,14.256
values_40,2948,1569,77,200,167,198,0.00,57.89,44.74,60.00,38.286,14.740,17.653,14.889
values_70,76,33,16,21,21,23,100.00,21.05,13.16,20.00,4.750,3.619,3.619,3.304
values_23,78,35,16,21,21,23,100.00,21.05,13.16,20.00,4.875,3.714,3.714,3.391
values_72,78,35,16,21,21,23,100.00,21.05,13.16,20.00,4.875,3.714,3.714,3.391
values_79,78,35,16,21,21,23,100.00,21.05,13.16,20.00,4.875,3.714,3.714,3.391
values_78,76,33,16,21,21,23,100.00,21.05,13.16,20.00,4.750,3.619,3.619,3.304
values_87,2983,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.288,14.695,17.547,14.841
values_6,6367,3348,163,514,405,454,0.00,57.89,47.37,60.00,39.061,12.387,15.721,14.024
values_68,2912,1569,77,200,167,198,0.00,57.89,44.74,60.00,37.818,14.560,17.437,14.707
values_69,2983,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.288,14.695,17.547,14.841
values_1,6515,3350,166,517,408,457,100.00,57.89,47.37,80.00,39.247,12.602,15.968,14.256
values_45,2981,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.263,14.685,17.535,14.831
values_33,6481,3350,163,514,405,454,0.00,57.89,47.37,60.00,39.761,12.609,16.002,14.275
values_15,2983,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.288,14.695,17.547,14.841
values_93,2983,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.288,14.695,17.547,14.841
values_24,78,35,16,21,21,23,100.00,21.05,13.16,20.00,4.875,3.714,3.714,3.391
values_25,78,35,16,21,21,23,100.00,21.05,13.16,20.00,4.875,3.714,3.714,3.391
values_26,76,33,16,21,21,23,100.00,21.05,13.16,20.00,4.750,3.619,3.619,3.304
values_48,2912,1569,77,200,167,198,0.00,57.89,44.74,60.00,37.818,14.560,17.437,14.707
values_71,78,35,16,21,21,23,100.00,21.05,13.16,20.00,4.875,3.714,3.714,3.391
values_76,76,33,16,21,21,23,100.00,21.05,13.16,20.00,4.750,3.619,3.619,3.304
values_7,6511,3350,166,517,408,457,100.00,57.89,47.37,80.00,39.223,12.594,15.958,14.247
values_50,2948,1569,77,200,167,198,0.00,57.89,44.74,60.00,38.286,14.740,17.653,14.889
values_22,78,35,16,21,21,23,100.00,21.05,13.16,20.00,4.875,3.714,3.714,3.391
values_4,6507,3350,166,517,408,457,100.00,57.89,47.37,80.00,39.199,12.586,15.949,14.239
values_32,6513,3350,166,517,408,457,100.00,57.89,47.37,80.00,39.235,12.598,15.963,14.252
values_77,78,35,16,21,21,23,100.00,21.05,13.16,20.00,4.875,3.714,3.714,3.391
values_91,2975,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.188,14.655,17.500,14.801
values_42,2981,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.263,14.685,17.535,14.831
values_13,2983,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.288,14.695,17.547,14.841
values_41,2983,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.288,14.695,17.547,14.841
values_55,2981,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.263,14.685,17.535,14.831
values_31,6513,3350,166,517,408,457,100.00,57.89,47.37,80.00,39.235,12.598,15.963,14.252
values_66,2979,1568,80,203,170,201,100.00,57.89,44.74,80.00,37.237,14.675,17.524,14.821
values_65,2979,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.237,14.675,17.524,14.821
values_62,2983,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.288,14.695,17.547,14.841
values_21,78,35,16,21,21,23,100.00,21.05,13.16,20.00,4.875,3.714,3.714,3.391
values_95,2983,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.288,14.695,17.547,14.841
values_84,2983,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.288,14.695,17.547,14.841
values_58,2912,1569,77,200,167,198,0.00,57.89,44.74,60.00,37.818,14.560,17.437,14.707
values_64,2983,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.288,14.695,17.547,14.841
values_83,2983,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.288,14.695,17.547,14.841
values_94,2983,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.288,14.695,17.547,14.841
values_0,6305,3350,0.00,0.00,0.00,0.00,,,,,0,0,0,0
values_99,2983,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.288,14.695,17.547,14.841
values_96,2981,1568,80,203,170,201,100.00,57.89,44.74,80.00,37.263,14.685,17.535,14.831
values_67,2983,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.288,14.695,17.547,14.841
values_61,2981,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.263,14.685,17.535,14.831
values_43,2983,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.288,14.695,17.547,14.841
values_2,6517,3350,166,517,408,457,100.00,57.89,47.37,80.00,39.259,12.605,15.973,14.260
values_54,2981,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.263,14.685,17.535,14.831
values_30,6305,3350,0.00,0.00,0.00,0.00,,,,,0,0,0,0
values_59,2983,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.288,14.695,17.547,14.841
values_85,2981,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.263,14.685,17.535,14.831
values_74,78,35,16,21,21,23,100.00,21.05,13.16,20.00,4.875,3.714,3.714,3.391
values_90,2948,1569,77,200,167,198,0.00,57.89,44.74,60.00,38.286,14.740,17.653,14.889
values_18,2912,1569,77,200,167,198,0.00,57.89,44.74,60.00,37.818,14.560,17.437,14.707
values_52,2983,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.288,14.695,17.547,14.841
values_44,2983,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.288,14.695,17.547,14.841
values_17,2983,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.288,14.695,17.547,14.841
values_36,6367,3348,163,514,405,454,0.00,57.89,47.37,60.00,39.061,12.387,15.721,14.024
values_49,2983,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.288,14.695,17.547,14.841
values_86,2977,1568,80,203,170,201,100.00,57.89,44.74,80.00,37.212,14.665,17.512,14.811
values_37,6511,3350,166,517,408,457,100.00,57.89,47.37,80.00,39.223,12.594,15.958,14.247
values_56,2981,1568,80,203,170,201,100.00,57.89,44.74,80.00,37.263,14.685,17.535,14.831
values_63,2983,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.288,14.695,17.547,14.841
values_35,6515,3350,166,517,408,457,100.00,57.89,47.37,80.00,39.247,12.602,15.968,14.256
values_97,2983,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.288,14.695,17.547,14.841
values_75,78,35,16,21,21,23,100.00,21.05,13.16,20.00,4.875,3.714,3.714,3.391
values_57,2983,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.288,14.695,17.547,14.841
values_88,2912,1569,77,200,167,198,0.00,57.89,44.74,60.00,37.818,14.560,17.437,14.707
values_10,2948,1569,77,200,167,198,0.00,57.89,44.74,60.00,38.286,14.740,17.653,14.889
values_53,2983,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.288,14.695,17.547,14.841
values_8,6213,3340,0.00,0.00,0.00,0.00,,,,,0,0,0,0
values_39,6499,3350,166,517,408,457,100.00,57.89,47.37,80.00,39.151,12.571,15.929,14.221
values_47,2983,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.288,14.695,17.547,14.841
values_60,2946,1569,77,200,167,198,0.00,57.89,44.74,60.00,38.260,14.730,17.641,14.879
values_89,2983,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.288,14.695,17.547,14.841
values_51,2983,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.288,14.695,17.547,14.841
values_14,2983,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.288,14.695,17.547,14.841
values_28,76,33,16,21,21,23,100.00,21.05,13.16,20.00,4.750,3.619,3.619,3.304
values_16,2981,1568,80,203,170,201,100.00,57.89,44.74,80.00,37.263,14.685,17.535,14.831
values_34,6515,3350,166,517,408,457,100.00,57.89,47.37,80.00,39.247,12.602,15.968,14.256
values_82,2981,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.263,14.685,17.535,14.831
values_46,2979,1568,80,203,170,201,100.00,57.89,44.74,80.00,37.237,14.675,17.524,14.821
values_27,78,35,16,21,21,23,100.00,21.05,13.16,20.00,4.875,3.714,3.714,3.391
values_20,76,33,16,21,21,23,100.00,21.05,13.16,20.00,4.750,3.619,3.619,3.304
values_9,6509,3350,166,517,408,457,100.00,57.89,47.37,80.00,39.211,12.590,15.953,14.243
values_92,2983,1570,80,203,170,201,100.00,57.89,44.74,80.00,37.288,14.695,17.547,14.841
values_3,6481,3350,163,514,405,454,0.00,57.89,47.37,60.00,39.761,12.609,16.002,14.275
values_98,2912,1569,77,200,167,198,0.00,57.89,44.74,60.00,37.818,14.560,17.437,14.707
values_29,78,35,16,21,21,23,100.00,21.05,13.16,20.00,4.875,3.714,3.714,3.391
values_80,2948,1569,77,200,167,198,0.00,57.89,44.74,60.00,38.286,14.740,17.653,14.889
values_73,78,35,16,21,21,23,100.00,21.05,13.16,20.00,4.875,3.714,3.714,3.391
