inputName,text,data,bss
values_11,1284,128,0
values_19,1284,192,0
values_12,1284,96,0
values_38,1244,24,0
values_81,1284,128,0
values_5,1284,104,0
values_40,1284,40,0
values_70,1284,40,0
values_23,1284,72,0
values_72,1284,96,0
values_79,1284,192,0
values_78,1244,24,0
values_87,1284,208,0
values_6,1284,56,0
values_68,1244,24,0
values_69,1284,192,0
values_1,1284,128,0
values_45,1284,104,0
values_33,1284,72,0
values_15,1284,104,0
values_93,1284,72,0
values_24,1284,120,0
values_25,1284,104,0
values_26,1284,56,0
values_48,1244,24,0
values_71,1284,128,0
values_76,1284,56,0
values_7,1284,208,0
values_50,1284,40,0
values_22,1284,96,0
values_4,1284,120,0
values_32,1284,96,0
values_77,1284,208,0
values_91,1284,128,0
values_42,1284,96,0
values_13,1284,72,0
values_41,1284,128,0
values_55,1284,104,0
values_31,1284,128,0
values_66,1284,56,0
values_65,1284,104,0
values_62,1284,96,0
values_21,1284,128,0
values_95,1284,104,0
values_84,1284,120,0
values_58,1244,24,0
values_64,1284,120,0
values_83,1284,72,0
values_94,1284,120,0
values_0,1284,40,0
values_99,1284,192,0
values_96,1284,56,0
values_67,1284,208,0
values_61,1284,128,0
values_43,1284,72,0
values_2,1284,96,0
values_54,1284,120,0
values_30,1284,40,0
values_59,1284,192,0
values_85,1284,104,0
values_74,1284,120,0
values_90,1284,40,0
values_18,1244,24,0
values_52,1284,96,0
values_44,1284,120,0
values_17,1284,208,0
values_36,1284,56,0
values_49,1284,192,0
values_86,1284,56,0
values_37,1284,208,0
values_56,1284,56,0
values_63,1284,72,0
values_35,1284,104,0
values_97,1284,208,0
values_75,1284,104,0
values_57,1284,208,0
values_88,1244,24,0
values_10,1284,40,0
values_53,1284,72,0
values_8,1244,24,0
values_39,1284,192,0
values_47,1284,208,0
values_60,1284,40,0
values_89,1284,192,0
values_51,1284,128,0
values_14,1284,120,0
values_28,1244,24,0
values_16,1284,56,0
values_34,1284,120,0
values_82,1284,96,0
values_46,1284,56,0
values_27,1284,208,0
values_20,1284,40,0
values_9,1284,192,0
values_92,1284,96,0
values_3,1284,72,0
values_98,1244,24,0
values_29,1284,192,0
values_80,1284,40,0
values_73,1284,72,0
