inputName,text,data,bss
values_11,5124,256,0
values_19,5124,240,0
values_12,5124,256,0
values_38,5124,168,0
values_81,5124,256,0
values_5,5124,240,0
values_40,5124,152,0
values_70,5124,152,0
values_23,5124,56,0
values_72,5124,256,0
values_79,5124,240,0
values_78,5124,168,0
values_87,5124,224,0
values_6,5124,200,0
values_68,5124,168,0
values_69,5124,240,0
values_1,5124,256,0
values_45,5124,240,0
values_33,5124,56,0
values_15,5124,240,0
values_93,5124,56,0
values_24,5124,176,0
values_25,5124,240,0
values_26,5124,200,0
values_48,5124,168,0
values_71,5124,256,0
values_76,5124,200,0
values_7,5124,224,0
values_50,5124,152,0
values_22,5124,256,0
values_4,5124,176,0
values_32,5124,256,0
values_77,5124,224,0
values_91,5124,256,0
values_42,5124,256,0
values_13,5124,56,0
values_41,5124,256,0
values_55,5124,240,0
values_31,5124,256,0
values_66,5124,200,0
values_65,5124,240,0
values_62,5124,256,0
values_21,5124,256,0
values_95,5124,240,0
values_84,5124,176,0
values_58,5124,168,0
values_64,5124,176,0
values_83,5124,56,0
values_94,5124,176,0
values_0,5124,152,0
values_99,5124,240,0
values_96,5124,200,0
values_67,5124,224,0
values_61,5124,256,0
values_43,5124,56,0
values_2,5124,256,0
values_54,5124,176,0
values_30,5124,152,0
values_59,5124,240,0
values_85,5124,240,0
values_74,5124,176,0
values_90,5124,152,0
values_18,5124,168,0
values_52,5124,256,0
values_44,5124,176,0
values_17,5124,224,0
values_36,5124,200,0
values_49,5124,240,0
values_86,5124,200,0
values_37,5124,224,0
values_56,5124,200,0
values_63,5124,56,0
values_35,5124,240,0
values_97,5124,224,0
values_75,5124,240,0
values_57,5124,224,0
values_88,5124,168,0
values_10,5124,152,0
values_53,5124,56,0
values_8,5124,168,0
values_39,5124,240,0
values_47,5124,224,0
values_60,5124,152,0
values_89,5124,240,0
values_51,5124,256,0
values_14,5124,176,0
values_28,5124,168,0
values_16,5124,200,0
values_34,5124,176,0
values_82,5124,256,0
values_46,5124,200,0
values_27,5124,224,0
values_20,5124,152,0
values_9,5124,240,0
values_92,5124,256,0
values_3,5124,56,0
values_98,5124,168,0
values_29,5124,240,0
values_80,5124,152,0
values_73,5124,56,0
