id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,30532,20411,195,761,574,636,100.00,57.89,52.63,80.00,156.574,40.121,53.192,48.006
values_19,30388,20331,195,761,574,636,100.00,57.89,52.63,80.00,155.836,39.932,52.941,47.780
values_12,30532,20411,195,761,574,636,100.00,57.89,52.63,80.00,156.574,40.121,53.192,48.006
values_38,29710,19945,183,735,542,595,100.00,57.89,52.63,80.00,162.350,40.422,54.815,49.933
values_81,16162,11156,97,292,236,270,100.00,57.89,50.00,80.00,166.619,55.349,68.483,59.859
values_5,16018,11076,97,292,236,270,100.00,57.89,50.00,80.00,165.134,54.856,67.873,59.326
values_40,15226,10636,97,292,236,270,100.00,57.89,50.00,80.00,156.969,52.144,64.517,56.393
values_70,29566,19865,183,735,542,595,100.00,57.89,52.63,80.00,161.563,40.226,54.550,49.691
values_23,14362,10156,97,292,236,270,100.00,57.89,50.00,80.00,148.062,49.185,60.856,53.193
values_72,30502,20385,183,735,542,595,100.00,57.89,52.63,80.00,166.678,41.499,56.277,51.264
values_79,30358,20305,183,735,542,595,100.00,57.89,52.63,80.00,165.891,41.303,56.011,51.022
values_78,29710,19945,183,735,542,595,100.00,57.89,52.63,80.00,162.350,40.422,54.815,49.933
values_87,15874,10996,97,292,236,270,100.00,57.89,50.00,80.00,163.649,54.363,67.263,58.793
values_6,15658,10876,97,292,236,270,100.00,57.89,50.00,80.00,161.423,53.623,66.347,57.993
values_68,29710,19945,183,735,542,595,100.00,57.89,52.63,80.00,162.350,40.422,54.815,49.933
values_69,30358,20305,183,735,542,595,100.00,57.89,52.63,80.00,165.891,41.303,56.011,51.022
values_1,16162,11156,97,292,236,270,100.00,57.89,50.00,80.00,166.619,55.349,68.483,59.859
values_45,16018,11076,97,292,236,270,100.00,57.89,50.00,80.00,165.134,54.856,67.873,59.326
values_33,28702,19385,180,730,537,590,0.00,57.89,52.63,60.00,159.456,39.318,53.449,48.647
values_15,30388,20331,195,761,574,636,100.00,57.89,52.63,80.00,155.836,39.932,52.941,47.780
values_93,14362,10156,97,292,236,270,100.00,57.89,50.00,80.00,148.062,49.185,60.856,53.193
values_24,15442,10756,97,292,236,270,100.00,57.89,50.00,80.00,159.196,52.884,65.432,57.193
values_25,16018,11076,97,292,236,270,100.00,57.89,50.00,80.00,165.134,54.856,67.873,59.326
values_26,15658,10876,97,292,236,270,100.00,57.89,50.00,80.00,161.423,53.623,66.347,57.993
values_48,15370,10716,97,292,236,270,100.00,57.89,50.00,80.00,158.454,52.637,65.127,56.926
