id,clockCycles,assemblyInstr,cacheHit,cacheHitInstr,cacheHitData,MOPS,MIPS,MFLOPS,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,7574,3272,91.1,91.8,76.4,21.60,21.12,0.48,195,719,540,598,100.00,57.89,52.63,80.00,38.841,10.534,14.026,12.666
values_19,7574,3272,91.1,91.8,76.4,21.60,21.12,0.48,195,719,540,598,100.00,57.89,52.63,80.00,38.841,10.534,14.026,12.666
values_12,7505,3204,90.9,91.6,76.4,21.35,20.86,0.49,192,714,535,593,0.00,57.89,52.63,60.00,39.089,10.511,14.028,12.656
values_38,7578,3272,91.0,91.8,75.9,21.59,21.11,0.48,195,719,540,598,100.00,57.89,52.63,80.00,38.862,10.540,14.033,12.672
values_81,7574,3272,91.1,91.8,76.4,21.60,21.12,0.48,195,719,540,598,100.00,57.89,52.63,80.00,38.841,10.534,14.026,12.666
values_5,3872,1295,84.1,85.3,56.9,16.72,16.72,0.00,17,23,23,25,100.00,21.05,13.16,20.00,227.765,168.348,168.348,154.880
values_40,7503,3228,90.9,91.7,75.9,21.51,21.02,0.49,183,695,510,559,100.00,57.89,52.63,80.00,41.000,10.796,14.712,13.422
values_70,3872,1295,84.0,85.3,55.2,16.72,16.72,0.00,17,23,23,25,100.00,21.05,13.16,20.00,227.765,168.348,168.348,154.880
values_23,7503,3228,90.9,91.7,75.9,21.51,21.02,0.49,183,695,510,559,100.00,57.89,52.63,80.00,41.000,10.796,14.712,13.422
values_72,3872,1295,84.0,85.3,55.2,16.72,16.72,0.00,17,23,23,25,100.00,21.05,13.16,20.00,227.765,168.348,168.348,154.880
values_79,3872,1295,84.1,85.3,56.9,16.72,16.72,0.00,17,23,23,25,100.00,21.05,13.16,20.00,227.765,168.348,168.348,154.880
values_78,3872,1295,84.0,85.3,55.2,16.72,16.72,0.00,17,23,23,25,100.00,21.05,13.16,20.00,227.765,168.348,168.348,154.880
values_87,7574,3272,91.1,91.8,76.4,21.60,21.12,0.48,195,719,540,598,100.00,57.89,52.63,80.00,38.841,10.534,14.026,12.666
values_6,3872,1295,84.0,85.3,55.2,16.72,16.72,0.00,17,23,23,25,100.00,21.05,13.16,20.00,227.765,168.348,168.348,154.880
values_68,3872,1295,84.0,85.3,55.2,16.72,16.72,0.00,17,23,23,25,100.00,21.05,13.16,20.00,227.765,168.348,168.348,154.880
values_69,3872,1295,84.1,85.3,56.9,16.72,16.72,0.00,17,23,23,25,100.00,21.05,13.16,20.00,227.765,168.348,168.348,154.880
values_1,3872,1295,84.1,85.3,56.9,16.72,16.72,0.00,17,23,23,25,100.00,21.05,13.16,20.00,227.765,168.348,168.348,154.880
values_45,7499,3228,91.0,91.7,76.4,21.52,21.04,0.49,183,695,510,559,100.00,57.89,52.63,80.00,40.978,10.790,14.704,13.415
values_33,7578,3272,91.0,91.8,75.9,21.59,21.11,0.48,195,719,540,598,100.00,57.89,52.63,80.00,38.862,10.540,14.033,12.672
values_15,7574,3272,91.1,91.8,76.4,21.60,21.12,0.48,195,719,540,598,100.00,57.89,52.63,80.00,38.841,10.534,14.026,12.666
values_93,7503,3228,90.9,91.7,75.9,21.51,21.02,0.49,183,695,510,559,100.00,57.89,52.63,80.00,41.000,10.796,14.712,13.422
values_24,7499,3228,91.0,91.7,76.4,21.52,21.04,0.49,183,695,510,559,100.00,57.89,52.63,80.00,40.978,10.790,14.704,13.415
values_25,7499,3228,91.0,91.7,76.4,21.52,21.04,0.49,183,695,510,559,100.00,57.89,52.63,80.00,40.978,10.790,14.704,13.415
