id,clockCycles,assemblyInstr,Cache,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,2680,2680,"['968688', '8853082', '127628', '1108136', '65111', '552779', '568978', '50.001', '12591792', '0', '3882869', '0', '161191', '0', '0', '4.151']",731,2324,2145,2980,100.00,57.89,55.26,80.00,3.666,1.153,1.249,0.899
values_19,2678,2678,"['964820', '8844740', '127141', '1108503', '65084', '552238', '568381', '49.960', '12593086', '0', '3882867', '0', '161081', '0', '0', '4.149']",0.00,0.00,0.00,0.00,,,,,0,0,0,0
values_12,2678,2678,"['964868', '8844708', '127147', '1108499', '65084', '552238', '568379', '49.959', '12593070', '0', '3882867', '0', '161081', '0', '0', '4.149']",728,2319,2140,2975,0.00,57.89,55.26,60.00,3.679,1.155,1.251,0.900
values_38,2659,2659,"['968760', '8853034', '127637', '1108130', '65115', '552775', '568974', '50.001', '12591702', '0', '3882848', '0', '161191', '0', '0', '4.151']",719,2300,2115,2935,100.00,57.89,55.26,80.00,3.698,1.156,1.257,0.906
values_81,2680,2680,"['968688', '8853082', '127628', '1108136', '65111', '552779', '568978', '50.001', '12591792', '0', '3882869', '0', '161191', '0', '0', '4.151']",731,2324,2145,2980,100.00,57.89,55.26,80.00,3.666,1.153,1.249,0.899
values_5,2657,2657,"['964892', '8844692', '127150', '1108497', '65084', '552238', '568374', '49.959', '12592996', '0', '3882846', '0', '161081', '0', '0', '4.149']",719,2300,2115,2935,100.00,57.89,55.26,80.00,3.695,1.155,1.256,0.905
values_40,882,882,"['964576', '8844506', '127096', '1108456', '65054', '552229', '568355', '49.960', '12586696', '0', '3881072', '0', '160928', '0', '0', '4.146']",17,23,23,27,100.00,21.05,13.16,20.00,51.882,38.348,38.348,32.667
values_70,882,882,"['964576', '8844506', '127096', '1108456', '65054', '552229', '568355', '49.960', '12586696', '0', '3881072', '0', '160928', '0', '0', '4.146']",17,23,23,27,100.00,21.05,13.16,20.00,51.882,38.348,38.348,32.667
values_23,2680,2680,"['968688', '8853082', '127628', '1108136', '65111', '552779', '568978', '50.001', '12591792', '0', '3882869', '0', '161191', '0', '0', '4.151']",731,2324,2145,2980,100.00,57.89,55.26,80.00,3.666,1.153,1.249,0.899
values_72,911,911,"['964584', '8844498', '127097', '1108469', '65055', '552236', '568361', '49.960', '12586792', '0', '3881100', '0', '160953', '0', '0', '4.147']",17,23,23,27,100.00,21.05,13.16,20.00,53.588,39.609,39.609,33.741
values_79,911,911,"['964536', '8844530', '127091', '1108473', '65055', '552236', '568363', '49.960', '12586808', '0', '3881100', '0', '160953', '0', '0', '4.147']",17,23,23,27,100.00,21.05,13.16,20.00,53.588,39.609,39.609,33.741
values_78,913,913,"['968476', '8852824', '127587', '1108100', '65095', '552770', '568960', '50.002', '12585490', '0', '3881102', '0', '161073', '0', '0', '4.150']",17,23,23,27,100.00,21.05,13.16,20.00,53.706,39.696,39.696,33.815
values_87,2680,2680,"['968688', '8853082', '127628', '1108136', '65111', '552779', '568978', '50.001', '12591792', '0', '3882869', '0', '161191', '0', '0', '4.151']",731,2324,2145,2980,100.00,57.89,55.26,80.00,3.666,1.153,1.249,0.899
values_6,2659,2659,"['968664', '8853098', '127625', '1108138', '65110', '552780', '568979', '50.001', '12591734', '0', '3882848', '0', '161191', '0', '0', '4.151']",719,2300,2115,2935,100.00,57.89,55.26,80.00,3.698,1.156,1.257,0.906
values_68,2680,2680,"['968760', '8853034', '127637', '1108130', '65115', '552775', '568974', '50.001', '12591768', '0', '3882869', '0', '161191', '0', '0', '4.151']",731,2324,2145,2980,100.00,57.89,55.26,80.00,3.666,1.153,1.249,0.899
values_69,2678,2678,"['964820', '8844740', '127141', '1108503', '65084', '552238', '568381', '49.960', '12593086', '0', '3882867', '0', '161081', '0', '0', '4.149']",0.00,0.00,0.00,0.00,,,,,0,0,0,0
values_1,2659,2659,"['968688', '8853082', '127628', '1108136', '65111', '552779', '568978', '50.001', '12591726', '0', '3882848', '0', '161191', '0', '0', '4.151']",719,2300,2115,2935,100.00,57.89,55.26,80.00,3.698,1.156,1.257,0.906
values_45,911,911,"['964608', '8844482', '127100', '1108467', '65058', '552233', '568360', '49.960', '12586784', '0', '3881100', '0', '160953', '0', '0', '4.147']",17,23,23,27,100.00,21.05,13.16,20.00,53.588,39.609,39.609,33.741
values_33,2659,2659,"['968688', '8853082', '127628', '1108136', '65111', '552779', '568978', '50.001', '12591726', '0', '3882848', '0', '161191', '0', '0', '4.151']",719,2300,2115,2935,100.00,57.89,55.26,80.00,3.698,1.156,1.257,0.906
values_15,2678,2678,"['964892', '8844692', '127150', '1108497', '65087', '552235', '568378', '49.959', '12593062', '0', '3882867', '0', '161081', '0', '0', '4.149']",731,2324,2145,2980,100.00,57.89,55.26,80.00,3.663,1.152,1.248,0.899
values_93,913,913,"['968404', '8852872', '127578', '1108106', '65091', '552774', '568964', '50.002', '12585514', '0', '3881102', '0', '161073', '0', '0', '4.150']",17,23,23,27,100.00,21.05,13.16,20.00,53.706,39.696,39.696,33.815
values_24,2651,2651,"['968776', '8853026', '127639', '1108115', '65116', '552769', '568970', '50.001', '12591664', '0', '3882841', '0', '161166', '0', '0', '4.151']",731,2324,2145,2980,100.00,57.89,55.26,80.00,3.627,1.141,1.236,0.890
values_25,2678,2678,"['964892', '8844692', '127150', '1108497', '65087', '552235', '568378', '49.959', '12593062', '0', '3882867', '0', '161081', '0', '0', '4.149']",731,2324,2145,2980,100.00,57.89,55.26,80.00,3.663,1.152,1.248,0.899
values_26,2680,2680,"['968664', '8853098', '127625', '1108138', '65110', '552780', '568979', '50.001', '12591800', '0', '3882869', '0', '161191', '0', '0', '4.151']",731,2324,2145,2980,100.00,57.89,55.26,80.00,3.666,1.153,1.249,0.899
values_48,913,913,"['968476', '8852824', '127587', '1108100', '65095', '552770', '568960', '50.002', '12585490', '0', '3881102', '0', '161073', '0', '0', '4.150']",17,23,23,27,100.00,21.05,13.16,20.00,53.706,39.696,39.696,33.815
values_71,913,913,"['968404', '8852872', '127578', '1108106', '65091', '552774', '568964', '50.002', '12585514', '0', '3881102', '0', '161073', '0', '0', '4.150']",17,23,23,27,100.00,21.05,13.16,20.00,53.706,39.696,39.696,33.815
values_76,913,913,"['968380', '8852888', '127575', '1108108', '65090', '552775', '568965', '50.002', '12585522', '0', '3881102', '0', '161073', '0', '0', '4.150']",17,23,23,27,100.00,21.05,13.16,20.00,53.706,39.696,39.696,33.815
values_7,2659,2659,"['968688', '8853082', '127628', '1108136', '65111', '552779', '568978', '50.001', '12591726', '0', '3882848', '0', '161191', '0', '0', '4.151']",719,2300,2115,2935,100.00,57.89,55.26,80.00,3.698,1.156,1.257,0.906
values_50,882,882,"['964576', '8844506', '127096', '1108456', '65054', '552229', '568355', '49.960', '12586696', '0', '3881072', '0', '160928', '0', '0', '4.146']",17,23,23,27,100.00,21.05,13.16,20.00,51.882,38.348,38.348,32.667
values_22,2678,2678,"['964868', '8844708', '127147', '1108499', '65084', '552238', '568379', '49.959', '12593070', '0', '3882867', '0', '161081', '0', '0', '4.149']",728,2319,2140,2975,0.00,57.89,55.26,60.00,3.679,1.155,1.251,0.900
values_4,2630,2630,"['968776', '8853026', '127639', '1108115', '65116', '552769', '568970', '50.001', '12591598', '0', '3882820', '0', '161166', '0', '0', '4.151']",719,2300,2115,2935,100.00,57.89,55.26,80.00,3.658,1.143,1.243,0.896
values_32,2657,2657,"['964868', '8844708', '127147', '1108499', '65081', '552241', '568375', '49.959', '12593004', '0', '3882846', '0', '161081', '0', '0', '4.149']",716,2295,2110,2930,0.00,57.89,55.26,60.00,3.711,1.158,1.259,0.907
values_77,913,913,"['968404', '8852872', '127578', '1108106', '65091', '552774', '568964', '50.002', '12585514', '0', '3881102', '0', '161073', '0', '0', '4.150']",17,23,23,27,100.00,21.05,13.16,20.00,53.706,39.696,39.696,33.815
