inputName,text,data,bss
values_11,6500,2548,1472
values_19,6490,2556,1472
values_12,6498,2524,1472
values_38,6498,2524,1472
values_81,6500,2548,1472
values_5,6500,2540,1472
values_40,6498,2532,1472
values_70,6498,2532,1472
values_23,6500,2548,1472
values_72,6498,2524,1472
values_79,6490,2556,1472
values_78,6498,2524,1472
values_87,6500,2548,1472
values_6,6490,2556,1472
values_68,6498,2524,1472
values_69,6490,2556,1472
values_1,6500,2548,1472
values_45,6500,2540,1472
values_33,6500,2548,1472
values_15,6500,2540,1472
values_93,6500,2548,1472
values_24,6498,2524,1472
values_25,6500,2540,1472
values_26,6490,2556,1472
values_48,6498,2524,1472
values_71,6500,2548,1472
values_76,6490,2556,1472
values_7,6500,2548,1472
values_50,6498,2532,1472
values_22,6498,2524,1472
values_4,6498,2524,1472
values_32,6498,2524,1472
values_77,6500,2548,1472
values_91,6500,2548,1472
values_42,6498,2524,1472
values_13,6500,2548,1472
values_41,6500,2548,1472
values_55,6500,2540,1472
values_31,6500,2548,1472
values_66,6490,2556,1472
values_65,6500,2540,1472
values_62,6498,2524,1472
values_21,6500,2548,1472
values_95,6500,2540,1472
values_84,6498,2524,1472
values_58,6498,2524,1472
values_64,6498,2524,1472
values_83,6500,2548,1472
values_94,6498,2524,1472
values_0,6498,2532,1472
values_99,6490,2556,1472
values_96,6490,2556,1472
values_67,6500,2548,1472
values_61,6500,2548,1472
values_43,6500,2548,1472
values_2,6498,2524,1472
values_54,6498,2524,1472
values_30,6498,2532,1472
values_59,6490,2556,1472
values_85,6500,2540,1472
values_74,6498,2524,1472
values_90,6498,2532,1472
values_18,6498,2524,1472
values_52,6498,2524,1472
values_44,6498,2524,1472
values_17,6500,2548,1472
values_36,6490,2556,1472
values_49,6490,2556,1472
values_86,6490,2556,1472
values_37,6500,2548,1472
values_56,6490,2556,1472
values_63,6500,2548,1472
values_35,6500,2540,1472
values_97,6500,2548,1472
values_75,6500,2540,1472
values_57,6500,2548,1472
values_88,6498,2524,1472
values_10,6498,2532,1472
values_53,6500,2548,1472
values_8,6498,2524,1472
values_39,6490,2556,1472
values_47,6500,2548,1472
values_60,6498,2532,1472
values_89,6490,2556,1472
values_51,6500,2548,1472
values_14,6498,2524,1472
values_28,6498,2524,1472
values_16,6490,2556,1472
values_34,6498,2524,1472
values_82,6498,2524,1472
values_46,6490,2556,1472
values_27,6500,2548,1472
values_20,6498,2532,1472
values_9,6490,2556,1472
values_92,6498,2524,1472
values_3,6500,2548,1472
values_98,6498,2524,1472
values_29,6490,2556,1472
values_80,6498,2532,1472
values_73,6500,2548,1472
