inputName,text,data,bss
values_11,1116,48,0
values_19,1104,14,0
values_12,1116,26,0
values_38,1116,40,0
values_81,1116,48,0
values_5,1116,44,0
values_40,1116,26,0
values_70,1116,26,0
values_23,1076,8,0
values_72,1116,26,0
values_79,1104,14,0
values_78,1116,40,0
values_87,1104,14,0
values_6,1116,52,0
values_68,1116,40,0
values_69,1104,14,0
values_1,1116,48,0
values_45,1116,44,0
values_33,1076,8,0
values_15,1116,44,0
values_93,1076,8,0
values_24,1116,30,0
values_25,1116,44,0
values_26,1116,52,0
values_48,1116,40,0
values_71,1116,48,0
values_76,1116,52,0
values_7,1104,14,0
values_50,1116,26,0
values_22,1116,26,0
values_4,1116,30,0
values_32,1116,26,0
values_77,1104,14,0
values_91,1116,48,0
values_42,1116,26,0
values_13,1076,8,0
values_41,1116,48,0
values_55,1116,44,0
values_31,1116,48,0
values_66,1116,52,0
values_65,1116,44,0
values_62,1116,26,0
values_21,1116,48,0
values_95,1116,44,0
values_84,1116,30,0
values_58,1116,40,0
values_64,1116,30,0
values_83,1076,8,0
values_94,1116,30,0
values_0,1116,26,0
values_99,1104,14,0
values_96,1116,52,0
values_67,1104,14,0
values_61,1116,48,0
values_43,1076,8,0
values_2,1116,26,0
values_54,1116,30,0
values_30,1116,26,0
values_59,1104,14,0
values_85,1116,44,0
values_74,1116,30,0
values_90,1116,26,0
values_18,1116,40,0
values_52,1116,26,0
values_44,1116,30,0
values_17,1104,14,0
values_36,1116,52,0
values_49,1104,14,0
values_86,1116,52,0
values_37,1104,14,0
values_56,1116,52,0
values_63,1076,8,0
values_35,1116,44,0
values_97,1104,14,0
values_75,1116,44,0
values_57,1104,14,0
values_88,1116,40,0
values_10,1116,26,0
values_53,1076,8,0
values_8,1116,40,0
values_39,1104,14,0
values_47,1104,14,0
values_60,1116,26,0
values_89,1104,14,0
values_51,1116,48,0
values_14,1116,30,0
values_28,1116,40,0
values_16,1116,52,0
values_34,1116,30,0
values_82,1116,26,0
values_46,1116,52,0
values_27,1104,14,0
values_20,1116,26,0
values_9,1104,14,0
values_92,1116,26,0
values_3,1076,8,0
values_98,1116,40,0
values_29,1104,14,0
values_80,1116,26,0
values_73,1076,8,0
