inputName,text,data,bss
values_11,792,120,0
values_19,792,112,0
values_12,792,28,0
values_38,792,48,0
values_81,792,120,0
values_5,792,28,0
values_40,792,16,0
values_70,792,16,0
values_23,792,48,0
values_72,792,28,0
values_79,792,112,0
values_78,792,48,0
values_87,792,24,0
values_6,792,76,0
values_68,792,48,0
values_69,792,112,0
values_1,792,120,0
values_45,792,28,0
values_33,792,48,0
values_15,792,28,0
values_93,792,48,0
values_24,792,12,0
values_25,792,28,0
values_26,792,76,0
values_48,792,48,0
values_71,792,120,0
values_76,792,76,0
values_7,792,24,0
values_50,792,16,0
values_22,792,28,0
values_4,792,12,0
values_32,792,28,0
values_77,792,24,0
values_91,792,120,0
values_42,792,28,0
values_13,792,48,0
values_41,792,120,0
values_55,792,28,0
values_31,792,120,0
values_66,792,76,0
values_65,792,28,0
values_62,792,28,0
values_21,792,120,0
values_95,792,28,0
values_84,792,12,0
values_58,792,48,0
values_64,792,12,0
values_83,792,48,0
values_94,792,12,0
values_0,792,16,0
values_99,792,112,0
values_96,792,76,0
values_67,792,24,0
values_61,792,120,0
values_43,792,48,0
values_2,792,28,0
values_54,792,12,0
values_30,792,16,0
values_59,792,112,0
values_85,792,28,0
values_74,792,12,0
values_90,792,16,0
values_18,792,48,0
values_52,792,28,0
values_44,792,12,0
values_17,792,24,0
values_36,792,76,0
values_49,792,112,0
values_86,792,76,0
values_37,792,24,0
values_56,792,76,0
values_63,792,48,0
values_35,792,28,0
values_97,792,24,0
values_75,792,28,0
values_57,792,24,0
values_88,792,48,0
values_10,792,16,0
values_53,792,48,0
values_8,792,48,0
values_39,792,112,0
values_47,792,24,0
values_60,792,16,0
values_89,792,112,0
values_51,792,120,0
values_14,792,12,0
values_28,792,48,0
values_16,792,76,0
values_34,792,12,0
values_82,792,28,0
values_46,792,76,0
values_27,792,24,0
values_20,792,16,0
values_9,792,112,0
values_92,792,28,0
values_3,792,48,0
values_98,792,48,0
values_29,792,112,0
values_80,792,16,0
values_73,792,48,0
