inputName,text,data,bss
values_11,52,0,20
values_19,72,0,20
values_12,48,0,20
values_38,60,0,20
values_81,48,0,20
values_5,60,0,20
values_40,52,0,20
values_70,48,0,20
values_23,52,0,20
values_72,72,0,20
values_79,72,0,20
values_78,52,0,20
values_87,72,0,20
values_6,48,0,20
values_68,72,0,20
values_69,52,0,20
values_1,52,0,20
values_45,52,0,20
values_33,52,0,20
values_15,72,0,20
values_93,52,0,20
values_24,52,0,20
values_25,52,0,20
values_26,60,0,20
values_48,72,0,20
values_71,52,0,20
values_76,52,0,20
values_7,72,0,20
values_50,72,0,20
values_22,52,0,20
values_4,52,0,20
values_32,52,0,20
values_77,52,0,20
values_91,52,0,20
values_42,60,0,20
values_13,72,0,20
values_41,52,0,20
values_55,52,0,20
values_31,72,0,20
values_66,48,0,20
values_65,52,0,20
values_62,52,0,20
values_21,72,0,20
values_95,60,0,20
values_84,60,0,20
values_58,60,0,20
values_64,72,0,20
values_83,60,0,20
values_94,72,0,20
values_0,72,0,20
values_99,72,0,20
values_96,52,0,20
values_67,48,0,20
values_61,72,0,20
values_43,60,0,20
values_2,60,0,20
values_54,72,0,20
values_30,60,0,20
values_59,52,0,20
values_85,72,0,20
values_74,52,0,20
values_90,72,0,20
values_18,72,0,20
values_52,72,0,20
values_44,72,0,20
values_17,48,0,20
values_36,52,0,20
values_49,52,0,20
values_86,52,0,20
values_37,52,0,20
values_56,72,0,20
values_63,72,0,20
values_35,52,0,20
values_97,72,0,20
values_75,72,0,20
values_57,52,0,20
values_88,52,0,20
values_10,52,0,20
values_53,72,0,20
values_8,52,0,20
values_39,72,0,20
values_47,72,0,20
values_60,72,0,20
values_89,52,0,20
values_51,60,0,20
values_14,72,0,20
values_28,72,0,20
values_16,72,0,20
values_34,72,0,20
values_82,72,0,20
values_46,52,0,20
values_27,72,0,20
values_20,52,0,20
values_9,72,0,20
values_92,52,0,20
values_3,72,0,20
values_98,60,0,20
values_29,72,0,20
values_80,72,0,20
values_73,72,0,20
