inputName,text,data,bss
values_11,484,40,0
values_19,456,208,0
values_12,404,64,0
values_38,456,224,0
values_81,456,168,0
values_5,76,16,0
values_40,448,72,0
values_70,456,160,0
values_23,456,200,0
values_72,688,112,0
values_79,456,176,0
values_78,688,112,0
values_87,456,256,0
values_6,484,40,0
values_68,456,240,0
values_69,692,48,0
values_1,456,168,0
values_45,76,16,0
values_33,876,144,0
values_15,456,152,0
values_93,640,104,0
values_24,404,64,0
values_25,540,88,0
values_26,456,256,0
values_48,588,96,0
values_71,176,24,0
values_76,312,32,0
values_7,692,48,0
values_50,936,56,0
values_22,456,176,0
values_4,588,96,0
values_32,456,248,0
values_77,456,192,0
values_91,540,88,0
values_42,176,24,0
values_13,456,160,0
values_41,456,224,0
values_55,688,112,0
values_31,456,192,0
values_66,456,168,0
values_65,456,232,0
values_62,588,96,0
values_21,456,184,0
values_95,496,80,0
values_84,404,64,0
values_58,688,112,0
values_64,456,248,0
values_83,484,40,0
values_94,456,232,0
values_0,456,240,0
values_99,448,72,0
values_96,176,24,0
values_67,456,152,0
values_61,404,64,0
values_43,732,120,0
values_2,456,200,0
values_54,456,176,0
values_30,76,16,0
values_59,456,248,0
values_85,456,168,0
values_74,312,32,0
values_90,456,216,0
values_18,484,40,0
values_52,456,208,0
values_44,312,32,0
values_17,456,208,0
values_36,876,144,0
values_49,456,224,0
values_86,404,64,0
values_37,456,184,0
values_56,176,24,0
values_63,780,128,0
values_35,732,120,0
values_97,456,160,0
values_75,640,104,0
values_57,732,120,0
values_88,456,152,0
values_10,76,16,0
values_53,456,240,0
values_8,456,168,0
values_39,456,152,0
values_47,692,48,0
values_60,312,32,0
values_89,824,136,0
values_51,456,224,0
values_14,456,216,0
values_28,456,248,0
values_16,404,64,0
values_34,448,72,0
values_82,456,152,0
values_46,824,136,0
values_27,456,248,0
values_20,76,16,0
values_9,176,24,0
values_92,456,216,0
values_3,456,184,0
values_98,456,240,0
values_29,456,248,0
values_80,780,128,0
values_73,456,192,0
