id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,166,81,40,128,124,448,100.00,100.00,100.00,100.00,4.150,1.297,1.339,0.371
values_19,3462,2210,535,1936,1802,1509,100.00,100.00,100.00,100.00,6.471,1.788,1.921,2.294
values_12,523,313,88,303,288,982,100.00,100.00,100.00,100.00,5.943,1.726,1.816,0.533
values_38,4117,2635,644,2335,2168,1807,100.00,100.00,100.00,100.00,6.393,1.763,1.899,2.278
values_81,2441,1555,378,1362,1272,1072,100.00,100.00,100.00,100.00,6.458,1.792,1.919,2.277
values_5,49,21,16,41,47,37,100.00,100.00,83.33,100.00,3.062,1.195,1.043,1.324
values_40,606,366,102,354,336,1318,100.00,100.00,100.00,100.00,5.941,1.712,1.804,0.460
values_70,2955,1893,466,1685,1564,1303,100.00,100.00,100.00,100.00,6.341,1.754,1.889,2.268
values_23,3929,2519,620,2248,2084,1732,100.00,100.00,100.00,100.00,6.337,1.748,1.885,2.268
values_72,1401,877,235,840,786,5596,100.00,100.00,100.00,100.00,5.962,1.668,1.782,0.250
values_79,2881,1839,449,1622,1510,1265,100.00,100.00,100.00,100.00,6.416,1.776,1.908,2.277
values_78,1407,881,235,840,786,5596,100.00,100.00,100.00,100.00,5.987,1.675,1.790,0.251
values_87,6584,4236,1042,3793,3500,2883,100.00,100.00,100.00,100.00,6.319,1.736,1.881,2.284
values_6,166,81,40,128,124,448,100.00,100.00,100.00,100.00,4.150,1.297,1.339,0.371
values_68,4936,3168,774,2811,2604,2161,100.00,100.00,100.00,100.00,6.377,1.756,1.896,2.284
values_69,179,87,42,135,132,638,100.00,100.00,100.00,100.00,4.262,1.326,1.356,0.281
values_1,2352,1498,366,1318,1232,1040,100.00,100.00,100.00,100.00,6.426,1.785,1.909,2.262
values_45,47,21,13,30,34,26,100.00,100.00,66.67,100.00,3.615,1.567,1.382,1.808
values_33,1822,1144,300,1077,1008,9376,100.00,100.00,100.00,100.00,6.073,1.692,1.808,0.194
values_15,1968,1250,299,1073,1006,854,100.00,100.00,100.00,100.00,6.582,1.834,1.956,2.304
values_93,953,581,155,547,518,3081,100.00,100.00,100.00,100.00,6.148,1.742,1.840,0.309
values_24,579,349,97,336,318,1120,100.00,100.00,100.00,100.00,5.969,1.723,1.821,0.517
values_25,817,499,136,478,452,2274,100.00,100.00,100.00,100.00,6.007,1.709,1.808,0.359
values_26,5695,3655,889,3232,2990,2475,100.00,100.00,83.33,100.00,6.406,1.762,1.905,2.301
values_48,1132,702,186,661,620,3662,100.00,100.00,100.00,100.00,6.086,1.713,1.826,0.309
values_71,86,41,21,59,58,68,100.00,100.00,83.33,100.00,4.095,1.458,1.483,1.265
values_76,126,62,35,110,106,248,100.00,100.00,100.00,100.00,3.600,1.145,1.189,0.508
values_7,241,123,57,190,182,1063,100.00,100.00,100.00,100.00,4.228,1.268,1.324,0.227
values_50,269,136,65,219,210,1682,100.00,100.00,100.00,100.00,4.138,1.228,1.281,0.160
values_22,3170,2024,494,1787,1660,1385,100.00,100.00,100.00,100.00,6.417,1.774,1.910,2.289
values_4,943,577,153,540,510,2848,100.00,100.00,100.00,100.00,6.163,1.746,1.849,0.331
values_32,5891,3789,935,3401,3142,2594,100.00,100.00,100.00,100.00,6.301,1.732,1.875,2.271
values_77,3547,2271,555,2010,1866,1555,100.00,100.00,100.00,100.00,6.391,1.765,1.901,2.281
values_91,805,491,133,467,442,2207,100.00,100.00,100.00,100.00,6.053,1.724,1.821,0.365
values_42,73,34,18,48,48,52,100.00,100.00,66.67,100.00,4.056,1.521,1.521,1.404
values_13,2577,1653,406,1465,1364,1143,100.00,100.00,100.00,100.00,6.347,1.759,1.889,2.255
values_41,4101,2625,638,2313,2148,1791,100.00,100.00,100.00,100.00,6.428,1.773,1.909,2.290
values_55,1105,679,181,642,606,4012,100.00,100.00,100.00,100.00,6.105,1.721,1.823,0.275
values_31,3314,2120,516,1867,1736,1451,100.00,100.00,100.00,100.00,6.422,1.775,1.909,2.284
values_66,3239,2077,510,1846,1712,1424,100.00,100.00,100.00,100.00,6.351,1.755,1.892,2.275
values_65,4514,2892,709,2573,2386,1984,100.00,100.00,100.00,100.00,6.367,1.754,1.892,2.275
values_62,861,525,141,496,470,2552,100.00,100.00,100.00,100.00,6.106,1.736,1.832,0.337
values_21,3018,1926,466,1684,1568,1314,100.00,100.00,100.00,100.00,6.476,1.792,1.925,2.297
values_95,612,366,101,350,334,1404,100.00,100.00,100.00,100.00,6.059,1.749,1.832,0.436
values_84,519,311,88,303,288,982,100.00,100.00,100.00,100.00,5.898,1.713,1.802,0.529
values_58,1317,821,220,785,736,5156,100.00,100.00,100.00,100.00,5.986,1.678,1.789,0.255
values_64,4798,3074,752,2730,2532,2106,100.00,100.00,100.00,100.00,6.380,1.758,1.895,2.278
values_83,139,68,37,117,114,392,100.00,100.00,100.00,100.00,3.757,1.188,1.219,0.355
values_94,4688,3012,745,2705,2506,2080,100.00,100.00,100.00,100.00,6.293,1.733,1.871,2.254
values_0,5138,3292,804,2921,2704,2241,100.00,100.00,100.00,100.00,6.391,1.759,1.900,2.293
values_99,644,392,111,387,366,1477,100.00,100.00,100.00,100.00,5.802,1.664,1.760,0.436
values_96,75,34,21,59,58,68,100.00,100.00,100.00,100.00,3.571,1.271,1.293,1.103
values_67,2157,1377,338,1216,1136,958,100.00,100.00,100.00,100.00,6.382,1.774,1.899,2.252
values_61,527,315,88,303,288,982,100.00,100.00,100.00,100.00,5.989,1.739,1.830,0.537
values_43,1704,1072,282,1012,944,7424,100.00,100.00,100.00,100.00,6.043,1.684,1.805,0.230
values_2,3691,2369,581,2105,1954,1628,100.00,100.00,100.00,100.00,6.353,1.753,1.889,2.267
values_54,2581,1647,398,1435,1340,1129,100.00,100.00,100.00,100.00,6.485,1.799,1.926,2.286
values_30,47,21,13,30,34,26,100.00,100.00,66.67,100.00,3.615,1.567,1.382,1.808
values_59,5214,3342,815,2961,2742,2274,100.00,100.00,100.00,100.00,6.398,1.761,1.902,2.293
values_85,2697,1723,426,1538,1432,1200,100.00,100.00,100.00,100.00,6.331,1.754,1.883,2.248
values_74,139,69,38,121,116,281,100.00,100.00,100.00,100.00,3.658,1.149,1.198,0.495
values_90,4350,2794,690,2504,2320,1926,100.00,100.00,100.00,100.00,6.304,1.737,1.875,2.259
values_18,191,96,49,161,154,616,100.00,100.00,100.00,100.00,3.898,1.186,1.240,0.310
values_52,4764,3066,760,2761,2552,2109,100.00,100.00,100.00,100.00,6.268,1.725,1.867,2.259
values_44,138,70,41,132,126,314,100.00,100.00,83.33,100.00,3.366,1.045,1.095,0.439
values_17,3815,2445,598,2167,2012,1677,100.00,100.00,100.00,100.00,6.380,1.760,1.896,2.275
values_36,2018,1274,336,1209,1128,10768,100.00,100.00,100.00,100.00,6.006,1.669,1.789,0.187
values_49,3288,2104,506,1829,1708,1439,100.00,100.00,100.00,100.00,6.498,1.798,1.925,2.285
values_86,548,330,94,325,308,1074,100.00,100.00,100.00,100.00,5.830,1.686,1.779,0.510
values_37,3035,1941,472,1706,1588,1330,100.00,100.00,100.00,100.00,6.430,1.779,1.911,2.282
values_56,88,41,24,70,68,84,100.00,100.00,100.00,100.00,3.667,1.257,1.294,1.048
values_63,1448,902,239,854,802,6396,100.00,100.00,100.00,100.00,6.059,1.696,1.805,0.226
values_35,1611,1011,267,957,894,6949,100.00,100.00,100.00,100.00,6.034,1.683,1.802,0.232
values_97,2539,1621,394,1421,1324,1111,100.00,100.00,100.00,100.00,6.444,1.787,1.918,2.285
values_75,1053,649,173,613,578,3567,100.00,100.00,100.00,100.00,6.087,1.718,1.822,0.295
values_57,1552,972,255,913,854,6569,100.00,100.00,100.00,100.00,6.086,1.700,1.817,0.236
values_88,2023,1283,308,1106,1036,878,100.00,100.00,100.00,100.00,6.568,1.829,1.953,2.304
values_10,47,21,13,30,34,26,100.00,100.00,66.67,100.00,3.615,1.567,1.382,1.808
values_53,5461,3507,861,3130,2894,2393,100.00,100.00,100.00,100.00,6.343,1.745,1.887,2.282
values_8,2804,1794,438,1582,1472,1232,100.00,100.00,100.00,100.00,6.402,1.772,1.905,2.276
values_39,1994,1264,305,1095,1026,870,100.00,100.00,100.00,100.00,6.538,1.821,1.943,2.292
values_47,216,108,48,157,152,808,100.00,100.00,83.33,100.00,4.500,1.376,1.421,0.267
values_60,124,62,32,99,96,215,100.00,100.00,100.00,100.00,3.875,1.253,1.292,0.577
values_89,1747,1095,286,1026,960,8422,100.00,100.00,100.00,100.00,6.108,1.703,1.820,0.207
values_51,3486,2230,536,1939,1808,1519,100.00,100.00,100.00,100.00,6.504,1.798,1.928,2.295
values_14,4516,2896,708,2570,2380,1974,100.00,100.00,100.00,100.00,6.379,1.757,1.897,2.288
values_28,4864,3116,758,2752,2552,2122,100.00,100.00,100.00,100.00,6.417,1.767,1.906,2.292
values_16,556,336,97,336,318,1120,100.00,100.00,100.00,100.00,5.732,1.655,1.748,0.496
values_34,524,310,84,288,276,1000,100.00,100.00,83.33,100.00,6.238,1.819,1.899,0.524
values_82,2933,1877,458,1656,1536,1278,100.00,100.00,100.00,100.00,6.404,1.771,1.910,2.295
values_46,1546,964,256,916,860,7332,100.00,100.00,100.00,100.00,6.039,1.688,1.798,0.211
values_27,5155,3309,806,2928,2712,2250,100.00,100.00,100.00,100.00,6.396,1.761,1.901,2.291
values_20,47,21,13,30,34,26,100.00,100.00,66.67,100.00,3.615,1.567,1.382,1.808
values_9,86,41,21,59,58,68,100.00,100.00,83.33,100.00,4.095,1.458,1.483,1.265
values_92,3978,2550,624,2262,2100,1750,100.00,100.00,100.00,100.00,6.375,1.759,1.894,2.273
values_3,3655,2347,577,2091,1938,1610,100.00,100.00,100.00,100.00,6.334,1.748,1.886,2.270
values_98,5383,3459,852,3097,2864,2369,100.00,100.00,100.00,100.00,6.318,1.738,1.880,2.272
values_29,5346,3434,845,3071,2842,2354,100.00,100.00,100.00,100.00,6.327,1.741,1.881,2.271
values_80,1637,1025,269,964,902,7416,100.00,100.00,100.00,100.00,6.086,1.698,1.815,0.221
values_73,2832,1810,435,1570,1466,1235,100.00,100.00,100.00,100.00,6.510,1.804,1.932,2.293
