id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,86,55,35,110,106,248,100.00,100.00,100.00,100.00,2.457,0.782,0.811,0.347
values_19,38,23,16,41,47,37,100.00,100.00,83.33,100.00,2.375,0.927,0.809,1.027
values_12,396,303,90,310,296,1106,100.00,100.00,100.00,100.00,4.400,1.277,1.338,0.358
values_38,396,303,102,354,336,1318,100.00,100.00,100.00,100.00,3.882,1.119,1.179,0.300
values_81,626,483,175,620,586,3836,100.00,100.00,100.00,100.00,3.577,1.010,1.068,0.163
values_5,718,555,242,865,812,6498,100.00,100.00,100.00,100.00,2.967,0.830,0.884,0.110
values_40,718,555,239,854,802,6396,100.00,100.00,100.00,100.00,3.004,0.841,0.895,0.112
values_70,1313,1035,660,2394,2220,1846,100.00,100.00,100.00,100.00,1.989,0.548,0.591,0.711
values_23,329,254,91,314,298,1028,100.00,100.00,83.33,100.00,3.615,1.048,1.104,0.320
values_72,626,483,178,631,596,3924,100.00,100.00,100.00,100.00,3.517,0.992,1.050,0.160
values_79,718,555,278,997,932,7722,100.00,100.00,100.00,100.00,2.583,0.720,0.770,0.093
values_78,1459,1151,807,2932,2714,2249,100.00,100.00,100.00,100.00,1.808,0.498,0.538,0.649
values_87,810,627,396,1429,1328,13088,100.00,100.00,100.00,100.00,2.045,0.567,0.610,0.062
values_6,534,411,180,639,600,3514,100.00,100.00,100.00,100.00,2.967,0.836,0.890,0.152
values_68,1511,1192,968,3522,3252,2682,100.00,100.00,100.00,100.00,1.561,0.429,0.465,0.563
values_69,38,23,13,30,34,26,100.00,100.00,66.67,100.00,2.923,1.267,1.118,1.462
values_1,534,411,192,683,640,3810,100.00,100.00,100.00,100.00,2.781,0.782,0.834,0.140
values_45,1313,1035,759,2757,2550,2110,100.00,100.00,100.00,100.00,1.730,0.476,0.515,0.622
values_33,1364,1076,581,2104,1958,1639,100.00,100.00,100.00,100.00,2.348,0.648,0.697,0.832
values_15,1166,919,582,2109,1956,1627,100.00,100.00,100.00,100.00,2.003,0.553,0.596,0.717
values_93,110,71,43,139,134,504,100.00,100.00,83.33,100.00,2.558,0.791,0.821,0.218
values_24,110,71,40,128,124,448,100.00,100.00,83.33,100.00,2.750,0.859,0.887,0.246
