inputName,text,data,bss
values_11,420,15,0
values_19,400,14,0
values_12,280,32,0
values_38,280,24,0
values_81,420,15,0
values_5,280,31,0
values_40,192,9,0
values_70,212,5,0
values_23,344,11,0
values_72,344,11,0
values_79,280,32,0
values_78,492,18,0
values_87,368,12,0
values_6,444,16,0
values_68,400,14,0
values_69,280,32,0
values_1,308,6,0
values_45,468,17,0
values_33,212,5,0
values_15,280,20,0
values_93,388,13,0
values_24,280,20,0
values_25,176,8,0
values_26,212,5,0
values_48,344,11,0
values_71,280,25,0
values_76,176,8,0
values_7,280,22,0
values_50,280,27,0
values_22,280,23,0
values_4,280,27,0
values_32,420,15,0
values_77,492,18,0
values_91,280,25,0
values_42,280,27,0
values_13,280,24,0
values_41,280,29,0
values_55,64,2,0
values_31,308,10,0
values_66,388,13,0
values_65,280,31,0
values_62,280,21,0
values_21,280,26,0
values_95,280,32,0
values_84,308,10,0
values_58,280,29,0
values_64,388,13,0
values_83,388,13,0
values_94,280,24,0
values_0,428,7,0
values_99,280,23,0
values_96,492,18,0
values_67,280,25,0
values_61,80,3,0
values_43,308,6,0
values_2,444,16,0
values_54,140,4,0
values_30,280,23,0
values_59,176,8,0
values_85,280,19,0
values_74,444,16,0
values_90,280,22,0
values_18,280,27,0
values_52,308,10,0
values_44,280,24,0
values_17,280,32,0
values_36,280,29,0
values_49,280,29,0
values_86,344,11,0
values_37,468,17,0
values_56,468,17,0
values_63,192,9,0
values_35,192,9,0
values_97,280,22,0
values_75,280,21,0
values_57,492,18,0
values_88,344,11,0
values_10,280,30,0
values_53,280,30,0
values_8,280,32,0
values_39,444,16,0
values_47,280,19,0
values_60,344,11,0
values_89,280,28,0
values_51,280,28,0
values_14,280,30,0
values_28,444,16,0
values_16,280,19,0
values_34,212,5,0
values_82,280,19,0
values_46,280,25,0
values_27,280,28,0
values_20,280,30,0
values_9,280,29,0
values_92,280,30,0
values_3,280,25,0
values_98,280,25,0
values_29,280,30,0
values_80,280,24,0
values_73,280,19,0
