inputName,text,data,bss
values_11,204,0,184
values_19,196,0,689
values_12,204,0,62
values_38,228,0,31
values_81,196,0,974
values_5,196,0,374
values_40,196,0,799
values_70,216,0,1104
values_23,204,0,337
values_72,196,0,415
values_79,188,0,40
values_78,196,0,456
values_87,196,0,856
values_6,188,0,40
values_68,204,0,209
values_69,204,0,134
values_1,196,0,856
values_45,196,0,974
values_33,196,0,497
values_15,196,0,689
values_93,204,0,337
values_24,216,0,1104
values_25,216,0,1104
values_26,508,0,26
values_48,204,0,79
values_71,204,0,96
values_76,204,0,271
values_7,216,0,1104
values_50,196,0,799
values_22,196,0,742
values_4,196,0,456
values_32,196,0,640
values_77,208,0,113
values_91,204,0,79
values_42,196,0,689
values_13,192,0,49
values_41,196,0,913
values_55,188,0,40
values_31,192,0,49
values_66,204,0,337
values_65,196,0,974
values_62,508,0,26
values_21,196,0,742
values_95,204,0,238
values_84,196,0,913
values_58,204,0,238
values_64,196,0,542
values_83,196,0,974
values_94,204,0,96
values_0,196,0,640
values_99,204,0,159
values_96,192,0,49
values_67,204,0,79
values_61,228,0,31
values_43,204,0,62
values_2,204,0,96
values_54,204,0,304
values_30,204,0,159
values_59,196,0,497
values_85,204,0,337
values_74,216,0,1104
values_90,196,0,799
values_18,204,0,79
values_52,204,0,209
values_44,196,0,799
values_17,204,0,96
values_36,216,0,1104
values_49,196,0,591
values_86,204,0,159
values_37,196,0,640
values_56,196,0,689
values_63,196,0,799
values_35,196,0,374
values_97,196,0,374
values_75,196,0,742
values_57,196,0,742
values_88,204,0,337
values_10,196,0,640
values_53,192,0,49
values_8,196,0,742
values_39,196,0,913
values_47,196,0,415
values_60,196,0,856
values_89,204,0,62
values_51,192,0,49
values_14,204,0,209
values_28,196,0,542
values_16,196,0,913
values_34,196,0,374
values_82,216,0,1039
values_46,204,0,271
values_27,204,0,79
values_20,196,0,799
values_9,196,0,374
values_92,508,0,26
values_3,208,0,113
values_98,204,0,62
values_29,196,0,497
values_80,204,0,79
values_73,196,0,415
