inputName,n
11,9
19,8
12,20
38,23
81,26
5,11
40,26
70,18
23,11
72,17
79,24
78,26
87,22
6,25
68,7
69,11
1,29
45,22
33,25
15,28
93,21
24,12
25,17
26,18
48,6
71,24
76,11
7,23
50,17
22,9
4,11
32,16
77,2
91,10
42,28
13,26
41,20
55,16
31,4
66,14
65,15
62,29
21,27
95,7
84,20
58,25
64,23
83,31
94,25
0,9
99,9
96,16
67,32
61,20
43,32
2,15
54,20
30,16
59,26
85,25
74,18
90,19
18,6
52,24
44,17
17,19
36,10
49,12
86,16
37,30
56,4
63,2
35,4
97,30
75,3
57,8
88,26
10,29
53,27
8,16
39,19
47,6
60,32
89,5
51,29
14,2
28,3
16,29
34,10
82,11
46,25
27,12
20,5
9,18
92,27
3,13
98,28
29,21
80,32
73,20
