inputName,text,data,bss
values_11,1086,0,244
values_19,1086,0,844
values_12,1106,0,1396
values_38,1086,0,844
values_81,1086,0,1012
values_5,1086,0,436
values_40,1086,0,1196
values_70,1086,0,844
values_23,1106,0,1844
0,,,
0,,,
values_78,1274,0,172
values_87,1086,0,1196
0,,,
0,,,
0,,,
0,,,
values_45,1086,0,332
values_33,1106,0,1844
values_15,1106,0,1844
0,,,
values_24,1086,0,844
0,,,
0,,,
0,,,
values_71,1086,0,1012
values_76,1086,0,1012
0,,,
0,,,
values_22,1274,0,172
values_4,1086,0,692
values_32,1086,0,1196
values_77,1086,0,692
values_91,1086,0,1012
0,,,
0,,,
values_41,1086,0,436
values_55,1086,0,436
0,,,
0,,,
values_65,1086,0,692
values_62,1086,0,1012
values_21,1086,0,332
values_95,1274,0,172
0,,,
values_58,1086,0,436
0,,,
0,,,
values_94,1086,0,556
0,,,
0,,,
0,,,
values_67,1086,0,844
0,,,
values_43,1086,0,1012
0,,,
0,,,
values_30,1106,0,1844
values_59,1086,0,436
0,,,
0,,,
values_90,1086,0,844
0,,,
0,,,
0,,,
values_17,1086,0,844
0,,,
values_49,1976,0,116
0,,,
0,,,
0,,,
0,,,
values_35,1086,0,1012
values_97,1086,0,436
0,,,
values_57,1086,0,436
0,,,
0,,,
values_53,1976,0,116
values_8,1086,0,1196
values_39,1086,0,436
0,,,
0,,,
0,,,
values_51,1106,0,1396
0,,,
0,,,
values_16,1086,0,556
0,,,
values_82,1086,0,332
values_46,1086,0,844
0,,,
values_20,1086,0,692
values_9,1086,0,332
0,,,
0,,,
values_98,1086,0,436
0,,,
0,,,
values_73,1086,0,436
