id,clockCycles,assemblyInstr,cacheHit,cacheHitInstr,cacheHitData,MOPS,MIPS,MFLOPS,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,4162,1423,85.0,86.3,58.7,17.10,17.10,0.00,55,149,128,135,100.00,35.29,23.53,66.67,75.673,27.933,32.516,30.830
values_19,4819,1858,88.5,89.6,70.3,19.28,19.28,0.00,145,428,362,319,100.00,35.29,23.53,66.67,33.234,11.259,13.312,15.107
values_12,5876,2524,91.4,92.2,76.8,21.48,21.48,0.00,255,769,648,572,100.00,35.29,23.53,66.67,23.043,7.641,9.068,10.273
values_38,5462,2258,90.4,91.3,74.8,20.67,20.67,0.00,215,645,544,480,100.00,35.29,23.53,66.67,25.405,8.468,10.040,11.379
values_81,4819,1858,88.5,89.6,70.3,19.28,19.28,0.00,145,428,362,319,100.00,35.29,23.53,66.67,33.234,11.259,13.312,15.107
values_5,6724,3039,92.7,93.5,79.2,22.60,22.60,0.00,325,986,830,733,100.00,35.29,23.53,66.67,20.689,6.819,8.101,9.173
values_40,4162,1423,85.0,86.3,58.7,17.10,17.10,0.00,55,149,128,135,100.00,35.29,23.53,66.67,75.673,27.933,32.516,30.830
values_70,5149,2059,89.6,90.6,73.2,19.99,19.99,0.00,185,552,466,411,100.00,35.29,23.53,66.67,27.832,9.328,11.049,12.528
values_23,4322,1527,86.0,87.2,63.2,17.67,17.67,0.00,85,242,206,264,100.00,35.29,23.53,66.67,50.847,17.860,20.981,16.371
values_72,5876,2524,91.4,92.2,76.8,21.48,21.48,0.00,255,769,648,572,100.00,35.29,23.53,66.67,23.043,7.641,9.068,10.273
values_79,6344,2832,92.3,93.2,78.4,22.32,22.32,0.00,295,893,752,664,100.00,35.29,23.53,66.67,21.505,7.104,8.436,9.554
values_78,6030,2633,91.7,92.5,77.4,21.83,21.83,0.00,265,800,674,595,100.00,35.29,23.53,66.67,22.755,7.537,8.947,10.134
values_87,5778,2477,91.3,92.2,76.2,21.43,21.43,0.00,245,738,622,549,100.00,35.29,23.53,66.67,23.584,7.829,9.289,10.525
values_6,5720,2435,91.1,92.0,76.2,21.28,21.28,0.00,235,707,596,526,100.00,35.29,23.53,66.67,24.340,8.091,9.597,10.875
values_68,6724,3039,92.7,93.5,79.2,22.60,22.60,0.00,325,986,830,733,100.00,35.29,23.53,66.67,20.689,6.819,8.101,9.173
values_69,6344,2832,92.3,93.2,78.4,22.32,22.32,0.00,295,893,752,664,100.00,35.29,23.53,66.67,21.505,7.104,8.436,9.554
values_1,6251,2782,92.2,93.0,77.8,22.25,22.25,0.00,285,862,726,641,100.00,35.29,23.53,66.67,21.933,7.252,8.610,9.752
values_45,4400,1557,86.2,87.4,64.8,17.69,17.69,0.00,95,273,232,315,100.00,35.29,23.53,66.67,46.316,16.117,18.966,13.968
values_33,5876,2524,91.4,92.2,76.8,21.48,21.48,0.00,255,769,648,572,100.00,35.29,23.53,66.67,23.043,7.641,9.068,10.273
values_15,6344,2832,92.3,93.2,78.4,22.32,22.32,0.00,295,893,752,664,100.00,35.29,23.53,66.67,21.505,7.104,8.436,9.554
values_93,4400,1557,86.2,87.4,64.8,17.69,17.69,0.00,95,273,232,315,100.00,35.29,23.53,66.67,46.316,16.117,18.966,13.968
values_24,4400,1557,86.2,87.4,64.8,17.69,17.69,0.00,95,273,232,315,100.00,35.29,23.53,66.67,46.316,16.117,18.966,13.968
values_25,6491,2938,92.6,93.4,78.9,22.63,22.63,0.00,305,924,778,687,100.00,35.29,23.53,66.67,21.282,7.025,8.343,9.448
values_26,6790,3090,92.9,93.7,79.7,22.75,22.75,0.00,335,1017,856,756,100.00,35.29,23.53,66.67,20.269,6.676,7.932,8.981
values_48,6344,2832,92.3,93.2,78.4,22.32,22.32,0.00,295,893,752,664,100.00,35.29,23.53,66.67,21.505,7.104,8.436,9.554
values_71,5778,2477,91.3,92.2,76.2,21.43,21.43,0.00,245,738,622,549,100.00,35.29,23.53,66.67,23.584,7.829,9.289,10.525
values_76,5149,2059,89.6,90.6,73.2,19.99,19.99,0.00,185,552,466,411,100.00,35.29,23.53,66.67,27.832,9.328,11.049,12.528
values_7,6612,2993,92.7,93.4,79.3,22.63,22.63,0.00,315,955,804,710,100.00,35.29,23.53,66.67,20.990,6.924,8.224,9.313
values_50,4162,1423,85.0,86.3,58.7,17.10,17.10,0.00,55,149,128,135,100.00,35.29,23.53,66.67,75.673,27.933,32.516,30.830
values_22,4752,1796,88.0,89.1,69.2,18.90,18.90,0.00,135,397,336,296,100.00,35.29,23.53,66.67,35.200,11.970,14.143,16.054
values_4,4667,1758,87.9,89.0,68.0,18.83,18.83,0.00,125,366,310,273,100.00,35.29,23.53,66.67,37.336,12.751,15.055,17.095
values_32,4322,1527,86.0,87.2,63.2,17.67,17.67,0.00,85,242,206,264,100.00,35.29,23.53,66.67,50.847,17.860,20.981,16.371
values_77,4517,1647,87.0,88.1,66.3,18.23,18.23,0.00,105,304,258,227,100.00,35.29,23.53,66.67,43.019,14.859,17.508,19.899
values_91,4819,1858,88.5,89.6,70.3,19.28,19.28,0.00,145,428,362,319,100.00,35.29,23.53,66.67,33.234,11.259,13.312,15.107
values_42,4517,1647,87.0,88.1,66.3,18.23,18.23,0.00,105,304,258,227,100.00,35.29,23.53,66.67,43.019,14.859,17.508,19.899
values_13,4590,1698,87.3,88.4,67.7,18.50,18.50,0.00,115,335,284,250,100.00,35.29,23.53,66.67,39.913,13.701,16.162,18.360
values_41,5720,2435,91.1,92.0,76.2,21.28,21.28,0.00,235,707,596,526,100.00,35.29,23.53,66.67,24.340,8.091,9.597,10.875
values_55,4905,1901,88.6,89.6,71.3,19.38,19.38,0.00,155,459,388,342,100.00,35.29,23.53,66.67,31.645,10.686,12.642,14.342
values_31,4109,1396,84.7,86.1,56.3,16.99,16.99,0.00,45,118,102,100,100.00,35.29,23.53,66.67,91.311,34.822,40.284,41.090
values_66,4282,1502,85.9,87.1,62.7,17.54,17.54,0.00,75,211,180,217,100.00,35.29,23.53,66.67,57.093,20.294,23.789,19.733
values_65,6030,2633,91.7,92.5,77.4,21.83,21.83,0.00,265,800,674,595,100.00,35.29,23.53,66.67,22.755,7.537,8.947,10.134
values_62,5720,2435,91.1,92.0,76.2,21.28,21.28,0.00,235,707,596,526,100.00,35.29,23.53,66.67,24.340,8.091,9.597,10.875
values_21,6612,2993,92.7,93.4,79.3,22.63,22.63,0.00,315,955,804,710,100.00,35.29,23.53,66.67,20.990,6.924,8.224,9.313
values_95,4517,1647,87.0,88.1,66.3,18.23,18.23,0.00,105,304,258,227,100.00,35.29,23.53,66.67,43.019,14.859,17.508,19.899
values_84,5371,2214,90.3,91.2,74.1,20.61,20.61,0.00,205,614,518,457,100.00,35.29,23.53,66.67,26.200,8.748,10.369,11.753
values_58,5778,2477,91.3,92.2,76.2,21.43,21.43,0.00,245,738,622,549,100.00,35.29,23.53,66.67,23.584,7.829,9.289,10.525
values_64,6030,2633,91.7,92.5,77.4,21.83,21.83,0.00,265,800,674,595,100.00,35.29,23.53,66.67,22.755,7.537,8.947,10.134
values_83,4162,1423,85.0,86.3,58.7,17.10,17.10,0.00,55,149,128,135,100.00,35.29,23.53,66.67,75.673,27.933,32.516,30.830
values_94,4996,1935,88.7,89.7,71.4,19.37,19.37,0.00,165,490,414,365,100.00,35.29,23.53,66.67,30.279,10.196,12.068,13.688
values_0,5371,2214,90.3,91.2,74.1,20.61,20.61,0.00,205,614,518,457,100.00,35.29,23.53,66.67,26.200,8.748,10.369,11.753
values_99,4224,1458,85.3,86.6,60.8,17.26,17.26,0.00,65,180,154,174,100.00,35.29,23.53,66.67,64.985,23.467,27.429,24.276
values_96,4109,1396,84.7,86.1,56.3,16.99,16.99,0.00,45,118,102,100,100.00,35.29,23.53,66.67,91.311,34.822,40.284,41.090
values_67,4517,1647,87.0,88.1,66.3,18.23,18.23,0.00,105,304,258,227,100.00,35.29,23.53,66.67,43.019,14.859,17.508,19.899
values_61,5778,2477,91.3,92.2,76.2,21.43,21.43,0.00,245,738,622,549,100.00,35.29,23.53,66.67,23.584,7.829,9.289,10.525
values_43,4996,1935,88.7,89.7,71.4,19.37,19.37,0.00,165,490,414,365,100.00,35.29,23.53,66.67,30.279,10.196,12.068,13.688
values_2,4224,1458,85.3,86.6,60.8,17.26,17.26,0.00,65,180,154,174,100.00,35.29,23.53,66.67,64.985,23.467,27.429,24.276
values_54,6030,2633,91.7,92.5,77.4,21.83,21.83,0.00,265,800,674,595,100.00,35.29,23.53,66.67,22.755,7.537,8.947,10.134
values_30,5149,2059,89.6,90.6,73.2,19.99,19.99,0.00,185,552,466,411,100.00,35.29,23.53,66.67,27.832,9.328,11.049,12.528
values_59,5579,2342,90.7,91.6,75.5,20.99,20.99,0.00,225,676,570,503,100.00,35.29,23.53,66.67,24.796,8.253,9.788,11.091
values_85,5579,2342,90.7,91.6,75.5,20.99,20.99,0.00,225,676,570,503,100.00,35.29,23.53,66.67,24.796,8.253,9.788,11.091
values_74,5149,2059,89.6,90.6,73.2,19.99,19.99,0.00,185,552,466,411,100.00,35.29,23.53,66.67,27.832,9.328,11.049,12.528
values_90,5371,2214,90.3,91.2,74.1,20.61,20.61,0.00,205,614,518,457,100.00,35.29,23.53,66.67,26.200,8.748,10.369,11.753
values_18,5034,1974,89.1,90.1,72.4,19.61,19.61,0.00,175,521,440,388,100.00,35.29,23.53,66.67,28.766,9.662,11.441,12.974
values_52,5720,2435,91.1,92.0,76.2,21.28,21.28,0.00,235,707,596,526,100.00,35.29,23.53,66.67,24.340,8.091,9.597,10.875
values_44,4819,1858,88.5,89.6,70.3,19.28,19.28,0.00,145,428,362,319,100.00,35.29,23.53,66.67,33.234,11.259,13.312,15.107
values_17,5034,1974,89.1,90.1,72.4,19.61,19.61,0.00,175,521,440,388,100.00,35.29,23.53,66.67,28.766,9.662,11.441,12.974
values_36,4996,1935,88.7,89.7,71.4,19.37,19.37,0.00,165,490,414,365,100.00,35.29,23.53,66.67,30.279,10.196,12.068,13.688
values_49,6251,2782,92.2,93.0,77.8,22.25,22.25,0.00,285,862,726,641,100.00,35.29,23.53,66.67,21.933,7.252,8.610,9.752
values_86,4400,1557,86.2,87.4,64.8,17.69,17.69,0.00,95,273,232,315,100.00,35.29,23.53,66.67,46.316,16.117,18.966,13.968
values_37,4517,1647,87.0,88.1,66.3,18.23,18.23,0.00,105,304,258,227,100.00,35.29,23.53,66.67,43.019,14.859,17.508,19.899
values_56,6724,3039,92.7,93.5,79.2,22.60,22.60,0.00,325,986,830,733,100.00,35.29,23.53,66.67,20.689,6.819,8.101,9.173
values_63,4162,1423,85.0,86.3,58.7,17.10,17.10,0.00,55,149,128,135,100.00,35.29,23.53,66.67,75.673,27.933,32.516,30.830
values_35,5371,2214,90.3,91.2,74.1,20.61,20.61,0.00,205,614,518,457,100.00,35.29,23.53,66.67,26.200,8.748,10.369,11.753
values_97,5280,2132,89.9,90.8,74.0,20.19,20.19,0.00,195,583,492,434,100.00,35.29,23.53,66.67,27.077,9.057,10.732,12.166
values_75,6612,2993,92.7,93.4,79.3,22.63,22.63,0.00,315,955,804,710,100.00,35.29,23.53,66.67,20.990,6.924,8.224,9.313
values_57,5778,2477,91.3,92.2,76.2,21.43,21.43,0.00,245,738,622,549,100.00,35.29,23.53,66.67,23.584,7.829,9.289,10.525
values_88,6251,2782,92.2,93.0,77.8,22.25,22.25,0.00,285,862,726,641,100.00,35.29,23.53,66.67,21.933,7.252,8.610,9.752
values_10,5280,2132,89.9,90.8,74.0,20.19,20.19,0.00,195,583,492,434,100.00,35.29,23.53,66.67,27.077,9.057,10.732,12.166
values_53,4905,1901,88.6,89.6,71.3,19.38,19.38,0.00,155,459,388,342,100.00,35.29,23.53,66.67,31.645,10.686,12.642,14.342
values_8,6724,3039,92.7,93.5,79.2,22.60,22.60,0.00,325,986,830,733,100.00,35.29,23.53,66.67,20.689,6.819,8.101,9.173
values_39,5462,2258,90.4,91.3,74.8,20.67,20.67,0.00,215,645,544,480,100.00,35.29,23.53,66.67,25.405,8.468,10.040,11.379
values_47,4094,1363,84.1,85.4,55.2,16.65,16.65,0.00,35,87,76,69,100.00,35.29,23.53,66.67,116.971,47.057,53.868,59.333
values_60,6344,2832,92.3,93.2,78.4,22.32,22.32,0.00,295,893,752,664,100.00,35.29,23.53,66.67,21.505,7.104,8.436,9.554
values_89,6790,3090,92.9,93.7,79.7,22.75,22.75,0.00,335,1017,856,756,100.00,35.29,23.53,66.67,20.269,6.676,7.932,8.981
values_51,6344,2832,92.3,93.2,78.4,22.32,22.32,0.00,295,893,752,664,100.00,35.29,23.53,66.67,21.505,7.104,8.436,9.554
values_14,5034,1974,89.1,90.1,72.4,19.61,19.61,0.00,175,521,440,388,100.00,35.29,23.53,66.67,28.766,9.662,11.441,12.974
values_28,5280,2132,89.9,90.8,74.0,20.19,20.19,0.00,195,583,492,434,100.00,35.29,23.53,66.67,27.077,9.057,10.732,12.166
values_16,4400,1557,86.2,87.4,64.8,17.69,17.69,0.00,95,273,232,315,100.00,35.29,23.53,66.67,46.316,16.117,18.966,13.968
values_34,4905,1901,88.6,89.6,71.3,19.38,19.38,0.00,155,459,388,342,100.00,35.29,23.53,66.67,31.645,10.686,12.642,14.342
values_82,5462,2258,90.4,91.3,74.8,20.67,20.67,0.00,215,645,544,480,100.00,35.29,23.53,66.67,25.405,8.468,10.040,11.379
values_46,5034,1974,89.1,90.1,72.4,19.61,19.61,0.00,175,521,440,388,100.00,35.29,23.53,66.67,28.766,9.662,11.441,12.974
values_27,5462,2258,90.4,91.3,74.8,20.67,20.67,0.00,215,645,544,480,100.00,35.29,23.53,66.67,25.405,8.468,10.040,11.379
values_20,6491,2938,92.6,93.4,78.9,22.63,22.63,0.00,305,924,778,687,100.00,35.29,23.53,66.67,21.282,7.025,8.343,9.448
values_9,4667,1758,87.9,89.0,68.0,18.83,18.83,0.00,125,366,310,273,100.00,35.29,23.53,66.67,37.336,12.751,15.055,17.095
values_92,5034,1974,89.1,90.1,72.4,19.61,19.61,0.00,175,521,440,388,100.00,35.29,23.53,66.67,28.766,9.662,11.441,12.974
values_3,5462,2258,90.4,91.3,74.8,20.67,20.67,0.00,215,645,544,480,100.00,35.29,23.53,66.67,25.405,8.468,10.040,11.379
values_98,4517,1647,87.0,88.1,66.3,18.23,18.23,0.00,105,304,258,227,100.00,35.29,23.53,66.67,43.019,14.859,17.508,19.899
values_29,4667,1758,87.9,89.0,68.0,18.83,18.83,0.00,125,366,310,273,100.00,35.29,23.53,66.67,37.336,12.751,15.055,17.095
values_80,4109,1396,84.7,86.1,56.3,16.99,16.99,0.00,45,118,102,100,100.00,35.29,23.53,66.67,91.311,34.822,40.284,41.090
values_73,5876,2524,91.4,92.2,76.8,21.48,21.48,0.00,255,769,648,572,100.00,35.29,23.53,66.67,23.043,7.641,9.068,10.273
