inputName,text,data,bss
values_11,15104,144,416
values_19,12832,144,584
values_12,12592,144,1008
values_38,12592,144,832
values_81,12832,144,584
values_5,12624,144,1408
values_40,15104,144,416
values_70,12896,144,720
values_23,12464,144,448
values_72,12592,144,1008
values_79,12624,144,1232
values_78,12624,144,1072
values_87,12592,144,960
values_6,12592,144,920
values_68,12624,144,1408
values_69,12624,144,1232
values_1,12624,144,1176
values_45,12736,144,464
values_33,12592,144,1008
values_15,12624,144,1232
values_93,12736,144,464
values_24,12736,144,464
values_25,12624,144,1288
values_26,12624,144,1472
values_48,12624,144,1232
values_71,12592,144,960
values_76,12896,144,720
values_7,12624,144,1352
values_50,15104,144,416
values_22,12816,144,560
values_4,12784,144,536
values_32,12464,144,448
values_77,12736,144,496
values_91,12832,144,584
values_42,12736,144,496
values_13,12784,144,512
values_41,12592,144,920
values_55,12848,144,616
values_31,13824,144,408
values_66,15552,144,440
values_65,12624,144,1072
values_62,12592,144,920
values_21,12624,144,1352
values_95,12736,144,496
values_84,12592,144,792
values_58,12592,144,960
values_64,12624,144,1072
values_83,15104,144,416
values_94,12864,144,640
values_0,12592,144,792
values_99,15776,144,424
values_96,13824,144,408
values_67,12736,144,496
values_61,12592,144,960
values_43,12864,144,640
values_2,15776,144,424
values_54,12624,144,1072
values_30,12896,144,720
values_59,12592,144,872
values_85,12592,144,872
values_74,12896,144,720
values_90,12592,144,792
values_18,12880,144,672
values_52,12592,144,920
values_44,12832,144,584
values_17,12880,144,672
values_36,12864,144,640
values_49,12624,144,1176
values_86,12736,144,464
values_37,12736,144,496
values_56,12624,144,1408
values_63,15104,144,416
values_35,12592,144,792
values_97,12592,144,752
values_75,12624,144,1352
values_57,12592,144,960
values_88,12624,144,1176
values_10,12592,144,752
values_53,12848,144,616
values_8,12624,144,1408
values_39,12592,144,832
values_47,12944,144,400
values_60,12624,144,1232
values_89,12624,144,1472
values_51,12624,144,1232
values_14,12880,144,672
values_28,12592,144,752
values_16,12736,144,464
values_34,12848,144,616
values_82,12592,144,832
values_46,12880,144,672
values_27,12592,144,832
values_20,12624,144,1288
values_9,12784,144,536
values_92,12880,144,672
values_3,12592,144,832
values_98,12736,144,496
values_29,12784,144,536
values_80,13824,144,408
values_73,12592,144,1008
