inputName,size
11,6
19,3
12,3
38,10
81,3
5,10
40,11
70,2
23,3
72,5
79,10
78,6
87,2
6,3
68,4
69,6
1,2
45,6
33,11
15,8
93,4
24,5
25,7
26,9
48,6
71,5
76,11
7,5
50,10
22,12
4,5
32,12
77,6
91,8
42,4
13,12
41,8
55,9
31,7
66,11
65,11
62,9
21,9
95,3
84,9
58,4
64,10
83,12
94,5
0,10
99,9
96,7
67,7
61,2
43,8
2,4
54,11
30,7
59,7
85,4
74,6
90,6
18,8
52,10
44,11
17,5
36,6
49,11
86,2
37,5
56,9
63,7
35,3
97,2
75,8
57,5
88,8
10,10
53,11
8,5
39,10
47,11
60,5
89,7
51,11
14,6
28,4
16,9
34,2
82,9
46,9
27,5
20,5
9,4
92,8
3,10
98,2
29,12
80,8
73,3
