inputName,text,data,bss
values_11,344,128,68
values_19,322,968,488
values_12,322,722,365
values_38,322,242,125
values_81,322,882,445
values_5,372,200,104
values_40,318,8,8
values_70,360,288,148
values_23,360,98,53
values_72,348,72,40
values_79,360,162,85
values_78,372,648,328
values_87,322,578,293
values_6,318,8,8
values_68,322,450,229
values_69,372,1152,580
values_1,336,18,13
values_45,322,338,173
values_33,322,722,365
values_15,322,338,173
values_93,322,968,488
values_24,326,512,260
values_25,344,128,68
values_26,322,578,293
values_48,372,392,200
values_71,360,288,148
values_76,322,722,365
values_7,322,242,125
values_50,336,18,13
values_22,372,392,200
values_4,322,338,173
values_32,360,288,148
values_77,372,648,328
values_91,372,200,104
values_42,322,242,125
values_13,322,968,488
values_41,322,1250,629
values_55,322,968,488
values_31,322,968,488
values_66,372,200,104
values_65,322,800,404
values_62,360,162,85
values_21,322,800,404
values_95,372,200,104
values_84,322,882,445
values_58,360,98,53
values_64,360,162,85
values_83,372,392,200
values_94,322,338,173
values_0,322,968,488
values_99,348,72,40
values_96,322,338,173
values_67,322,242,125
values_61,322,882,445
values_43,322,1058,533
values_2,318,8,8
values_54,326,512,260
values_30,372,1152,580
values_59,322,722,365
values_85,322,450,229
values_74,348,50,29
values_90,322,722,365
values_18,372,648,328
values_52,322,338,173
values_44,372,200,104
values_17,322,800,404
values_36,322,1058,533
values_49,322,1058,533
values_86,360,162,85
values_37,322,882,445
values_56,360,98,53
values_63,330,32,20
values_35,318,8,8
values_97,322,450,229
values_75,326,512,260
values_57,322,578,293
values_88,344,128,68
values_10,372,392,200
values_53,322,578,293
values_8,322,722,365
values_39,322,242,125
values_47,322,1250,629
values_60,360,162,85
values_89,330,32,20
values_51,318,8,8
values_14,348,50,29
values_28,360,98,53
values_16,348,50,29
values_34,372,1152,580
values_82,322,242,125
values_46,336,18,13
values_27,322,968,488
values_20,360,162,85
values_9,326,512,260
values_92,322,338,173
values_3,372,392,200
values_98,322,1250,629
values_29,318,8,8
values_80,360,288,148
values_73,322,450,229
