id,clockCycles,assemblyInstr,Cache,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,1305,1305,"['961562', '8845035', '126763', '1107144', '65085', '552273', '568402', '50.033', '12572810', '0', '3876494', '0', '161037', '0', '0', '4.154']",341,4593,3546,20328,100.00,100.00,100.00,100.00,3.827,0.284,0.368,0.064
values_19,1305,1305,"['961562', '8845035', '126763', '1107144', '65085', '552273', '568402', '50.033', '12572810', '0', '3876494', '0', '161037', '0', '0', '4.154']",341,4593,3546,20328,100.00,100.00,100.00,100.00,3.827,0.284,0.368,0.064
values_12,17665,17665,"['989220', '8854751', '133988', '1110237', '70382', '553124', '569335', '50.112', '12664916', '0', '3902854', '0', '164957', '0', '0', '4.227']",8998,133645,103371,398696,100.00,100.00,100.00,100.00,1.963,0.132,0.171,0.044
values_38,226651,226651,"['1018086', '8853717', '176469', '1108951', '97217', '553512', '569616', '50.624', '13334654', '0', '4106841', '0', '161244', '0', '0', '3.926']",51365,777561,601674,323967,100.00,100.00,100.00,100.00,4.413,0.291,0.377,0.700
values_81,146203,146203,"['999902', '8853717', '158859', '1108769', '85649', '553303', '569400', '50.405', '13067480', '0', '4026392', '0', '161172', '0', '0', '4.003']",33181,500413,387186,208283,100.00,100.00,100.00,100.00,4.406,0.292,0.378,0.702
values_5,303404,303404,"['1031844', '8853720', '192852', '1111075', '107553', '553667', '569776', '50.710', '13673176', '0', '4188594', '0', '161191', '0', '0', '3.848']",68678,1041933,806283,434376,100.00,100.00,100.00,100.00,4.418,0.291,0.376,0.698
values_40,183480,183480,"['1008330', '8853717', '167014', '1108853', '91126', '553502', '569649', '50.525', '13191254', '0', '4063669', '0', '161236', '0', '0', '3.968']",41613,628843,486578,261881,100.00,100.00,100.00,100.00,4.409,0.292,0.377,0.701
values_70,1609,1609,"['962688', '8844902', '126923', '1107130', '65193', '552267', '568395', '50.035', '12573880', '0', '3876798', '0', '161116', '0', '0', '4.156']",558,7705,5951,49784,100.00,100.00,100.00,100.00,2.884,0.209,0.270,0.032
values_23,2633,2633,"['972948', '8853014', '128258', '1108178', '65474', '552687', '568790', '49.995', '12592002', '0', '3882822', '0', '161491', '0', '0', '4.159']",1238,17613,13611,205992,100.00,100.00,100.00,100.00,2.127,0.149,0.193,0.013
values_72,100369,100369,"['989516', '8853720', '148851', '1108646', '79050', '553169', '569270', '50.276', '12915350', '0', '3980558', '0', '161166', '0', '0', '4.049']",22798,342553,265023,142436,100.00,100.00,100.00,100.00,4.403,0.293,0.379,0.705
values_79,14506,14506,"['982628', '8854456', '132506', '1110201', '69011', '552971', '569083', '50.051', '12652930', '0', '3899695', '0', '164463', '0', '0', '4.217']",7461,110503,85466,308348,100.00,100.00,100.00,100.00,1.944,0.131,0.170,0.047
values_78,969,969,"['959794', '8845059', '126514', '1108890', '65033', '552269', '568414', '49.968', '12588638', '0', '3881159', '0', '160972', '0', '0', '4.148']",93,1123,866,3702,100.00,100.00,100.00,100.00,10.419,0.863,1.119,0.262
values_87,75904,75904,"['984092', '8853721', '143539', '1108563', '75444', '553080', '569182', '50.198', '12834136', '0', '3956093', '0', '161214', '0', '0', '4.075']",17246,258333,199851,107328,100.00,100.00,100.00,100.00,4.401,0.294,0.380,0.707
values_6,2046,2046,"['956814', '8853221', '126215', '1109365', '65294', '552698', '568802', '50.016', '12594544', '0', '3882235', '0', '161334', '0', '0', '4.156']",853,11983,9258,106464,100.00,100.00,100.00,100.00,2.399,0.171,0.221,0.019
values_68,14506,14506,"['982628', '8854456', '132506', '1110201', '69011', '552971', '569083', '50.051', '12652930', '0', '3899695', '0', '164463', '0', '0', '4.217']",7461,110503,85466,308348,100.00,100.00,100.00,100.00,1.944,0.131,0.170,0.047
values_69,969,969,"['959794', '8845059', '126514', '1108890', '65033', '552269', '568414', '49.968', '12588638', '0', '3881159', '0', '160972', '0', '0', '4.148']",93,1123,866,3702,100.00,100.00,100.00,100.00,10.419,0.863,1.119,0.262
values_1,9401,9401,"['972426', '8853972', '130151', '1110137', '67143', '552908', '569088', '49.993', '12634054', '0', '3894590', '0', '163071', '0', '0', '4.187']",4933,72553,56106,174494,100.00,100.00,100.00,100.00,1.906,0.130,0.168,0.054
values_45,2046,2046,"['956814', '8853221', '126215', '1109365', '65294', '552698', '568802', '50.016', '12594544', '0', '3882235', '0', '161334', '0', '0', '4.156']",853,11983,9258,106464,100.00,100.00,100.00,100.00,2.399,0.171,0.221,0.019
values_33,65348,65348,"['981714', '8853714', '141245', '1108528', '74064', '553047', '569148', '50.178', '12799120', '0', '3945537', '0', '161191', '0', '0', '4.085']",14845,221971,171714,92177,100.00,100.00,100.00,100.00,4.402,0.294,0.381,0.709
values_15,183480,183480,"['1008330', '8853717', '167014', '1108853', '91126', '553502', '569649', '50.525', '13191254', '0', '4063669', '0', '161236', '0', '0', '3.968']",41613,628843,486578,261881,100.00,100.00,100.00,100.00,4.409,0.292,0.377,0.701
values_93,4625,4625,"['967064', '8853640', '128373', '1110113', '65660', '552886', '569033', '49.944', '12617150', '0', '3889814', '0', '161931', '0', '0', '4.163']",2326,33673,26031,61568,100.00,100.00,100.00,100.00,1.988,0.137,0.178,0.075
values_24,3639,3639,"['966382', '8853651', '128034', '1110103', '65483', '552864', '569013', '49.942', '12613614', '0', '3888828', '0', '161743', '0', '0', '4.159']",1725,24781,19154,40562,100.00,100.00,100.00,100.00,2.110,0.147,0.190,0.090
values_25,87558,87558,"['986758', '8853714', '146079', '1108598', '77354', '553212', '569372', '50.257', '12872786', '0', '3967747', '0', '161214', '0', '0', '4.063']",19893,298465,230906,124055,100.00,100.00,100.00,100.00,4.401,0.293,0.379,0.706
values_26,65348,65348,"['981714', '8853714', '141245', '1108528', '74064', '553047', '569148', '50.178', '12799120', '0', '3945537', '0', '161191', '0', '0', '4.085']",14845,221971,171714,92177,100.00,100.00,100.00,100.00,4.402,0.294,0.381,0.709
values_48,890,890,"['957072', '8845208', '126165', '1109088', '65078', '552205', '568379', '49.972', '12589242', '0', '3881080', '0', '160950', '0', '0', '4.147']",38,393,303,458,100.00,100.00,100.00,100.00,23.421,2.265,2.937,1.943
values_71,1305,1305,"['961562', '8845035', '126763', '1107144', '65085', '552273', '568402', '50.033', '12572810', '0', '3876494', '0', '161037', '0', '0', '4.154']",341,4593,3546,20328,100.00,100.00,100.00,100.00,3.827,0.284,0.368,0.064
values_76,250572,250572,"['1023476', '8853720', '181712', '1108996', '100657', '553575', '569668', '50.688', '13414118', '0', '4130762', '0', '161185', '0', '0', '3.902']",56766,859993,665471,358388,100.00,100.00,100.00,100.00,4.414,0.291,0.377,0.699
values_7,1305,1305,"['961562', '8845035', '126763', '1107144', '65085', '552273', '568402', '50.033', '12572810', '0', '3876494', '0', '161037', '0', '0', '4.154']",341,4593,3546,20328,100.00,100.00,100.00,100.00,3.827,0.284,0.368,0.064
values_50,14506,14506,"['982628', '8854456', '132506', '1110201', '69011', '552971', '569083', '50.051', '12652930', '0', '3899695', '0', '164463', '0', '0', '4.217']",7461,110503,85466,308348,100.00,100.00,100.00,100.00,1.944,0.131,0.170,0.047
values_22,87558,87558,"['986758', '8853714', '146079', '1108598', '77354', '553212', '569372', '50.257', '12872786', '0', '3967747', '0', '161214', '0', '0', '4.063']",19893,298465,230906,124055,100.00,100.00,100.00,100.00,4.401,0.293,0.379,0.706
values_4,183480,183480,"['1008330', '8853717', '167014', '1108853', '91126', '553502', '569649', '50.525', '13191254', '0', '4063669', '0', '161236', '0', '0', '3.968']",41613,628843,486578,261881,100.00,100.00,100.00,100.00,4.409,0.292,0.377,0.701
