inputName,text,data,bss
values_11,308,648,328
values_19,480,392,200
values_12,368,21,13
values_38,308,800,404
values_81,308,1568,788
values_5,308,1800,904
values_40,1320,128,68
values_70,416,245,125
values_23,320,1253,629
values_72,308,1568,788
values_79,504,453,229
values_78,804,32,20
values_87,320,885,445
values_6,316,1061,533
values_68,1076,101,53
values_69,480,392,200
values_1,324,1352,680
values_45,288,2048,1028
values_33,324,968,488
values_15,504,453,229
values_93,368,21,13
values_24,324,1352,680
values_25,460,341,173
values_26,316,1061,533
values_48,324,1352,680
values_71,536,512,260
values_76,324,1352,680
values_7,320,1461,733
values_50,300,1925,965
values_22,288,2048,1028
values_4,572,581,293
values_32,1076,101,53
values_77,324,1352,680
values_91,388,200,104
values_42,416,245,125
values_13,316,1685,845
values_41,360,165,85
values_55,320,1253,629
values_31,360,165,85
values_66,324,1352,680
values_65,360,165,85
values_62,320,885,445
values_21,100,8,8
values_95,316,1685,845
values_84,416,245,125
values_58,416,245,125
values_64,324,968,488
values_83,316,725,365
values_94,316,725,365
values_0,300,1925,965
values_99,308,800,404
values_96,308,1568,788
values_67,480,392,200
values_61,460,341,173
values_43,320,1461,733
values_2,308,1152,580
values_54,536,512,260
values_30,1320,128,68
values_59,308,648,328
values_85,320,1253,629
values_74,316,725,365
values_90,460,341,173
values_18,100,8,8
values_52,100,8,8
values_44,288,2048,1028
values_17,288,2048,1028
values_36,320,1461,733
values_49,804,32,20
values_86,504,453,229
values_37,556,53,29
values_56,308,1152,580
values_63,308,1568,788
values_35,100,8,8
values_97,1320,128,68
values_75,320,1461,733
values_57,316,1061,533
values_88,416,245,125
values_10,416,245,125
values_53,316,725,365
values_8,504,453,229
values_39,320,1253,629
values_47,308,1800,904
values_60,308,1568,788
values_89,536,512,260
values_51,388,200,104
values_14,320,885,445
values_28,324,968,488
values_16,1320,128,68
values_34,1320,128,68
values_82,504,453,229
values_46,432,288,148
values_27,1320,128,68
values_20,100,8,8
values_9,1076,101,53
values_92,416,245,125
values_3,536,512,260
values_98,368,21,13
values_29,368,21,13
values_80,368,21,13
values_73,1320,128,68
